cultural_score,relational_score,demographic_score,article_name,abstract,jstor_url,year,journal_title,edited_filename
0,1,0,Negotiated Orders: The Negotiation of Directives in Paramedic-Nurse Interaction,"Whereas the “negotiated order approach” emphasizes the importance of communicative events in the constitution of organizational settings, there has been little attempt to formally describe the properties of talk that occur in these settings. This article demonstrates that detailed examination of the temporal unfolding of negotiative processes contributes to our understanding of the bundle of tasks which comprise organizational settings. Through close analysis of the negotiation of directives in paramedic calls for emergency field orders, I demonstrate that negotiation is more than a metaphor for describing organizational order; real-world negotiations are complex interactional processes which can be described in their rich detail.",https://www.jstor.org/stable/10.1525/si.1994.17.2.165,1994,Symbolic Interaction,10.1525_si.1994.17.2.165
0,0.5,0,SPEECH DURATION AND DEPENDENCIES IN INITIALLY STRUCTURED AND UNSTRUCTURED TASK GROUPS,"We examine whether speech durations and speech content vary by social structure in groups and the content of preceding speeches. When actors are structural equals in groups, an observable interaction order
         emerges from interaction processes. When we experimentally impose authority, skill, or sentiment structures, structural advantage is related to longer speech durations. When structures are combined such
         that an actor is advantaged in more than one social structure, then the actor engages in shorter speech durations, although dominance (as measured by perceived contributions to the group) remains high for
         the actor. In addition, the likelihood that an actor contributes a solution to a group problem or invites other contributions is highly dependent on whether the preceding speech included positive feedback.
         The expected interdependence between contributions and invitations to contribute was not evident in our data. Thus our research provides new insight on the sequential dependencies between speech acts in
         groups. 
    ",https://www.jstor.org/stable/10.1525/sop.2001.44.4.419,2001,Sociological Perspectives,10.1525_sop.2001.44.4.419
0,1,1,Flexibility and Fairness: Effects of the Network Form of Organization on Gender Equity in Life Science Careers,"Why do women have more opportunities in some employment settings? I investigate how organizational form affects gender stratification among life scientists. I propose that firms governed by networks, rather than bureaucracies, allow for greater equity. Hierarchy and rules hide gender bias, while reliance on ties outside the organization provides transparency and flexibility. I analyze the careers of 2,062 U.S. life scientists and interviews with 41 scientists. I examine employment data by gender for two patterns: early entrance into the biotechnology industry and promotion within network and hierarchical organizations. Gender does not affect when a scientist enters the biotech industry but is related to promotion. Men are more likely to attain early supervisory-level positions across organizational settings. Female scientists are nearly eight times more likely to supervise in biotech firms than in more hierarchical settings. The two organizational forms—network and hierarchy—provide different employment experiences for female scientists.
",https://www.jstor.org/stable/10.1525/sop.2004.47.1.25,2004,Sociological Perspectives,10.1525_sop.2004.47.1.25
0,0,1,Leadership Structures in Same-Sex Task Groups,"ABSTRACT: This article investigates contradictory findings reported in the literature concerning differences in leadership differentiation between same-sex groups. Drawing on arguments developed by Walker et al. (1996) addressing measurement validity in this literature, and on an extension in the status literature developed by Ridgeway (1988) and Fennell et al. (1978), this article develops and tests three predictions. Specifically, the authors predict greater differences in leadership differentiation between allmale and all-female groups when assessing leadership based on procedural behaviors than when assessing leadership based on influence. Also, leadership differentiation will be greater in all-male groups within a male-dominated organization, and in all-female groups within a female-dominated organization, than in all-female groups within a male-dominated organization when assessing leadership based on procedural compared with influence behaviors. Contrary to predictions, results show that all-male and all-female groups are equally likely to develop differentiated leadership structures when using procedural- and influenced-based measures. Implications of these results are discussed.",https://www.jstor.org/stable/10.1525/sop.2006.49.3.391,2006,Sociological Perspectives,10.1525_sop.2006.49.3.391
0,0,1,"Ethnic Matching of Supervisors to Subordinate Work Groups: Findings on ""Bottom-up"" Ascription and Social Closure","Research on minority authority attainment tends to stress top-down processes of social closure, whereby the dominant social group produces and preserves positions of power and influence by excluding out-group
         members. We argue that this view, while helpful, is incomplete. Returning to Weber's original conceptualization of social closure, we argue that top-down exclusion often generates pressures for bottom-up
         ascription, whereby employers match supervisors to the social characteristics, particularly race and ethnicity, of their subordinate work groups. Results from the Multi-City Survey of Urban Inequality strongly
         support our argument and also reveal that bottom-up ethnic matching reduces perceptions of racial discrimination among subordinates. These results offer a useful corrective to the assumption that elites
         only reproduce themselves and underscore the importance of group composition for understanding mobility opportunities available to minority workers. 
    ",https://www.jstor.org/stable/10.1525/sp.2001.48.2.258,2001,Social Problems,10.1525_sp.2001.48.2.258
0,1,1,"Networks of Opportunity: Gender, Race, and Job Leads","Researchers have commonly invoked isolation from job opportunities as an explanation for persistence of gender and race inequality in the labor market, but few have examined whether access to information about job opportunities varies by race and gender. Findings from nationally representative survey data reveal significant white male advantage in the number of job leads received through routine conversations when compared to white women and Hispanics. Differences in social network resources (social capital) partly explain the deficit among Hispanics, but fail to account for the job lead gap between white women and men. Further analyses show that inequality in the receipt of job information is greatest at the highest levels of supervisory authority, where white males receive substantially more job leads than women and minorities.",https://www.jstor.org/stable/10.1525/sp.2009.56.3.385,2009,Social Problems,10.1525_sp.2009.56.3.385
0,0,1,The “State” of Equal Employment Opportunity Law and Managerial Gender Diversity,"Women’s underrepresentation in management is a persistent social problem. We take a new approach to understanding the lack of managerial gender diversity by investigating how U.S. state equal employment opportunity laws are related to women’s presence in upper and lower management. We draw on data from 2010 EEO-1 reports documenting managerial sex composition in U.S. work establishments and a state employment law database to answer our research questions. State mandates are found to be differentially associated with upper- versus lower-level managerial gender diversity. Establishments in states with an equal pay law, or that once ratified the ERA, employ more women in upper management than those in states without such a law or in nonratifying states, but this holds only in establishments in industries that typically employ women. In contrast, establishments in states that require anti-discrimination workplace postings employ fewer women in upper-management than those in states without such a requirement. State equal pay laws, especially those adopted before federal equal pay legislation, family responsibility discrimination protections, and past ERA ratification are positively associated with women’s lower-level managerial presence. Conversely, state expanded family and medical leave coverage, prohibited sex discrimination, and specific posting rules are negatively associated with women’s presence in lower management. Results hold net of establishment, state, firm, and industry factors. We discuss the meaning behind differences across managerial level and the role of state regulation in moving toward greater managerial gender equity.",https://www.jstor.org/stable/10.1525/sp.2014.12319,2005,Social Problems,10.1525_sp.2014.12319
1,1,0,Government Regulatory Powers and Church Autonomy: Deviant Groups as Test Cases,"The current proliferation of legal conflicts over ""church autonomy"" reflects the incompatibility of two contemporary tendencies: 1) the functional diversification of constitutionally protected religious organizations; and 2) the expanding regulatory mandate of the state to enforce public accountability of organizations for harmful or fraudulent practices. This paper examines several cases involving the financial practices of deviant movements, including the conviction of Sun Myung Moon for tax evasion and the intervention of the California Attorney General in the finances of the Worldwide Church of God. These cases have elicited widespread concern among mainline church leaders, who appear to interpret them as boundary-defining engagements whose outcomes will yield rules applicable to the legal status of churches in general. These cases illustrate the difficulties faced by churches in attempting to legitimate diversified structures of economic rationality in terms of (individual) freedom of religious conscience.",https://www.jstor.org/stable/1385815,1974,Journal for the Scientific Study of Religion,10.2307_1385815
0,1,0,Parish Autonomy: Measuring Denominational Differences,"This study examines the utility of a multidimensional scale of formal authority in assessing the relationship of denominational structure and local church activities. The scale is compared with two typologies of formal polity which are often used in studying religious organizations, and is found to have greater predictive power and more potential to discriminate between denominations than either of the typologies. The analysis includes a discussion of how congregational/denominational power relationships might affect local church participation in different sectors of the local interorganizational network.",https://www.jstor.org/stable/1385971,1981,Journal for the Scientific Study of Religion,10.2307_1385971
0,1,1,Church Friendships: Boon or Barrier to Church Growth?,"Questionnaire results from 762 attenders of five Baptist congregations suggest that the number and quality of friendships available within a congregation heavily influence attenders' church selection decisions. Ironically, the churches with the highest numbers of church friends per attender are either stable or declining. Newcomers find such churches ""cliquish"" because high-tenure members have as many friends as they want or can manage. The ability of church friendship networks to incorporate newcomers appears to decline as average tenure and number of church friends increase. In contrast, attenders of the two growing churches have lower attendance tenure, fewer church friends, and greater desire for additional church friends. They are thus more inclined to incorporate newcomers, which further facilitates their growth.",https://www.jstor.org/stable/1386575,1981,Journal for the Scientific Study of Religion,10.2307_1386575
0,0,0,Anonymity and the Rise of Universal Occasions for Religious Ritual: An Extension of the Durkheimian Theory,"In this research, Durkheim's theory of the universalization of religious beliefs is extended to analyze the occurrence of religious rituals. Drawing upon Schutz's phenomenology of social relations, we amplify theoretically the Durkheimian perspective and suggest that the universalization process is stimulated by an increase in anonymity (as opposed to intimacy) in society. Structural factors consistent with anonymity -- i.e., increasing population density, political and economic differentiation, and monetary exchange -- are hypothesized to influence the universalization of ritual occasions. A recursive path model is devised for the hypothesized relationships in the universalization process. We find support for the model using data from a cross-cultural sample of nonindustrial societies. The implications of these results for understanding religious rituals in contemporary complex societies are then discussed.",https://www.jstor.org/stable/1387003,1981,Journal for the Scientific Study of Religion,10.2307_1387003
0,0,0,"""Brainwashing"" Theories in European Parliamentary and Administrative Reports on ""Cults"" and ""Sects""","This study examines the recent rash of official reports done by governmental agencies in Western Europe to guide policy development in those societies. Particular attention is given to reports in France, Belgium, Switzerland, Germany, Sweden, and Italy, and to the changes in such reports that have occurred, perhaps because of the influence of scholarly critiques offered for some of the earlier reports. The reports are divided into ""Type I"" and ""Type II"" reports, with the former being thorough-going in their anti-cult orientation, and the latter reports being more moderate in tone, with some attention paid to scholarship on new religions. However, the major thesis of the study is supported, as an examination of both types of reports reveals that they incorporate ""brainwashing"" and ""mind control"" imagery imported from the United States, even though such theories have been largely discounted within the United States. Use of such theories leads directly to some questionable policy recommendations, as demonstrated in the reports. Reasons for the spread of ""brainwashing"" ideas to Europe are discussed.",https://www.jstor.org/stable/1387941,1984,Journal for the Scientific Study of Religion,10.2307_1387941
0,0,1,"The Effects of Geographical Variability on Protestant Church Membership Trends, 1980-1990","Differences in the recent membership trends of liberal and conservative Protestant denominations have been a major focus of research on church growth and decline. This study examines the role of local contextual factors on these membership trends through their interaction with the detailed geographical distributions of eight large denominations, including four conservative groups and four more liberal groups. Results indicate that during the 1980s the more liberal groups tended to be concentrated geographically in places where contextual factors discouraged membership growth, while the conservative churches were concentrated in locations with conditions more conducive to membership growth. The findings suggest that the cumulative effects of local contextual factors have played a significant role in the contrasting patterns of membership change within liberal and conservative Protestantism in recent decades.",https://www.jstor.org/stable/1388146,1995,Journal for the Scientific Study of Religion,10.2307_1388146
1,0,0,Reexamining Resistance as Oppositional Behavior: The Nation of Islam and the Creation of a Black Achievement Ideology,"Influential work on oppositional culture explains involuntary minorities' disadvantage as the result of a culture that discourages academic effort by branding it as ""acting white,"" which leads students to resist schooling. Much of this work depicts involuntary minority cultures as internally uniform. This article challenges the oppositional-culture explanation in three important ways: (1) by demonstrating that through the religious tenets and practices of the Nation of Islam (NOI), young female members develop a black achievement ideology, resulting in the adoption of the kind of studious orientation to school that is usually demonstrated by voluntary immigrant groups; (2) by demonstrating the ways in which black people differentially make sense of and enact what it means to be black that challenge previous binary or dichotomized accounts of black oppositional social identity; and (3) by illustrating how resistance for NOI young women is transformative, as well as reproductive, of existing patterns of social, racial, and gender relations. The evidence, from a two-year ethnographic study of female high school students who were in the NOI suggests a systematic reexamination of the oppositional theory and its main suppositions.",https://www.jstor.org/stable/1519868,1977,Sociology of Education,10.2307_1519868
0.5,0.5,0,"Challenging Medicine: Law, Resistance, and the Cultural Politics of Childbirth","Whereas most sociolegal studies concerned with hegemony and resistance focus on the resistances of ordinary citizens in everyday life, this article focuses on the development of a particular social movement--the alternative birth movement--and analyzes the process by which this movement emerged and has achieved significant legislative victories. The analysis makes several contributions to the literatures on hegemony, resistance, and the law. First, by demonstrating the importance of medicine's assertion of its authority for the expansion and mobilization of the alternative birth movement, we show that the mobilization of the law by a dominant group may trigger the emergence of social movements seeking to resist hegemonic understandings and arrangements. At the same time, by examining how birth activists' organizational resources developed over time and were rendered meaningful in legislative debates, our study demonstrates the importance of avoiding dichotomous conceptions of structure and culture. In addition, by analyzing culture as a process of meaning-making rather than an independent and hierarchical set of values, the analysis shows how cultural and legal hegemony--even that of modern medicine--may be destabilized, even as it sets the terms of the effort to destabilize it and shapes the nature of the hegemony that will replace it.",https://www.jstor.org/stable/1555122,1992,Law & Society Review,10.2307_1555122
0,1,1,The Organizational Niche,"Although the concept of niche has been extremely useful in sociological theory and research, some aspects of the concept have not been clearly developed. This article advances a theoretical reconstruction of the concept of niche, with special application to organizations. The proposed formal model unifies several active lines of sociological theory. It also extends the notion of the niche from the realm of behaviors to apply to the rules coding social identities and organizational forms. The reconstruction gives deeper insight into the niche of an organizational population as well as individual organizations. Finally, the model analyzes the (thus far) tacit assumption that niches are convex, examines the implications of convexity for commonly used measures of niche width, and provides a general sociological argument for the predominance of convex niches.",https://www.jstor.org/stable/1602329,2000,Sociological Theory,10.2307_1602329
0,1,0,Networks and the Theory of Modules in the Global Village,None,https://www.jstor.org/stable/20019933,1997,"International Journal of Politics, Culture, and Society",10.2307_20019933
0,1,1,Organizational Context and the Sexual Harassment of Clergy,"When the term sexual harassment is used is association with the clergy, the common assumption is that it is sexual abuse by the clergy which is being discussed. This assumption tends to obscure another serious issue that has received little scholarly attention--the sexual harassment of clergy by church members and colleagues in ministry. This study investigates both the factors that contribute to the chances of clergy experiencing harassment, and the impact of abuse on clergy work outcomes. Because there is so little research on the sexual harassment of clergy, the more general literature on sexual harassment in the workplace (from organizational and sociology of work research) must be relied on in framing the study. A unified approach is used, which suggests that features of modern organizational structures which are known to increase satisfaction will help to create a supportive climate in the workplace that will reduce the likelihood of incidents of harassment. Support is found for the value of organizational context as a means of explaining both the causes and outcomes of clergy experiences of harassment.",https://www.jstor.org/stable/20453229,2008,Sociology of Religion,10.2307_20453229
0,1,1,Turkish Migrants' Organizations: Promoting Tolerance toward the Diversity of Turkish Migrants in Germany,"Since the beginning of their migration, Turkish migrants (TMs) have formed numerous civic organizations of diverse types in Germany. Various studies have examined the social, economic, and political situation of Turkish migrants in Germany over the past fifteen years. A gap persists concerning the role of Turkish migrants' umbrella organizations (TMUOs) as antiracist organizations and representatives of the Turkish migrant community. While they establish relations with German political parties, trade unions, and municipal authorities, it is unclear whether such interactions are motivated by TMUOs' interest in promoting tolerance toward the diversity of Turkish migrants in Germany. Combining approaches from organizational sociology and migration research, this article aims to generate an empirically founded knowledge of TMUOs and how they have reacted to various German policies of acculturation. It is specifically concerned with: (1) the aims and activities of TMUOs; (2) the role and function of these organizations as representatives of the Turkish population; (3) the methods and strategies that TMUOs use to influence the German policy and public in order to eliminate racism toward Turkish migrants; and (4) the possibilities available to them to promote antiracism in Germany. The article shows that many organizations were established because of social, economic, and political discrimination against TMs in Germany. It shows that TMUOs are involved in activities to support TM integration into the German society as well as in defensive moves to protect them from discrimination. My main argument is that TMUOs' efforts to support the integration of TMs into the German society have generally been ignored. These organizations are excluded in many cases from negotiations with the government and thus have limited impact on the growth of Turkish minority rights in Germany.",https://www.jstor.org/stable/20628330,2008,International Journal of Sociology,10.2307_20628330
0,0,1,RACIAL DISCRIMINATION IN PROFESSIONAL BASKETBALL: AN EMPIRICAL TEST,"A number of hypotheses suggested by Blalock's discussion of competitive and pressure resources which minority groups can use to force occupational opportunities were tested with data from the professional basketball leagues. Specifically, we tested whether blacks had equal opportunity in professional basketball or whether only superior black performers were permitted to compete, and whether the discrimination of this form was negatively related to the number of blacks in the SMSAs in which professional teams were located. The data did not clearly support the hypothesis that only black ""stars"" were recruited and the second line positions were reserved for whites; however, there was evidence that mediocre white players remained in the league longer than mediocre black players. The proportion black in an SMSA had little effect on discrimination explaining for non-Southern cities only nine percent of the variation in the discrimination index.",https://www.jstor.org/stable/20830874,1973,Sociological Focus,10.2307_20830874
1,0,0,Enforcement is the Name of the Game: An Essay on the Immigration Inspector at Work,"This article concerns the work of immigration inspectors who inspect parties entering the country to determine if they merit entry according to law. Focusing on aspects of their working environment, this paper discusses ways inspectors have sought to organize daily activities. Faced with an uncertain decision-making process, lacking adequate preparation to deal with an unpredictable public, and working within a decentralized administrative structure, inspectors are nonetheless confronted by strong bureaucratic pressures for uniformity and consistency in their actions. Attempting to reconcile these conflicting demands, personnel have utilized various strategies for reducing overall risks associated with their work. This analysis casts doubt on the applicability of such theoretical constructs as ""formal"" or ""informal"" organizational processes when examined through an action perspective.",https://www.jstor.org/stable/20831088,1978,Sociological Focus,10.2307_20831088
0,0,1,Are Educators Racially Prejudiced?: A Cross-Occupational Comparison of Attitudes,"Racial attitudes of school teachers, school administrators, other professionals, and general occupational groups are examined using data from six national samples gathered as part of the General Social Survey between 1972 and 1977 by the National Opinion Research Center (N = 9210). Respondents' attitudes were measured on the following topics: open housing, programs to integrate housing, interracial marriage, interracial social relations, segregated schools, busing, and explanations for the Blacks' inferior jobs, income, and housing. The results indicate that in areas of interpersonal relations and housing, teachers and educators do harbor prejudicial attitudes; however, educators are comparable to other professionals regarding these attitudes and less prejudiced than laborers, farmers, clerical workers, craftsmen, managers, and administrators. Within the teaching profession, kindergarten and elementary teachers appear slightly more racially prejudiced than secondary school teachers. Implications of these findings are discussed.",https://www.jstor.org/stable/20831188,1981,Sociological Focus,10.2307_20831188
1,1,0,"Protest Group Success: The Impact of Group Characteristics, Social Control, and Context","In this study we test eight hypotheses about the relative control of protesters, third parties, and elements of the situation (movement context and confrontation) over two types of protest group success: goal achievement and recognition. A path analysis indicates that two sets of protester-controlled factors decisively affect protest group success: organization and beliefs and goals. Of the two, beliefs and goals is the more significant, although bureaucracy is very important for recognition. For the most part, the impact of protester-controlled factors is not due to the reaction of third parties; however, revolutionary activism, one factor in the realm of beliefs and goals, is a notable exception. Revolutionary activism's negative association with success is largely due to suppression by third parties.",https://www.jstor.org/stable/20831203,1981,Sociological Focus,10.2307_20831203
0,0,1,Reducing Occupational Sex Segregation: Explaining Failure and Success,"Recent developments in theory and public policy regarding occupational sex segregation are reviewed and evaluated. It is argued that the shift away from individual and sex role explanations and toward structural explanations is an important step forward. In particular, socialist feminist and labor market segmentation theories provide useful frameworks for understanding the obstacles to occupational integration. However, in order to understand both the failures and the successes of attempts to reduce segregation, a neo-Weberian conflict model is more fruitful. This model recognizes that social outcomes may reflect the power of capital or patriarchy, but they may also reflect sources of power and group interest which cut across those categories. The usefulness of this approach is illustrated through an examination of three empirical questions: 1) Why did the rate of sex segregation decline for the first time in the 1970's; 2) Why did segregation decline significantly more in some occupations than others; and 3) Why have corporate executives become more favorable in their attitudes toward affirmative action? Answers to these questions are sought by examining the role of state power and the groups which influence it, the interests of management at different levels of the organization, and the interests of union leaders and members.",https://www.jstor.org/stable/20831459,1988,Sociological Focus,10.2307_20831459
0,0,0,"RELIGION AND THE QUEST FOR MEANING AND ORDER: OLD PARADIGMS, NEW REALITIES","Steven Warner's seminal paper identifying the emergence of a new paradigm in the sociology of religion is cautious in making claims beyond the United States. This paper presents both theoretical and empirical evidence that points to a more universal application. At the empirical level there is mounting evidence to indicate that religion is not on a trajectory leading to extinction as predicted by secularization theory. At the theoretical level, rational choice models provide a more efficacious explanation of the persistence of religion in the modern world. Rather, it challenges the ability of secularization theory to explain the persistence and character of religion. The paradigm debate has served to sharpen the secularization theory perspective, but the theory stands clearly in need of serious revamping if it is to survive.",https://www.jstor.org/stable/20831724,1995,Sociological Focus,10.2307_20831724
0,0,1,ETHNIC COMPETITION FOR AN OCCUPATIONAL NICHE: THE CASE OF BLACK AND ITALIAN BARBERS IN NORTHERN U.S. CITIES DURING THE LATE NINETEENTH CENTURY,"Ethnic groups often compete for occupational niches that can lead to entrepreneurship in the mainstream economy. In the late nineteenth century, blacks and Italian immigrants in the urban North vied for a niche serving whites in barbering. Applying human ecology theory, I explore this rivalry, analyzing inter- and intra-group competition with data from the Census of 1900. As I hypothesized, black men were displaced from their barbering niche by competitive exclusion, i.e., their concentration in this niche was reduced by the entry of Italian men into the niche, and by niche saturation, i.e., the number of potential black entrants to the niche exceeded the niche's capacity to absorb them, exacerbating competition among black men for positions within the niche. Also as I hypothesized, Italian men, who ranked higher in the ethnic queue, were not inhibited by niche saturation and thus had greater opportunity to exploit their barbering niche. The analysis of this historical case of ethnic competition demonstrates that principles of human ecology can be used to draw general conclusions about the rivalries that occur between and within minority groups for valued occupational niches in the economic mainstream.",https://www.jstor.org/stable/20832170,2002,Sociological Focus,10.2307_20832170
1,0,0,The Microlevel Discourse of Social Movement Framing: Debating Antiwar Protests on a University Listserv,"Over the past two decades, researchers have increasingly employed frame analysis in attempts to understand the genesis, development, and outcomes of social movements. Relatively little attention, however, has focused on the microlevel processes involved in generating social movement framews. This paper is an effort to link theories of social movement framing with the methodology of discourse analysis. In the following, an online debate over the legitimacy of protests against the 2003 invasion of Iraq by the United States provides qualitative data for a discourse analysis of microlevel framing processes. The debate occurred on a university listserv and involved more than 100 messages offered by 67 individuals over 16 days. Analyses reveal four distinct framing contests in the discourse. An initiating contest regarding a specific antiwar protest is found to generate three additional contests, the first about antiwar protests more generally, the second about the war in Iraq itself, and the third about the appropriateness of holding such a debate on a listserve sent to university employees. A framing process schema is offered to represent conflict between social movement and countermovement participants across the discourse.",https://www.jstor.org/stable/20832315,2007,Sociological Focus,10.2307_20832315
1,0,0,Small Groups and Culture Creation: The Idioculture of Little League Baseball Teams,"Following interactionist theory, this study argues that cultural creation and usage can be examined by conceptualizing cultural forms as originating in a small-group context. Those cultural elements which characterize an interacting group are termed the idioculture of the group. This approach focuses on the content of small-group interaction, and suggests that the meanings of cultural items in a small group must be considered in order to comprehend their continued existence as communication. Five characteristics of cultural items affect which items will become part of a group culture. Cultural forms may be created and continue to be utilized in situations if they are known to members of the interacting group, usable in the course of group interaction, functional in supporting group goals and individual needs, appropriate in supporting the status hierarchy of the group, and triggered by events which occur in group interaction. These elements have impact only through the interpretations of group members of their situations. Support for this approach is drawn from a participant observation study of Little League baseball teams.",https://www.jstor.org/stable/2094525,1971,American Sociological Review,10.2307_2094525
