stance twd. demog persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Getting Left behind? Gender Differences in Computer Conferencing,"The use of electronic communication is exploding. To maximize productivity, it is important for public managers to take advantage of the technology available. Prior research has shown that gender differences appear in the use of computer technology, with heavier use being attributed to men. This article presents results that show the contrary. In a computer conferencing task, women exhibited higher usage than men. However, consistent with earlier research, the nature of communication differed according to gender.",https://www.jstor.org/stable/3380494,Public Productivity & Management Review,10.2307_3380494,Management & Organizational Behavior,1995.0,0,7.550726877525449e-05,0,0.00022309875930659473,1,0.999663233757019
,,,Affective Complementarity in Service Encounters,"Face-to-face interactions are a crucial part of services. However, research that investigates the dynamics of service encounters is still rare. In this study we used a theoretical framework that aligned the concept of interpersonal complementarity with Mehrabian and Russell's (1974) three-dimensional model of affect. We hypothesized that there are positive relationships between employees' and customers' affective experience of pleasantness and arousal (correspondence rule) and a negative relationship between the interactants' experience of power (reciprocity rule). Furthermore, we explored the role of gender combination in service encounters. We tested our hypotheses with a sample of 29 service employees and 345 service encounters. Using hierarchical linear modeling (HLM), our hypotheses were confirmed. Furthermore, we found that the relationship between employee and customer arousal was affected by the gender combination.",https://www.jstor.org/stable/41783543,Management Revue,10.2307_41783543,Management & Organizational Behavior,2007.0,0,6.920901796547696e-06,0,0.0024527141358703375,1,0.8159983158111572
,,,CEO Replacement in Turnaround Situations: Executive (Mis)Fit and Its Performance Implications,"Countering the widely held view that chief executive officer (CEO) succession is generally beneficial in turnaround situations, we adopt an executive fit/refit logic, proposing that the implications of CEO replacement depend integrally on the incumbent's degree of misfit and the successor's degree of fit to the contextual conditions at hand. Drawing from prior turnaround research, we identify several prominent forms of CEO fit/misfit that are especially germane to troubled firms. In testing our hypotheses, we find substantial support for the fit/refit theory: troubled companies have substantially better performance to the extent that they replace incumbents who are poorly suited to the conditions at hand and when they appoint new CEOs who are well matched to those conditions. Further reaffirming the fit/refit model, we find that CEO replacement per se has no general effect on the improvement of troubled firms.",external-fulltext-any,Organization Science,10.2307_41429028,Management & Organizational Behavior,,0,2.443003722873982e-05,0,0.0002545660245232284,1,0.9999134540557861
,,,Breakdowns in Implementing Models of Organization Change,"Practice theories of implementing change are lagging behind process theories of organizational change and development. To address this gap, this paper examines common breakdowns in implementing four process models of organization change: teleology (planned change), life cycle (regulated change), dialectics (conflictive change), and evolution (competitive change). Change agents typically respond to these breakdowns by taking actions to correct people and organizational processes so they conform to their model of change. Although this strategy commands most of the attention in the literature, we argue that in many situations managers and scholars might do better if they reflected on and revised their mental model to fit the change journey that is unfolding in their organization.",external-fulltext-any,Academy of Management Perspectives,10.2307_23045051,Management & Organizational Behavior,,0,0.003313277382403612,1,0.9998383522033691,1,0.8999027609825134
,,,"Y-ers, X-ers and Boomers: Investigating the multigenerational (mis)perceptions in the hospitality workplace","Today's hospitality workforce is more diverse than ever with the symbiotic co-existence of three different generations; Generation Y, Generation X and Baby Boomers. This co-existence poses numerous challenges for an industry that strives to achieve inter-generational comfort, thus avoiding conflict, an impediment to the effectiveness of even its most sophisticated organizations. Adopting a quantitative methodology, this article explores the occupational similarities and differences of the three prevailing generations, currently active in the diverse hospitality workplace, as well as investigating how each generation cohort is perceived by its own members in comparison to members of other generations. Findings, which provide invaluable insights of interest to hospitality stakeholders, confirm the vast perceptual inter-generational differences within a plethora of work-related issues.",https://www.jstor.org/stable/43498600,Tourism and Hospitality Research,10.2307_43498600,Management & Organizational Behavior,2012.0,0,0.002671923255547881,0,0.18964864313602448,1,0.9956900477409363
,,,A Market-Process Approach to Corporate Coherence,"We address the notion of corporate coherence recently made prominent by Teece et al. (1994. Understanding corporate coherence: theory and evidence. Journal of Economic Behavior and Organization 23: 1-30). We argue that the literature is confused on the meaning of this notion (and similar notions) along a number of dimensions. Drawing on insights from market-process theories, we propose a dynamic understanding of corporate coherence, an understanding that involves the corporate capacity to strike a favorable balance between the production and exploitation of new knowledge. This argument is elaborated drawing on Austrian economics, evolutionary economics, and post-Marshallian economics.",https://www.jstor.org/stable/3657288,Managerial and Decision Economics,10.2307_3657288,Management & Organizational Behavior,2001.0,0,1.5327977962442674e-05,0,0.250859797000885,0,0.00016141924425028265
,,,Experimental Analysis of a Web-Based Training Intervention to Develop Positive Psychological Capital,"Psychological capital with components of hope, self-efficacy, optimism, and resiliency has recently emerged as a core construct in taking positive psychology to the workplace. A distinguishing feature is that it is ""state-like"" and thus open to development We analyze whether such psychological capital can be developed through a highly focused, 2-hour web-based training intervention. Using a pretest, posttest experimental design (n = 187 randomly assigned to the treatment group and n = 177 to the control group), we found support that psychological capital can be developed by such a training intervention.",https://www.jstor.org/stable/40214536,Academy of Management Learning & Education,10.2307_40214536,Management & Organizational Behavior,2008.0,0,1.807176522561349e-05,0,0.00020731105178128928,0,0.0003402854490559548
,,,Transition in East Germany: A British View,"The article reviews the process whereby two British academics (with prior knowledge and experience of both the FRG and GDR) developed in 1990 a research project to investigate how an East German company made the transition from communism to privatisation. The project soon developed from a longitudinal study of one company to encompass a range of companies differentiated by location, industry, privatisation stage and mode, and owner origins. The analysis of the interview data permitted the identification of patterns and commonalties of the emergence of corporate strategy. The authors portray the main characteristics of different phases of that process and indicate that not every company had progressed through all phases of the process. Der Artikel beschreibt die Ergebnisse von zwei britischen Wissenschaftlern (mit Vorkenntnissen und Erfahrungen sowohl zur BRD als auch zur DDR) aus einem Projekt, das 1990 begonnen wurde, um den Übergang eines Unternehmens vom Kommunismus zur Privatisierung zu erforschen. Das Projekt wurde bald von einer Längsschnittstudie eines Unternehmens durch Einbeziehung weiterer Firmen verschiedener geographischer Lage, Industriezweige, Privatisierungsstadien und -wege und Herkunft der Eigentümer erweitert. Die Analyse der Interviewdaten erlaubt die Identifizierung von Mustern und Gemeinsamkeiten des Entstehens der Unternehmensstrategie. Die Verfasser beschreiben die Hauptmerkmale der verschiedenen Phasen dieses Prozesses und zeigen auf, daß nicht jede Firma bisher alle Phasen bewältigt hat.",https://www.jstor.org/stable/23280199,Journal of East European Management Studies,10.2307_23280199,Management & Organizational Behavior,1996.0,0,0.0009668625425547361,0,0.0007206717855297029,0,0.0009109210805036128
,,,"CONSIDERING THE NATURE OF WILDERNESS: Reflections on Roderick Nash's ""Wilderness and the American Mind""","Roderick Nash helped to define the field of environmental history with his 1967 book, Wilderness and the American Mind. Nash's work examines the transition of American attitudes toward wilderness from hostility to recognition of the need to create and protect wilderness as places where humans may go but should not stay. This piece considers both Nash's work and the continued relevance and impact of his ideas. The objective way Nash describes wilderness as a pristine place through much of his work has become increasingly problematic as scholars consider the ways in which humans construct and reconstruct different and often contradictory conceptualizations of nature. Although Nash's work does not definitively explore the idea of wilderness and its modern significance, it does provide a foundational consideration of the way Americans have interacted with the concept of a reality not modified by human industry, culture, or technology.",https://www.jstor.org/stable/26161570,Organization & Environment,10.2307_26161570,Management & Organizational Behavior,2001.0,0,0.011888261884450912,0,0.0002896285441238433,0,0.003502358216792345
,,,Television representations of food: A case study,"This paper describes the results of a semiotic analysis of one popular television food programme: 'Rick Stein's Taste of the Sea'. The analysis suggests that this programme produces a number of conventional meanings within which specific messages about food are embedded. These findings indicate that television food programmes offer the hospitality provider important insights into the contemporary cultural formation of the consumer and into the ways by which key product concepts can be marketed, which can be of benefit to the hospitality industry. In addition, the categorisation of concepts and discourses upon which food programmes draw for their meanings offers a methodological and conceptual framework for future research of the genre.",https://www.jstor.org/stable/42919209,International Journal of Tourism and Hospitality Research,10.2307_42919209,Management & Organizational Behavior,1999.0,1,0.9563668370246887,0,0.00505705364048481,0,9.099447925109416e-05
,,,Mechanisms of Dialectical Change,"Dialectics as a scientific method has its limitations. Dialectics as an intrinsic aspect of reality is an eminent and essential force in social life. Dialectics is about structures and dialectics is about change. This article shows how dialectic mechanisms work. The general considerations are illustrated by cases of organizational, strategic and technological change. We describe some types of dialectical structures and discuss what conditions may be responsible for activating the dialectical mechanism.",https://www.jstor.org/stable/41783611,Management Revue,10.2307_41783611,Management & Organizational Behavior,2009.0,1,0.9926825165748596,0,0.00046684761764481664,0,0.0019267273601144552
,,,A study of management practices and competencies within effective organisations in the Irish tourism industry,"This paper is concerned with the identification of effective organisations in the hotel industry in the Republic of Ireland. Simultaneously, it seeks to examine the nature of management and the competencies of general managers in such hotels. A total of 144 critical incidents were gathered from 48 general managers of effective hotels. It was shown how managers utilised 67 dominant competencies in the execution of such incidents. The study reveals a great range and diversity of management activity and practices in respondent organisations and proposes an integrated model for the analysis of management practices, competencies and organisational performance. The paper concludes that management within the industry is dominated by a concern with operational activities and issues.",https://www.jstor.org/stable/42919210,International Journal of Tourism and Hospitality Research,10.2307_42919210,Management & Organizational Behavior,1999.0,0,0.00017509875760879368,1,0.9739546179771423,0,0.0003619211202021688
,,,Public Officials' Attitudes toward Subjective Performance Measures,"This research explores public officials' attitudes toward the use of citizen evaluations to assess public services. Survey results indicate that local public officials, except finance directors, prefer subjective measures such as citizen evaluations to assess police performance. Public officials' attitudes toward subjective measures are influenced by how performance measures will be used, and they are most favorable when the measures are used to address progress toward attainment of agency goals. The study also shows that the validity and reliability of performance measures are not particularly important measurement criteria for public officials. In addition, socioeconomic and organizational variables such as income, population, crime rate, management structure, and fiscal stress do not appear to have a significant impact on public officials' attitudes toward citizen evaluations. The article concludes that public officials' attitudes toward citizen evaluations will be less positive if performance measures are used to make resource allocation decisions.",https://www.jstor.org/stable/3380935,Public Productivity & Management Review,10.2307_3380935,Management & Organizational Behavior,1999.0,0,0.4949595034122467,0,0.004815761931240559,0,3.836394535028376e-05
,,,Different Forms of Agency and Institutional Influences within Multinational Enterprises,"Given their exposure to diverse institutional settings, decision making in multinational enterprises (MNE) is marked by inconsistencies and conflict. Within the comparative institutional analysis (CIA) literature, such inconsistencies are seen as a source of experimentation or innovation. By contrast, in the international business (IB) literature, institutions are primarily understood as constraints on MNE activity. The latter focuses on ' institutional effects' taking institutions as stable and determining of social agency. As a way of addressing this limitation, we aim to understand the conditions that enable actors to engage in strategic action despite institutional pressures towards statis. The research draws on systematic comparative case studies of two large MNEs in the chemical industry, headquartered in Germany and the UK, and operating in Italy, Germany, and Poland. It focuses on one example of agency, subsidiary efforts to change product formulations that are successfully developed by the headquarters. We demonstrate that agency within MNEs is influenced by a fit between MNE coordination structures shaped by home country institutions and host country institutions' demands for flexibility or collaboration. Institutional incompatibilities between home and host contexts are unlikely to trigger actors' reflective capacity to change if the actors cannot draw on supportive coordination structures in the MNE. This is not just an 'institutional distance' argument as is commonly understood in IB. It is related to whether local institutions support the subsidiary to take advantage of specific opportunities conditioned by the home country institutions.",https://www.jstor.org/stable/41410998,MIR: Management International Review,10.2307_41410998,Management & Organizational Behavior,2011.0,1,0.9999370574951172,0,0.00013941043289378285,0,6.921357999090105e-05
,,,Executive accountability around the World: Sources of cross-national variation in firm performance-CEO dismissal sensitivity,"In this study, the authors investigate why CEOs seem to be held more accountable for poor firm performance in some countries than others. The article integrates research from comparative corporate governance and agency theory to identify and evaluate four fundamental assumptions underlying most theoretical arguments linking performance and dismissal: (1) CEOs are personally responsible for firm performance outcomes; (2) boards/owners have the power to dismiss CEOs; (3) firm performance measures are meaningful; and (4) suitable alternative candidates for the CEO role are available. The authors argue that CEO accountability will vary in line with the extent to which these assumptions are more or less valid from one country to the next. They provide robust evidence - across both marketbased and accounting-based measures - that CEOs are more likely to be dismissed following poor firm performance in countries where managerial discretion is high, where firm performance measures are more meaningful, and where the CEO labor market is more developed. However, the authors do not find support for their prediction that CEO accountability varies in line with cross-national differences in CEO power asymmetry.",https://www.jstor.org/stable/43581892,Strategic Organization,10.2307_43581892,Management & Organizational Behavior,2013.0,0,1.8788010493153706e-05,1,0.9997349381446838,0,0.01713395118713379
,,,The Role of Public Relations During Industrial Crises,"This case study explores the relationship among a small citizen's group, a wood-preserving plant, the mass media and the government during a water pollution crisis. It examines the public relations efforts surrounding the controversy and concludes that an on-going, balanced, two-way program of communication would have been more effective than the one-way, reactive posture adopted by the plant.",https://www.jstor.org/stable/26162605,Industrial Crisis Quarterly,10.2307_26162605,Management & Organizational Behavior,1987.0,0,0.15060025453567505,0,0.0002760141796898097,0,0.0008159403805620968
,,,"Social Movements, the Occupational Arena and Changes in Career Consciousness: The Case of Women Flight Attendants","The impact of social movements as a major environmental influence in the evolution of career consciousness was analysed based on extensive interviews of women flight attendants. The aim was to elicit the women's view of their work lives over the past two decades. Flight attendants working in the 1960s entered with the expectation of a short-term job. From their accounts of personal development and from reviews of newspaper accounts, court cases and union documents, the influence of three major social movements became apparent. The Civil Rights Movement prompted flight attendants to challenge the legality of airline rules that prevented them from working past age 32. The Women's Movement reinforced the value and seriousness of women's commitment to a career and enabled flight attendants to challenge traditional notions of the incompatibility of occupation and family. The Occupational Health Movement, by addressing the collective problems of creating a healthy work environment, mobilized women flight attendants to recognize their long-term career investment. The findings suggest that social movements provide an additional dimension that is relevant for the future study of career development and continuing occupational socialization.",https://www.jstor.org/stable/3000308,Journal of Occupational Behaviour,10.2307_3000308,Management & Organizational Behavior,1984.0,1,0.9915900826454163,1,0.999824583530426,0,0.05820824205875397
,,,The turn to work in organization and management theory: Some implications for strategic organization,None,https://www.jstor.org/stable/43581866,Strategic Organization,10.2307_43581866,Management & Organizational Behavior,2012.0,0,0.08046586066484451,0,0.001289734267629683,0,0.0006424901657737792
,,,"WAI: Indigenous Water, Industrial Water in Hawai'i",None,https://www.jstor.org/stable/26161965,Organization & Environment,10.2307_26161965,Management & Organizational Behavior,2007.0,0,0.011515550315380096,0,0.0023100951220840216,0,0.0008321884088218212
,,,A cognitive model of stock market reactions to multi-firm alliance announcements,"Previous studies of stock market reactions to alliance announcements assume that investors accurately detect and encode these public statements, evaluate them with stable, well-established perferences, and that the signalling value of an announcement is independent of the context in which it is conveyed. This article draws on behavioural decision theory to advance a cognitive model of stock market reactions to the announcement of complex, multi-firm alliances. The model predicts a U-shaped relationship between the diversity of partners comprising the alliance and abnormal stock market returns. An empirical analysis of multi-firm alliances announced in the US between 2000 and 2004 corroborates the model's prediction. Moreover, the study shows that a firm's size and analyst coverage moderate the relationship between its alliance partners' diversity and its abnormal returns. These findings suggest that attentional selection and subsequent encoding processes produce cognitive biases in the interpretation of announcements and the market moves towards greater efficiency for large or high-coverage firms. Managers should thus take the effect of the 'process of processing' into account when disclosing information to the investor community.",https://www.jstor.org/stable/23728623,Strategic Organization,10.2307_23728623,Management & Organizational Behavior,2008.0,0,2.6289008019375615e-05,0,0.00029648831696249545,1,0.5018752813339233
,,,"""Profit"": A new key concept in Russia and the Czech Republic. Parallels and differences","The article describes how the concepts - i.e. people's knowledge and attitude connected to the Russian and Czech words for profit have changed during the transformation after 1989. In the socialist period capitalist profit maximization is stereotypically damned whereas socialist profit remains rather an internal matter of the enterprises. In the 1990ies both the profits of particular enterprises and the general notion of profit become a public matter. In specialized and newspaper texts profit is endorsed as a motivation for people to work and the driving economic force. In Czech spoken discourse people are often skeptical towards the notion of profit. Der Artikel beschreibt, wie sich nach der ""Wende"" von 1989 die Konzepte - d.h. Wissen und Einstellungen - zum russischen bzw. tschechischen Wort für Gewinn verändert haben. In den Texten aus sozialistischer Zeit wird kapitalistischer Gewinn stereotyp verurteilt. Sozialistischer Gewinn ist meistens eine interne Angelegenheit der Betriebe und nur eine von mehreren Kennziffern. In den 1990ern wird Gewinn zu einer Sache, die alle angeht: Er wird als wichtigstes Betriebsergebnis veröffentlicht; der Begriff wird eingehend diskutiert. In Fachund Zeitungstexten wird er als Arbeitsmotivation und treibende wirtschaftliche Kraft positiv bewertet. Im tschechischen Alltagsdiskurs herrscht eine skeptische Einstellung gegenüber Gewinn bzw. Gewinnstreben vor.",https://www.jstor.org/stable/23280682,Journal of East European Management Studies,10.2307_23280682,Management & Organizational Behavior,2004.0,0,0.03781658783555031,0,0.0006746285362169147,0,0.00023666165361646563
,,,Diary of Events: July 2000–May 2001,"A selective listing of key conferences, seminars and exhibitions in the field of business and sustainability",https://www.jstor.org/stable/greemanainte.28.112,Greener Management International,10.2307_greemanainte.28.112,Management & Organizational Behavior,1999.0,0,0.06030230224132538,1,0.6844081878662109,0,0.0002008578012464568
,,,Response to a Sociologist's Perspective,None,https://www.jstor.org/stable/3381312,Public Performance & Management Review,10.2307_3381312,Management & Organizational Behavior,2005.0,0,6.124276842456311e-05,0,0.00013375132402870804,0,0.0005511009367182851
,,,Reflections on CEO Compensation,None,https://www.jstor.org/stable/27747442,Academy of Management Perspectives,10.2307_27747442,Management & Organizational Behavior,2008.0,0,7.004348299233243e-05,0,0.0002365416439715773,0,0.03330659121274948
,,,The Role of Capital Cost in Performance Measurement and Benchmarking,The literature on performance measurement is abundant with why we should measure performance and how to measure it. What remains outstanding is a sufficient body of research on the cost data that support measures of efficiency. This article offers a cost methodology that controls the variations in capital cost as used by the North Carolina Local Government Performance Measurement Project. It is shown that the calculation method of capital cost has a material impact on measures of efficiency. Localities are encouraged to consider the numerous variables associated with capital cost regardless of participating in a formal benchmarking project or creating efficiency measures for internal comparison over time.,https://www.jstor.org/stable/3381074,Public Performance & Management Review,10.2307_3381074,Management & Organizational Behavior,2000.0,0,0.00017843881505541503,0,0.25872406363487244,0,4.244540832587518e-05
,,,Economic perspectives on tourism in China,"This paper employs input-output analysis to evaluate the economic aspects of tourism in China. It concludes that, given the size and diversity of the Chinese economy, tourism has provided only a limited stimulus to economic development at the national level. Tourism development depends markedly on input from secondary industry. Tourism contributes to direct value added for tourism commodities and generates substantial indirect and induced employment to non-tourism commodities, especially in agriculture. Leakage is rather low. Only 40 per cent of the tourism leakage comes directly from tourism-related commodities and more than half is indirect leakage from nontourism commodities, especially secondary industry. This suggests that the availability of secondary commodities may be a constraint on tourism development in China.",https://www.jstor.org/stable/23747292,Tourism and Hospitality Research,10.2307_23747292,Management & Organizational Behavior,2002.0,0,9.334667993243784e-06,1,0.7273834943771362,0,0.0003512570692691952
,,,Market Servicing by Multinational Manufacturing Firms: Exporting versus Foreign Production,"The foreign market servicing behaviour of multinational manufacturing firms evolves over time as a result of the firms' reaction to internal and external pressures. The interplay of immobile `location factors' with internal `ownership factors' under the control of individual enterprises exercises a powerful influence on the choice between exporting and foreign investment. Plant economies of scale encourage exporting, whilst firm level economies of scale, such as the internalization of the fruits of research, may predispose the firm towards foreign investment. Socio-political and cultural elements arising particularly from the nationality of ownership of the firm also influence market servicing strategy.",https://www.jstor.org/stable/2487130,Managerial and Decision Economics,10.2307_2487130,Management & Organizational Behavior,1981.0,0,4.537640052149072e-05,0,0.00019176672503817827,0,0.0007650841143913567
,,,An Identity Construction Perspective on Careers of Swedish International Itinerants,"Considering international assignments as part of an individual's career, beyond the traditional expatriate assignment as employed and sent out by a company, this paper focuses on international itinerants. The purpose of this paper is to increase the understanding of individuals with multiple international work experiences, crossing the boundaries of a single employer, their experiences, identifications and identity construction. In the study an identity construction perspective is applied on four in-depth interviews with Swedish international itinerants. Categories of narratives are identified where the itinerants experience ambiguities and paradoxes in their identity construction, what they identify with and implications are discussed.",https://www.jstor.org/stable/41783601,Management Revue,10.2307_41783601,Management & Organizational Behavior,2009.0,0,0.0685058981180191,0,0.0038283735048025846,0,0.006550681311637163
,,,Enantiodromia and crisis management: a Jungian perspective,"In this paper, using Carl G. Jung's psychological theory of types, we propose that the process of enantiodromia hinders decision-making in crisis management. This process produces a double reversal in the decisions and actions made by individuals: first, good and usual strategies are pushed to absurdity and second, archaic strategies, loaded with unconscious material, are substituted for the efficient and common ones. Providing a number of key definitions in analytical psychology, we explain the nature and the effects of enantiodromia with the help of diverse case analyses, and we propose several possibilities for managing the negative side of this process.",https://www.jstor.org/stable/26162510,Industrial & Environmental Crisis Quarterly,10.2307_26162510,Management & Organizational Behavior,1993.0,0,0.00012155811418779194,0,0.3811923861503601,0,0.0005407342687249184
