,stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
10,,,,Public Sector Contracting: An Australian Study of Changing Work Conditions,"Throughout the 1990s, government reports such as the Competitive Tendering and Contracting Report (Industry Commission1996) and the Report of the Independent Commission to Review Public Sector Finances (McCarrey 1993), suggested that the contracting-out of government services would improve the delivery of public goods in Australia. This article reports on the findings of a case study of contracting-out of building maintenance services in the state of Western Australia in Australia. The study focuses on evaluating the impact of the contracting-out of these services on the wages and conditions of employees affected by moving from public sector to private sector employment. The study found differences in the employment conditions of white collar and blue collar workers. In general, the conditions of white collar workers improved but there was a marginal decline in the conditions of blue collar workers. The article concludes that while contracting-out created budgetary savings for government, these resulted partly from a reduction in wages and benefits of former blue collar staff, despite the best efforts of the Western Australian government to protect staff wages and benefits. The research makes an important theoretical contribution by arguing that the impact of contracting-out on staff wages, benefits and conditions is conditional upon the level of competition in the labor market for worker's expertise. In ""thick markets"", wages, benefits and conditions are likely to reduce, due to strong competition for expertise. However in ""thin markets"", wages, benefits and conditions are likely to increase, due to weak competition for expertise (Borland, 1994).",https://www.jstor.org/stable/41783501,Management Revue,10.2307_41783501,Management & Organizational Behavior,2005.0,0,9.642098120821174e-06,0,0.00021086877677589655,0,0.0006342224660329521
11,,,,Games Managers Play: Play as a Form of Leadership Development,"In recent years, organizations have expended considerable effort and resources to develop and improve managers' leadership skills through various forms of play. I explore the role of play in leadership development processes. Drawing on theories of leader and leadership development and theories of play, I develop a conceptual framework, suggesting that play can contribute to different components of leader and leadership development processes (i.e., leadership identity, cognitive abilities, and behavioral skills). Furthermore, the role of creating safe play spaces in leadership development processes is highlighted. The discussion examines the implications and applications of play for leadership development processes, points to the dangers of misuse of play, and outlines directions for further empirical research.",external-fulltext-any,Academy of Management Learning & Education,10.2307_41318071,Management & Organizational Behavior,,0,0.00010495610331417993,0,0.00020857123308815062,0,0.0009624641388654709
12,,,,Company Profile: John R. Porter and the Musée du Québec,"Directing a museum devoted to the conservation of national art occasionally requires a rethinking of some of the orientations traditionally associated with museum management. This, at any rate, was the risk that John R. Porter was willing to take in 1993, when he accepted the post of director of the Musée du Québec. The implementation of his vision for the museum led to a substantial increase in attendance over a three-year period. However, while the Musée du Québec now enjoys greater notoriety, the important task of consolidating the museum's financial situation continues, notably through an ongoing effort to renew programming. The author describes how Porter perceives his role at the Musée du Québec, as well as the changes implemented under his leadership and the main events that have contributed, since 1993, to the museum's metamorphosis. La direction d'un musée destiné à la conservation de l'art national oblige parfois à repenser certaines orientations traditionnellement associées à la gestion muséale. C'est du moins le pari qu'a fait John R. Porter en acceptant, en 1993, la direction générale du Musée du Québec. La concrétisation de sa conception du musée a permis d'accroître la fréquentation considérablement en trois ans. Toutefois, si le Musée du Québec jouit maintenant d'une grande notoriété auprès du public, il faut en poursuivre la consolidation financière et, pour ce faire, continuer à en réinventer la programmation. L'auteur décrit comment Porter conçoit son rôle au Musée du Québec, ainsi que les changements entrepris sous sa direction et les principaux événements qui ont contribué, depuis 1993, à la transformation du musée. La administración de un museo de conservación del arte nacional obliga a menudo a reexaminar certas orientaciones tradicionalmente asociadas con la gestión de los museos. Es, por lo menos, la apuesta que se hizo John R. Porter cuando, en 1993, aceptó la dirección general del Museo de Quebec. La concreción de su concepción del museo permitió aumentar considerablemente las entradas en tres años. Sin embargo, aunque el Museo de Quebec goce hoy en día de gran notoriedad entre el público, se debe continuar su consolidación financiera. Para ello, es preciso reinventar continuamente la programación. El autor describe cómo Porter concibe su papel en el Museo de Quebec así como los cambios que se emprendieron bajo su dirección y los principales acontecimientos que contribuyeron, desde 1993, a la transformación del museo.",https://www.jstor.org/stable/41064725,International Journal of Arts Management,10.2307_41064725,Management & Organizational Behavior,2001.0,1,0.5040814876556396,0,0.0008394522592425346,0,0.016456294804811478
13,,,,Dynamic and Risk Measurement Perspectives on Bowman's Risk-Return Paradox for Strategic Management: An Empirical Study,"Bowman's (1980, 1982) widely quoted papers have reported the existence of a risk-return paradox for strategic management. In this paper the authors examine the dynamic behavior of the risk-return relationship and analyze whether the risk-return paradox is stable across time. The analysis involves tracking Bowman's so-called negative association ratio across time. Using accounting measures of risk and return, it is demonstrated that while the paradox holds during the 1970s, the finding does not hold in the environment of the 1960s. Further, the paradox disappears if market-based risk measures are used. Some implications for strategic management are then discussed and attention is directed towards the meaning of risk in the context of strategic management. In addition, possible explanations for this paradox are evaluated and directions for further research are suggested.",https://www.jstor.org/stable/2486056,Strategic Management Journal,10.2307_2486056,Management & Organizational Behavior,1986.0,0,1.5711004380136728e-05,0,0.0002726802777033299,0,0.00021653951262123883
14,,,,Communications Strategies in Crisis,"During major technological crisis, involved organizations often find themselves facing huge problems of communication. This brings in its wake operational paralysis and a destruction of public image. Lack of preparation, a history of unawareness of risk realities, low internal mobilization, underdeveloped external networks, and poor links with the media and public opinion, lead to spectacular failures in organizations. Organizations must re-examine their repertoire of crisis handling practices in order to develop good communications strategies.",https://www.jstor.org/stable/26162606,Industrial Crisis Quarterly,10.2307_26162606,Management & Organizational Behavior,1987.0,0,0.00013326527550816536,0,0.0003874212852679193,0,0.0009600861230865121
15,,,,Script comparisons during service encounters in fast-food chains,"The purpose of this study was to explore and compare the service encounter cognitive scripts existing between service providers and customers as utilized by fast-food chains. The semi-structured interviews were conducted with customers and employees of fast-food restaurants to examine and record their cognitive script with regard to dining in a fast-food restaurant. The findings suggest that the fast-food industry needs to place greater emphasis on the after counter service in order to make more of an impression on customers in relation to the complete service procedure with regard to service encounter scripts standardized by operators. By defining the differences in scripts that operate between customers and service providers, this offers an opportunity for improving the service encounter within industries oriented toward personal interaction.",https://www.jstor.org/stable/23745423,Tourism and Hospitality Research,10.2307_23745423,Management & Organizational Behavior,2011.0,0,5.867424260941334e-05,0,0.00039713000296615064,0,0.00024452779325656593
16,,,,Does It Matter That the Prosecutor Is Also the Judge? The Administrative Complaint Process at the Federal Trade Commission,"Firms seeking to merge face antitrust scrutiny from either the Department of Justice (DOJ) or the Federal Trade Commission (FTC). Unlike the DOJ, the FTC litigates its cases in front of its own administrative law judges (ALJs), and then hears the appeal itself, rather than using federal district courts. This study focuses on the formal decisions made by the FTC after an ALJ has conducted a full trial for a particular case. We find that while the 'merits' of a matter, as implied by the case law, affect the FTC's decision, institutional factors also have an impact. In particular, the firm's chances of prevailing in litigation are influenced by the number of commissioners who both vote to prosecute and then vote as a judge as well as the political affiliations of the commissioners.",https://www.jstor.org/stable/3108306,Managerial and Decision Economics,10.2307_3108306,Management & Organizational Behavior,1998.0,0,1.097786571335746e-05,0,0.011124400421977043,0,0.0001540410885354504
17,,,,FDI in China: What We Know and What We Need to Study Next,"China is the world's fastest growing economy and is the focus of extensive discussion by both academics and businesspeople. One of the principal drivers of China's growth is foreign direct investment (FDI) into the country. China has pursued a historically unique FDI policy that has long-term implications for both Chinese and international businesses. The largest portion of China-related research is focused on FDI in China. This paper looks at what we know from this research and where future research about China and FDI needs to move. This paper will allow academics to build that knowledge of China and FDI into teaching and into a foundation for understanding this dynamic economy. Such an understanding of FDI will also help academics whose expertise is not China to better understand what is unique about China and its economy and lay the foundation for understanding other emerging economies. Using a process framework this paper examines various issues related to FDI in China, including the nature of earlier foreign investments into China, the timing and mode of entry, partner selection decisions, joint venture strategies, interpartner issues, and people issues in FDI.",https://www.jstor.org/stable/27747477,Academy of Management Perspectives,10.2307_27747477,Management & Organizational Behavior,2008.0,0,8.166863699443638e-05,0,0.0010562631068751216,0,0.00011068502499256283
18,,,,"Commitment and Identification: Forms, Foci, and Future",None,https://www.jstor.org/stable/4093918,Journal of Organizational Behavior,10.2307_4093918,Management & Organizational Behavior,2006.0,0,0.0007453610305674374,0,0.0004240177513565868,0,0.0006757610244676471
19,,,,Earnings Fraud: Board Control vs CEO Control and Corporate Performance — 1992-2004,"The turn of the millennium is associated with increased corporate fraud, largely attributed to the failure of corporate governance. The compensation committee is expected to minimize fraud by rewarding only appropriate CEO behavior. A causal modeling approach, the Directed Acyclic Graph, was used to estimate the structure of corporate fraud. Corporate fraud was measured as illegal earnings statements), not all restatements but only those found illegal. A major finding is that the CEO's stock-option compensation motivates the CEO to commit corporate earnings fraud, while cash salaries and bonuses are only indirectly related to earnings fraud through those stock options.",external-fulltext-any,Managerial and Decision Economics,10.2307_41060635,Management & Organizational Behavior,,0,2.3104130377760157e-05,0,0.0960749164223671,0,5.7170742365997285e-05
20,,,,When Managers Become Philosophers: Integrating Learning with Sensemaking,"My purpose here is to join the scholarly conversation (Huff, 1999) concerning the development of managers (Detrick, 2002; Donaldson, 2002; Pfeffer & Fong, 2002) and to introduce the reader to two similar constructs developed in differing paradigms: sensemaking and learning. Through a review of the characteristics of sensemaking and the conceptual orientations to adult learning, similarities and contradictions emerge. Both constructs deal with the creation of meaning, the necessity for action to be linked with cognition, and the importance of both subjective and objective knowledge. Differences appear with respect to the role of critical reflection and the impact of social structuring on meaning making. Although contradictions emerge, after examining each construct independent of the other, I suggest that the two constructs are actually complementary. To identify this symbiotic relationship, I offer two implications concerning the conceptualization of managerial work and the development of managers.",https://www.jstor.org/stable/40214286,Academy of Management Learning & Education,10.2307_40214286,Management & Organizational Behavior,2005.0,0,0.11636064946651459,0,0.0006015875842422247,0,0.00012364887516014278
21,,,,Researching human resource management in the hospitality industry: The need for a new agenda?,"Analysis of both research conference and refereed journals suggests that 'people' continue to be a dominant hospitality industry research topic. This paper is concerned with research which addresses the management of the labour process and employment relationships per se. The main focus of the analysis explores the research on issues related to people management published in specialist hospitality and tourism journals, and the analysis is further developed through a comparison of research articles published over the same time period in a generic human resources publication. Comparison of these two sets of journals reveals some interesting similarities and variations in research topics — not the least of which is the general reluctance of hospitality research to critically engage with debates about the meaning and theoretical underpinning of 'human resource management'.",https://www.jstor.org/stable/42919208,International Journal of Tourism and Hospitality Research,10.2307_42919208,Management & Organizational Behavior,1999.0,0,0.00011786590766860172,0,0.0005235877470113337,0,0.0012629698030650616
22,,,,Organizational Effectiveness and Bureaucratic Red Tape: A Multimethod Study,"Although many efforts to improve the effectiveness of government agencies target bureaucratic red tape, little academic work has evaluated the implications of red tape for organizational performance. This article proposes and tests a model of organizational effectiveness that explicitly accounts for red tape and the mitigating effect of organizational culture. This multimethod study uses both quantitative data from questionnaires and qualitative data from in-depth interviews. Findings suggest that red tape in human resource systems and information systems has a negative effect on organizational effectiveness. However, a dimension of organizational culture, namely developmental, mitigates the negative effects of bureaucratic red tape.",https://www.jstor.org/stable/20447639,Public Performance & Management Review,10.2307_20447639,Management & Organizational Behavior,2007.0,0,0.0005810933653265238,0,0.00019231623446103185,0,0.0010775363771244884
23,,,,Identity in Organizations: Exploring Cross-Level Dynamics,"Most research on organization-based identities focuses on a single level of analysis, typically the individual, group, or organization. As a spur to more cross-level identity research, we offer speculative discussions on two issues concerning nested identities. First, regarding the processes through which identities become linked across levels, we explore how identities at one level of analysis enable and constrain identities at other levels. We argue that, for a collective identity, intrasubjective understanding ("" I think"") fosters intersubjective understanding ("" we think"") through interaction, which in turn fosters generic understanding— a sense of the collective that transcends individuals ("" it is""). Second, regarding the content of linked identities, we suggest that identities are relatively isomorphic across levels because organizational goals require some internal coherence. However, for various intended and unintended reasons, isomorphism is often impeded across levels, and identities tend to become somewhat differentiated.",external-fulltext-any,Organization Science,10.2307_41303108,Management & Organizational Behavior,,0,0.0005796879413537681,0,0.015487941913306713,0,0.08707510679960251
24,,,,Survival of Businesses Using Collaborative Relationships to Commercialize Complex Goods,"Authors with many theoretical and managerial perspectives argue that businesses commercializing technologically complex goods benefit when they collaborate closely with other businesses. Collaboration is viewed as a means for businesses to overcome competency limitations and to achieve the close configuration of components required for complex goods. We predict that collaborative relationships often assist businesses to produce complex goods, but that the relationships might also cause problems for the collaborating businesses. We find that firms using development-oriented and marketing-oriented collaborative relationships in the hospital software systems industry are less likely to shut down than businesses that follow independent approaches when the environment changes gradually, but businesses using collaborative relationships are sometimes susceptible to being acquired by other firms. Following a sudden environmental shock, businesses with collaborative relationships for activities central to the shock became more likely to shut down, while businesses with collaborative relationships for activities outside the focus of the shock became more likely to survive. The study critically evaluates and tests the widely stated but little-tested argument that interfirm collaboration is usually beneficial. The results address the issue of whether organizational choices affect comparative business performance.",https://www.jstor.org/stable/2486844,Strategic Management Journal,10.2307_2486844,Management & Organizational Behavior,1996.0,0,9.438010238227434e-06,0,0.0005025818827562034,0,0.004779720213264227
25,,,,Rim Multiparametric Linear Programming,"The rim multiparametric linear programming problem (RMPLP) is a parametric problem with a vector-parameter in both the right-hand side and objective function (i.e. in the ""rim""). The RMPLP determines the region K<tex-math>$^* \subset$</tex-math> E<sup>s</sup> such that the problem, maximize z(λ)=c<sup>T</sup>(λ)x , subject to Ax = b(λ), x ≥ 0, has a finite optimal solution for all λ ∈ K<sup>*</sup>. Let B<sub>i</sub> be an optimal basis to the given problem, and let R<sub>I</sub><sup>*</sup> be a region assigned to B<sub>i</sub> such that for all λ ∈ R<sub>I</sub><sup>*</sup> the basis B<sub>i</sub> is optimal. The goal of the RMPLP problem is to cover K<sup>*</sup> by the R<sub>I</sub><sup>*</sup> such that the various R<sub>I</sub><sup>*</sup> do not overlap. The purpose of this paper is to present a solution method for finding all regions R<sub>I</sub><sup>*</sup> that cover K<sup>*</sup> and do not overlap. This method is based upon an algorithm for a multiparametric problem described in an earlier paper by Gal and Nedoma.",https://www.jstor.org/stable/2630040,Management Science,10.2307_2630040,Management & Organizational Behavior,1975.0,0,7.722745976934675e-06,0,0.00021828949684277177,0,0.00018967673531733453
26,,,,Enabling Sustainability through an Action Research Process of Organisational Development,"The purpose of this paper is to report the results of a study exploring a unique learning process leading to ‘leader led’ organisational change with a sample of South African SMEs. The paper investigates a specific developmental methodology designed to enable leaders to explore the structures and processes within their organisations that are most conducive or resistant to the evolution of responsible leadership within a framework of unique emergent sustainability strategies. An action research approach using a structured workbook was adopted to support leaders of SMEs in the discovery, planning and execution of sustainability projects within their organization. The findings indicate that action research is an appropriate process for initiating and supporting new sustainability management practices in organisations. The collective inquiry identified a broadly applicable model of sustainable business underpinned by values-based leadership, open communication and stakeholder engagement. Specifically, the unique priorities and context of each business were important for developing each organisation's concept of sustainability and fostering engagement with sustainability projects. The results offer practical development advice to smaller companies seeking to embed sustainable strategies through responsible leadership. Through a number of action research iterations tangible progress was made in both awareness and implementation of sustainability management in the organisation. The process involved a learning ‘journey’ for the managers involved leading towards organisational change.",https://www.jstor.org/stable/jcorpciti.49.137,Journal of Corporate Citizenship,10.2307_jcorpciti.49.137,Management & Organizational Behavior,2013.0,0,0.00015935984265524894,0,0.001810537651181221,0,0.0002312368742423132
27,,,,Can International Competitiveness Be Measured by the Relative Unit Labour Cost Approach? A Comment on Professor Artto,None,https://www.jstor.org/stable/40227917,Management International Review,10.2307_40227917,Management & Organizational Behavior,1989.0,0,3.9663882489549e-06,0,0.0003595156595110893,0,0.00031766502070240676
28,,,,Strategic Inventory in Capacitated Supply Chain Procurement,"We study the strategic role of inventory in a sequential two-period procurement setting, where the supplier's capacity in the first period is limited and the retailer has the option to hold inventory. We compare the equilibrium under a dynamic contract, where the decisions are made at the beginning of each period, and a commitment contract, where the decisions for both periods are made at the beginning of the first period. We show that there is a critical capacity level below which the outcomes under both types of contracts are identical. When the first period capacity is above the critical level, the retailer holds inventory in equilibrium and the inventory is carried due to purely strategic reasons; as capacity increases, so does the strategic role of inventory. The supplier always prefers lower capacity than the retailer, and the difference between supplier-optimal and supply-chain optimal capacities, and the corresponding profits, can be significant. Finally, we find that the retailer's flexibility to hold inventory is not always good for the participants or for the channel.",https://www.jstor.org/stable/25151580,Managerial and Decision Economics,10.2307_25151580,Management & Organizational Behavior,2008.0,0,1.2492769201344345e-05,0,0.00026623334269970655,0,0.00016188641893677413
29,,,,Personality and Charisma in the U.S. Presidency: A Psychological Theory of Leader Effectiveness,"We argue in this paper that in an age of complexity, change, large enterprises, and nation states, leaders are more important than ever. However, their effectiveness depends on their personality and charisma and not solely on their control over bureaucratic structures. We used a study of U.S. presidents to test a general model of leader effectiveness that includes leader personality characteristics, charisma, crises, age of the institution headed by the leader, and leader effectiveness. Age of the presidency accounted for approximately 20 percent of the variance in presidential needs for power, achievement, and affiliation. Presidential needs and a measure of leader self-restraint in using power, the age of the presidency, and crises accounted for 24 percent of the variance in presidential charisma. Age of the presidency, crises, needs, and charisma together predicted from 25 percent to 66 percent of the variance in five measures of presidential performance. Our study demonstrates that personality and charisma do make a difference.",https://www.jstor.org/stable/2393201,Administrative Science Quarterly,10.2307_2393201,Management & Organizational Behavior,1991.0,0,2.116150426445529e-05,0,0.0003485838242340833,0,0.015640616416931152
30,,,,The Myopia of Learning,"Organizational learning has many virtues, virtues which recent writings in strategic management have highlighted. Learning processes, however, are subject to some important limitations. As is well-known, learning has to cope with confusing experience and the complicated problem of balancing the competing goals of developing new knowledge (i.e., exploring) and exploiting current competencies in the face of dynamic tendencies to emphasize one or the other. We examine the ways organizations approach these problems through simplification and specialization and how those approaches contribute to three forms of learning myopia, the tendency to overlook distant times, distant places, and failures, and we identify some ways in which organizations sustain exploration in the face of a tendency to overinvest in exploitation. We conclude that the imperfections of learning are not so great as to require abandoning attempts to improve the learning capabilities of organizations, but that those imperfections suggest a certain conservatism in expectations.",https://www.jstor.org/stable/2486499,Strategic Management Journal,10.2307_2486499,Management & Organizational Behavior,1993.0,0,6.206090620253235e-05,0,0.00014971414930187166,0,0.00018462975276634097
31,,,,The Reliability of the Work Environment Preference Schedule,None,https://www.jstor.org/stable/2488302,Journal of Organizational Behavior,10.2307_2488302,Management & Organizational Behavior,1988.0,0,0.05772995203733444,0,0.0018582899356260896,0,0.0004218349640723318
32,,,,Factors Influencing Divestment Decision-Making: Evidence from a Field Study,"This research investigates factors which influenced the corporate-level divestment decisions of large, diversified firms. Field research, including interviews with corporate executives of 40 large diversified firms, provided the data to test propositions developed from various literature sources. In general, the findings from this research indicate that a business unit's strength, its relationship to other units in its firm and its parent firm's financial position compared to its competitors are important divestment influences, whereas other factors such as general economic conditions are not. Some of the findings are consistent with conventional management wisdom, but others are counterintuitive.",https://www.jstor.org/stable/2486315,Strategic Management Journal,10.2307_2486315,Management & Organizational Behavior,1984.0,0,8.105578672257252e-06,0,0.0006438316195271909,0,0.0011358497431501746
33,,,,Changes in Performance in a Management by Objectives Program,"The present study is an empirically based longitudinal study of performance in a manufacturing company using management by objectives. This study utilizes a multiple-time-series quasi-experimental research design. The performance of the subordinates of 181 MBO involved supervisors in production and marketing departments is analyzed. Time lag, reinforcement, and sustaining improvements in performance are considered and analyzed.",https://www.jstor.org/stable/2391811,Administrative Science Quarterly,10.2307_2391811,Management & Organizational Behavior,1974.0,0,2.1980516976327635e-05,0,0.00016022895579226315,0,0.008111177943646908
34,,,,"Buddhism, Sustainability and Organizational Practices: Fertile Ground?","This paper provides a systematic review of literature relating to Buddhism, sustainability and organizational practices. How extant literature acknowledges Buddhism informing sustainability as an alternative to current business practices predominantly governed by an economic rationale is examined. Thirty journal articles and 20 books/book chapters are analyzed. Commonly discussed Buddhist principles in the literature include the Four Noble Truths, the Noble Eightfold Path, the Law of Karma, and Compassion. Through the analysis of Buddhist principles, a set of values are derived that enable the possibility of fostering sustainability in organizations. Core values emphasized are interconnectedness, moderation and empathy. Given the limited attention to date, this paper contributes to the extant literature through providing avenues for future research that could examine efforts to enact these core values in further exploring the connections between Buddhism, sustainability and organizational practices.",https://www.jstor.org/stable/jcorpciti.61.44,Journal of Corporate Citizenship,10.2307_jcorpciti.61.44,Management & Organizational Behavior,2016.0,0,0.06649266928434372,1,0.9998900890350342,0,6.428128108382225e-05
35,,,,"A Model for a Multi-Item, Multi-Echelon, Multi-Indenture Inventory System","The purpose of this paper is to describe a mathematical model, called MOD-METRIC, for the control of a multi-item, multi-echelon, multi-indenture inventory system for recoverable items, that is, items subject to repair when they fail. Discussion is limited to two-echelon multi-item systems in which an item may be demanded at any one of several locations called bases; in turn, these bases receive inventory from a central location called a depot. The objectives of the model are to describe the logistics relationship between an assembly and its subassemblies, and to compute spare stock levels for both echelons for the assembly and subassemblies with explicit consideration of this logistics relationship. In particular, the model is used to determine the base and depot spare stock levels which minimize total expected base backorders for the assembly subject to a system investment constraint. An example is given showing how the model can be used to calculate spare engine and engine module stock levels. MOD-METRIC has been implemented by the Air Force as the method for computing recoverable spare stock levels for the F-15 weapon system.",https://www.jstor.org/stable/2629628,Management Science,10.2307_2629628,Management & Organizational Behavior,1973.0,0,1.47197388287168e-05,0,0.001426579779945314,0,0.0006295426283031702
