stance twd. demog persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,The Anomie of Affluence: A Post-Mertonian Conception,"Merton's conceptualization of anomie theory is examined in terms of the influence of the economic and social conditions surrounding its initial formulation: circumstance of chronic depression. The anomie potentially generated by unanticipated affluence, a more central concern for Durkheim, is discussed by way of contrast. A tentative typology of deviant adaptation is constructed utilizing questions of (a) commitment to approved cultural goals and (b) the degree to wich achievement of substantial progress toward such goals is realized. It is suggested that this typology might be particularly effective in the understanding of deviance at higher socioeconomic levels. The essay also consider implication of Durkheim's underlying model of the human.",https://www.jstor.org/stable/2777100,American Journal of Sociology,10.2307_2777100,Sociology,1976.0,0,0.0004450505948625505,0,0.0006718561053276062,1,0.6340159773826599
,,,THE TRANSBORDER DATA FLOW IN THE NEW WORLD INFORMATION ORDER: PRIVACY OR CONTROL,None,https://www.jstor.org/stable/29769303,Review of Social Economy,10.2307_29769303,Sociology,1985.0,0,0.002773885615170002,0,0.00043009192449972034,0,0.0001376438740408048
,,,WALTER BENJAMIN A SOCIOLOGIST IN THE PATH OF SIMMEL,"This paper is a discussion of the life and work of a controversial figure: Walter Benjamin. Benjamin has been justifiably classified as a mystic, and yet, has similarly been pegged as a Marxist. Both of these seemingly divergent strains, do, in fact, permeate his work. Yet, Benjamin was, perhaps, more. This paper is an attempt to classify Benjamin as a sociologist whose work closely resembles the work of a master sociologist, namely, Georg Simmel. Both personally and professionally these men resemble each other as marginal people in relation to their families and to their academic contemporaries. At the same time, their work is also kindred in spirit and substance, in that, they were both onlookers—passive observers of the unfolding social fabric. And, in fact, they both captured the essential texture of this fabric in the language of what David Frisbe has termed ""sociological impressionism."" Like impressionist painters, Benjamin and Simmel capture the rich details of social life amid the totality which makes up society itself.",https://www.jstor.org/stable/23262699,Humboldt Journal of Social Relations,10.2307_23262699,Sociology,1984.0,0,2.511342245270498e-05,0,0.0005506969173438847,0,0.004234392661601305
,,,Understanding the Welfare Wars: Privatization in Britain Under Thatcher,None,https://www.jstor.org/stable/41035367,Berkeley Journal of Sociology,10.2307_41035367,Sociology,1987.0,0,0.003284008242189884,0,0.0001935504114953801,0,0.0002171662199543789
,,,In the quagmires of ethnicity: A Marxist critique of liberal 'exit strategies',"Liberalism and Marxism both reject ethnicity — belongings to kin, religion, culture, race, descent, or 'blood and soil' — as a basis for the organization of state power. The two positions are, however, radically different in their approach to the separation of politics and ethnicity. The liberal panacea is legal and juridical: citizens are 'equal before the law' regardless of their ethnic belonging. Marxism endorses this project of legal equality but argues that, as long as ethnic power is divided unequally outside the sphere of the law, it contributes to the reproduction of inequality. In other words, liberalism offers legal equality while leaving social inequality intact. This article offers a Marxist-feminist critique of liberal approaches to the conflict between women's rights and religious and cultural belonging in societies that practice Islam.",https://www.jstor.org/stable/23889383,Ethnicities,10.2307_23889383,Sociology,2006.0,0,0.10332560539245605,0,0.002197065856307745,0,0.4346969723701477
,,,The Effects of the Informal Sector on Income of the Poor in Russia,"This paper clarifies the social and economic effects of employment in the informal sector on the poor in Russia in recent years. The article describes the extent to which the figures for informal sector at large and unofficial employment in particular vary in different estimates and the effect they have on the average labor income of the poor. The major impact of the research consists of the development of a universal method for the estimation of the scales of labor income of the poor in the informal sector. Using the latest available data from Russian Federal State Statistics Service, this indicator is calculated for the poor and than compared with average wages in the formal sector and the subsistence minimum (official poverty line). The study concludes that the informal sector is a factor of social stability in a postsocialist transition economy, which, however, cannot alleviate poverty.",https://www.jstor.org/stable/24719165,Social Indicators Research,10.2307_24719165,Sociology,2013.0,0,2.9771410481771454e-05,0,0.0007858138415031135,0,0.011133099906146526
,,,"What Does ""White"" Mean? Interpreting the Choice of ""Race"" by Mixed Race Young People in Britain","Despite the often cited idea that racial identities are socially constructed, and potentially fluid, much public policy is still based on surveys that elicit only one measure of racial identity. A number of U.S. studies have employed ""best single race"" questions on racial identification, in which multiracial respondents are asked to choose only one race to describe themselves. We extend some American studies by examining responses to a ""best single race"" survey question posed to a small sample of multiracial young people in Britain. In-depth interviews with British multiracial respondents are employed to investigate the extent to which a ""best single race"" (BSR) question captures someone's sense of attachment and belonging to a particular ethnic or racial group. In particular, we focus on how we should interpret East Asian/white respondents' choice of ""white"" as their BSR.",https://www.jstor.org/stable/10.1525/sop.2010.53.2.287,Sociological Perspectives,10.1525_sop.2010.53.2.287,Sociology,2010.0,0,3.134871076326817e-05,0,0.00024363740521948785,1,0.9944041967391968
,,,Facilitative and Inhibiting Effects of Distraction on Attitude Change,"In a situation in which subjects listened to a persuasive communication while working on a task, they were told either to attend primarily to the communication (message set) or to the task (task set). There was, in addition, a message-only condition. Relative to the message-only condition, message set increased attitude change and communication-favorable thoughts, and decreased number of counterarguments and recall. Relative to the message-set and message-only conditions, task set decreased attitude change, recall and effort attending to the communication. On the basis of these results it was argued that different mediational models are operating for message-set distraction and task-set distraction. Specifically, it was proposed that message set produces a causal chain running from an increase in communication-favorable thoughts to a decrease in counterarguments to an increase in attitude change. On the other hand, it was proposed that task set decreases attitude change partially through a consistency-achieving devaluation of the interfering communication, and partially through a large decrement in recall. Application of Blalock's method of testing causal hypotheses with correlational data was used to illustrate the theoretical models.",https://www.jstor.org/stable/2786424,Sociometry,10.2307_2786424,Sociology,1974.0,0,1.1149229067086708e-05,0,0.00022712239297106862,0,0.0005717482417821884
,,,"Modeling Irrigated Area to Increase Water, Energy, and Food Security in Semiarid India","Because of declining public investments in irrigation projects in India, the growth of irrigated agricultural production has increasingly become reliant on unsustainable allocation of groundwater. As a result, groundwater resources are increasingly depleted and their role in buffering climate variability is lost. Given future climate and food supply uncertainty under mounting population pressure, it is vital that the connections between climate variability, unsustainable irrigation practices, and their impacts on regional-scale agricultural production are quantified.",https://www.jstor.org/stable/24907361,"Weather, Climate, and Society",10.2307_24907361,Sociology,2010.0,0,7.80649424996227e-05,0,0.00025898608146235347,0,0.0015962990000844002
,,,Measures of Sex Differences in Scientific Productivity,"Satisfactory and robust explanations of sex differences in scientific productivity remain elusive. This article provides a multidimensional, longitudinal description of the productivity of male and female biochemists. Several findings have implications for explaining differences in productivity. Sex differences in the numbers of publications and citations increase during the first decade of the career but are reversed later in the career. The lower productivity of females results from their overrepresentation among nonpublishers and their underrepresentation among the extremely productive. Among biochemists who publish, differences cannot be explained by patterns of collaboration, which are nearly identical for males and females, with one exception: females are much more likely to collaborate with a spouse. The smaller number of citations received by females results from their fewer publications, not from the quality of their publications. Papers by females on average receive more citations than those by males. These and other findings suggest future directions for research to understand sex differences in scientific productivity.",https://www.jstor.org/stable/2579971,Social Forces,10.2307_2579971,Sociology,1992.0,0,1.3200044122640975e-05,0,0.0007347685168497264,1,0.9979332685470581
,,,Mediation of Interpersonal Expectancy Effects: Expectancies About the Elderly,"Two studies explored the behavioral mediation of interpersonal expectancy effects. In Study 1, undergraduates were asked to teach a task via videotape to a target they believed was either another college student their age or an elderly woman. In Study 2, naive undergraduate were yoked to the videotapes made in Study 1; their performance on the task and their perceptions of the perceiver were assessed. Several effects due to the expectancy manipulation and to interactions between the expectancy and the subject's sex were obtained. Subjects who believed they were teaching an elderly target, especially the women, taught less material, were more nervous, and were less friendly; female targets of the ""elderly"" expectancy in turn identified a smaller proportion of concepts correctly and felt more negatively about the teacher. Regression analyses indicated modest support only for the affect-related variables in mediating expectancy effects.",https://www.jstor.org/stable/2786973,Social Psychology Quarterly,10.2307_2786973,Sociology,1994.0,0,3.657237539300695e-05,1,0.9999090433120728,1,0.9760652184486389
,,,Memory as a Cultural System: Abraham Lincoln in World War II,"Studies of how societies preserve the past have focused on the ""social frames of memory."" This study of Abraham Lincoln during World War II extends a semiotic interpretation of culture as it focuses on ""memory as a social frame."" Memories invoked in the context of a present crisis are rooted in generational experience. One-third of all Americans living in 1940 were born during the late nineteenth century, when Civil War resentments were fading and remembrances of Lincoln were more positive and vivid than ever. This generation understood the meaning of World War II by ""keying"" it to the Civil War. Patterned arrays of images of Lincoln were invoked by local and federal agencies to clarify the purpose of World War II, legitimate the preparations for it, and then to orient, inspire, and console the people who fought it. As a model for the present and of the present, images of Lincoln comprised a cultural system that rationalized the experience of war. I compare and contrast memory as a cultural system with constructionist theories of collective memory and discuss it in light of the erosion of American society's grand narratives.",https://www.jstor.org/stable/2096461,American Sociological Review,10.2307_2096461,Sociology,1996.0,1,0.9998359680175781,0,0.0003177970938850194,0,0.0024513050448149443
,,,Control or Defense? Depression and the Sense of Control over Good and Bad Outcomes,"Defense theory holds that defensive illusions guard well-being. People supposedly are least depressed if they claim responsibility for good outcomes and deny responsibility for bad ones. Control theory states that active, effective problem solving builds well-being; thus a sense of personal control and responsibility for both success and failure is associated with low levels of depression. Which theory is right? Regression analyses of the self-reports of 809 randomly selected Illinois residents show that a sense of responsibility for both successes and failures (instrumentalism) is associated with low levels of depression. There is no measurable benefit from claiming responsibility for the good things while denying responsibility for the bad (self-defense). Depression is associated with not feeling in control of good outcomes, or of bad outcomes, or of both. The sense of control reflects the reality of social and economic status. It explains part of the relationship between status and depression. We infer that defensive illusions are no substitute for genuine control.",https://www.jstor.org/stable/2137046,Journal of Health and Social Behavior,10.2307_2137046,Sociology,1990.0,0,0.0011704721255227923,0,0.00015997949230950326,0,0.0007611564360558987
,,, Adam Podgórecki's Sociology of Law: The Invisible Factors of the Functioning of Law Made Visible ,None,https://www.jstor.org/stable/3053325,Law & Society Review,10.2307_3053325,Sociology,1977.0,0,0.006870027631521225,1,0.9939537644386292,0,0.0005331086576916277
,,,Making Time: Agency and the Construction of Temporal Experience,"In this note, I conceptualize four models of causal processes that govern various dimensions of temporal experience. The first is classic determinism, while the other three are variations on the theme of
         self-determination. Efforts at self-determination are defined as forms of agency that I call time work. These agentic practices involve attempts to control, manipulate, or customize one's own temporality
         or that of others. I draw empirical instances of determinism from 705 first-person descriptions of circumstances during which time was perceived to pass slowly. Examples of self-determination come from
         in-depth interviews with 408 subjects. 
    ",https://www.jstor.org/stable/10.1525/si.2002.25.3.379,Symbolic Interaction,10.1525_si.2002.25.3.379,Sociology,2002.0,0,0.0009802075801417232,0,0.00019980418437626213,0,0.0007467971881851554
,,,How Couples Maintain Marriages: A Closer Look at Self and Spouse Influences upon the Use of Maintenance Behaviors in Marriages,"Couples use maintenance behaviors to ensure the continuation of valued relationships. In this study, we extended previous research on relational maintenance in marriage by examining the role of both self and cross-spouse associations in the use of maintenance behaviors. Structural equation modeling using data collected from 129 married couples indicated that for wives, both self-perception of marital quality and cross-spouse perceptions, especially husbands' satisfaction, were related to wives' use of maintenance behaviors. However, husbands' use of maintenance behaviors had only a few associations with self or partner perceptions of marital quality. Results of the study were discussed in terms of their implications for family practitioners working with married couples.",https://www.jstor.org/stable/585635,Family Relations,10.2307_585635,Sociology,1999.0,0,3.1806313927518204e-05,0,0.05075718089938164,0,0.002873925492167473
,,,American Babylon: Black Panthers and Proposition 13,None,https://www.jstor.org/stable/41554620,"Race, Poverty & the Environment",10.2307_41554620,Sociology,2008.0,0,0.47946566343307495,1,0.9999736547470093,0,0.004932714160531759
,,,Development of Sex Differences in Economic Activity and Mental Health in Scandinavia,"In this preliminary study, sex differences in first admissions to mental hospitals in Finland, Norway, and Sweden are examined against the background of changes in the economic activity of men and women in 1939-1976. Hypotheses derived from earlier studies about the beneficial effect of meaningful economic activity on the mental health of women get some support from macro-level inter-country and historical comparisons. Also, women's growing awareness of their problems, expressed through the feminist movement, has helped them to solve their mental difficulties outside hospitals. Men seem to be more vulnerable than women to crisis situations like war and rapid structural change in society. During such crisis periods the sex ratio in mental hospital first admissions declines to the disadvantage of men. Before definite conclusions of the direct relationships between social changes and the mental health of the sexes can be made, studies at an individual level are needed. Ecological correlations between female/male ratios in mental hospital residency and the economic development of an area are positive. This is mainly due to the low hospital residency rates of men in the developed areas, where both sexes share the economic provider roles. Paid work among women seemingly does not threaten the mental health of men.",https://www.jstor.org/stable/4194268,Acta Sociologica,10.2307_4194268,Sociology,1979.0,0,4.287051524443086e-06,0,0.0002543871814850718,1,0.9992876648902893
,,,The Structure of Community Organizational Networks,"Organizational networks in a medium-size midwestern community are examined. Smallest space analysis is used to describe the money, information, and support flows among a wide range of formal organizations. Actors central to these networks are described in detail, and path analysis is used to examine the relationships between organizations' resources, interests, centrality, and influence in community affairs. Organizations which control the most funds and are more dependent on the community for money and legitimacy tend to be more central in each network. Organizations' technology also affects their centrality. However, resources and local dependencies have only an indirect effect on organizations' influence in the community. These effects are mediated by actors' centrality in the three resource networks. Centrality has the strongest direct effect on influence of all variables used in the analysis.",https://www.jstor.org/stable/2577274,Social Forces,10.2307_2577274,Sociology,1979.0,0,1.5039241588965524e-05,0,0.0006072451360523701,0,0.00014765445666853338
,,,Equal Rights/Equal Marriage: Creating Spaces for Jurisgenerative Praxis,"In Canada, particularly since the protection of minority rights under the Charter, rights rhetoric and judicial challenges have emerged as a critical means of redressing the inequity experienced by subordinated peoples and groups - thereby privileging law and its accompanying equality framework as an agent of enfranchisement. Undoubtedly, no other social group has witnessed such rapid advancement of their rights via legal activism in the Canadian policy landscape as has the LGBTQ community – including access to marriage. This paper uses findings from a qualitative study with LGBTQ individuals who married their same-sex partners to increase our understanding of the impact of the Equal Marriage Charter challenge and associated equality discourse as a mechanism for, or moment of, jurisgenerative praxis for LGBTQ people choosing same-sex marriage.",https://www.jstor.org/stable/humjsocrel.38.79,Humboldt Journal of Social Relations,10.2307_humjsocrel.38.79,Sociology,2016.0,0,0.07840758562088013,0,0.00019901891937479377,0,0.016165154054760933
,,,"Class, Compliance Structures, and Delinquency: Assessing Integrated Structural-Marxist Theory","In this article, the causal structure of Colvin and Pauly's ""Integrated Structural-Marxist"" theory of delinquent behavior is explicated, and testable hypotheses are examined by using data from the Richmond study on white males and females. The results indicate that measures of membership in different ""fractions"" of the working class are not consistently related to family or school compliance structures as the theory predicts. However, hypotheses concerning the relationship between family compliance structures and school compliance structures, parental attachment, association with delinquent friends, and self-reported delinquent behavior are generally supported. Few differences are observed in separate analyses for males and females. Although the results raise questions about Colvin and Pauly's emphasis on a reconceptualized construct of social class, their incorporation of family and school compliance structures in their causal model is a promising contribution to the development of integrated theories of delinquency.",https://www.jstor.org/stable/2781104,American Journal of Sociology,10.2307_2781104,Sociology,1990.0,0,0.0018895817920565605,0,0.0072217402048408985,1,0.9504157304763794
,,,"Social Learning, Reinforcement and Crime: Evidence from Three European Cities","This study reports a cross-cultural test of Social Learning Theory using direct measures of social learning constructs and focusing on the causal structure implied by the theory. Overall, the results strongly confirm the main thrust of the theory. Prior criminal reinforcement and current crime-favorable definitions are highly related in all three contexts and both strongly predict self-projections of criminal behavior. In addition, effects of prior reinforcement on projected misconduct appear to be both direct and indirect (through crime-favorable definitions). Yet, the findings also indicate that the processes underlying direct effects of reinforcement on criminal probabilities may need to be explicated further. Moreover, some types of definitions may be more influential than other types. Finally, parts of the reinforcement process may be affected by socio-cultural contexts.",https://www.jstor.org/stable/41682681,Social Forces,10.2307_41682681,Sociology,2012.0,0,0.00014847615966573358,0,0.005003677681088448,0,0.007938121445477009
,,,Consciously Inclusive Family Research: Can We Get There from Here?,None,https://www.jstor.org/stable/3654658,Journal of Marriage and Family,10.2307_3654658,Sociology,2001.0,0,0.0005089406040497124,0,0.00021996218129061162,0,0.00018275811453349888
,,,Multicode Organizations: A Conceptual Framework for the Analysis of Boarding Schools,"Boarding schools are complex institutions that encompass many spheres of life and subunits, each characterized by different modes of conduct, or ""codes."" They may be classified on the basis of the intensity of each code and the patterns that link the codes in each institution. Six types of boarding schools are delineated in this article. The ideal, hybrid type maximizes the pedagogical potential because it is based on the fusion of codes and the institutionalization of conflict among them. Consequently, it provides students with a high degree of freedom and the opportunity to experiment with various kinds of roles and rules and fosters the emergence of a commitment to universal values and responsible elite orientations. Examples are given from Israel, Britain, and the United States.",https://www.jstor.org/stable/2112440,Sociology of Education,10.2307_2112440,Sociology,1988.0,1,0.9896842241287231,0,0.07091882079839706,0,0.006035691127181053
,,,"""The Battle of Many Names, or No Remorse""","This three-act historical ethnodrama rereads the discourse surrounding Custer's Last Stand, arguably the most written-about military event in American history. It compares and contrasts First Nation oral history accounts, official military records, and select painterly representations of the ""Battle of Little Bighorn."" It asks if there was a real ""last stand"" or only a flawed grand narrative (see Denzin 2011).",https://www.jstor.org/stable/10.1525/si.2011.34.4.471,Symbolic Interaction,10.1525_si.2011.34.4.471,Sociology,2011.0,0,0.05316603556275368,0,0.11767281591892242,0,0.005930868908762932
,,,Anti-Busing Protest: Attitudes and Actions,"This study examines the influence of two social psychological perspectives-efficacy-trust and relative deprivation-on individual participation in anti-busing protest in a survey of South Boston residents. Previous works relating attitudes to the protest participation decision do not recognize that different types of protest are available and therefore fail to clearly discern the effect that particular attitudes have on specific protest activities. Findings include: (1) that support exists for identifying three separate types of protest: individual instrumental protest, individual expressive protest, and collective protest; (2) that the political efficacy-trust perspective best predicts individual instrumental protest; (3) that relative race deprivation best predicts individual expressive protest; and (4) that relative status deprivation best predicts engaging in collective protest. These results support viewing the two attitudinal perspectives tested here as complementary rather than competitive in explaining protest participation.",https://www.jstor.org/stable/3033913,Social Psychology Quarterly,10.2307_3033913,Sociology,1982.0,0,2.5044113499461673e-05,0,0.0002725329250097275,0,0.07916191965341568
,,,SECURING THE FUTURE: 'SURVIVAL STRATEGIES' AMONGST SOMERSET DAIRY FARMERS,"This paper examines the way in which farmers use survival strategies to ensure the reproduction of the family farm. These survival strategies develop from farmers' individual motivations and their attitudes towards social processes - the way they read history. However, farmers are constrained by their structural relationships. I argue that what is important is the way farmers understand their structural relationships and the meaning they give to them. This is so especially in the case of family farming, where there is an intersection between family-centred motivations and vocation-centred motivations. Initially I explore these issues by introducing the theoretical literature which attempts to understand the structural relationships in which farmers live and act. Then I describe farmers' family-centred and vocationalcentred motivations (or privatisms) and the way in which they understand social processes. These form the foundation for farmers' survival philosophy and practice.I conclude by arguing that farmers are (unintentionally) reproducing the structural relationships that are threatening the survival of the family farm in its present form.",https://www.jstor.org/stable/42857621,Sociology,10.2307_42857621,Sociology,1991.0,0,0.000141406650072895,0,0.0003263921826146543,0,0.018368201330304146
,,,Death and Politics: Hannah Arendt's Reflections on the American Constitution,None,https://www.jstor.org/stable/40970474,Social Research,10.2307_40970474,Sociology,1987.0,0,0.18873395025730133,1,0.9975735545158386,0,0.0005218444275669754
,,,"The Promise of Obama: Public Policy, HIV/AIDS, and African American Women","African Americans are disproportionately represented in every reported HIV/AIDS surveillance category with African American women being at special risk. HIV/AIDS is the leading cause of death for African American women between the ages of 25-34 (Center for Disease Control and Prevention [CDC], 2009). Disease status, gender disparity, racial inequities and socioeconomic barriers are factors effecting African American women as multiple forms of oppression and disparity impact life outcomes. This paper reviews President Obama's movement of the 2008 presidential election HIV/AIDS campaign promises into year one policy initiatives with final comments on their ability to address the unique needs of African American women living with and affected by HIV/AIDS.",https://www.jstor.org/stable/41674763,"Race, Gender & Class",10.2307_41674763,Sociology,2010.0,0,6.498304719571024e-05,0,0.00027063468587584794,1,0.9983127117156982
,,,Poverty and Child Emotional and Behavioral Problems: Racial/Ethnic Differences in Processes and Effects,"Using a sample of four to nine year-old children from the 1992 wave of the Children of the National Longitudinal Surveys of Youth data set, we evaluated racial and ethnic differences in the effects of current poverty and the persistence of poverty on child emotional and behavioral problems, and in the variables responsible for those effects. We considered three sets of variables in the latter analysis-mother's early characteristics and behaviors; correlated sociodemographic characteristics; and mediators (neighborhood problems, mother's psychological resources, and characteristics of the home environment)-and evaluated their relevance across three racial/ethnic subgroups (blacks, Hispanics, and non-Hispanic whites). Consistent with our expectations, we observed a significantly stronger effect of the persistence of poverty on child problems for whites than for blacks, an effect that is attributable to the relatively strong association between poverty and mother's prior history of delinquency and current marital status among whites. The effect of poverty on child problems was substantially explained for blacks by mother's early self-esteem, whereas mediating processes took on greater relevance for Hispanics and non-Hispanic whites. Our results support the conclusion that there are racial/ethnic differences in the selection processes and proximal conditions that are responsible for the diminished psychological well-being of poor children.",https://www.jstor.org/stable/2676302,Journal of Health and Social Behavior,10.2307_2676302,Sociology,2000.0,0,9.545500688545872e-06,0,0.0002542938163969666,1,0.9989044666290283
,,,What Do Happy People Do?,"Little attention in the quality-of-life literature has been paid to data on the daily activity patterns of happy and less happy people. Using ratings-scale information from time-diary studies, this article examines the hypothesis that people who describe themselves as happier engage in certain activities more than those who describe themselves as less happy. Based on 34 years of data collected by the General Social Survey (GSS) on social activities and media usage, it is found that people who are happy report being more active in most social activities, in religion and in newspaper reading. On the other hand, happier people report less time watching television, a relation that holds after control for education, marital status and other predictors of happiness. The need to replicate these findings using panel data is highlighted.",https://www.jstor.org/stable/27734763,Social Indicators Research,10.2307_27734763,Sociology,2008.0,0,1.9334789612912573e-05,1,0.9999222755432129,0,0.002597224432975054
,,,"Education and Work-Family Conflict: Explanations, Contingencies and Mental Health Consequences","Using data from a representative sample of American workers, we examine the association between education and work-family conflict—a form of inter-role conflict in which role pressures from each domain are incompatible in some way. The well-educated tend to occupy professional jobs with more income and pressures, and experience more workfamily role blurring activities. These conditions contribute to greater conflict among the well-educated. In addition, people with less than a high school degree report more conflict because of their experience in precarious work with variable shifts. Finally, work-family conflict is associated with distress-but less so among those with the highest and lowest education. We discuss the theoretical relevance of these findings for views about social status, stress exposure, and their implications for mental health.",https://www.jstor.org/stable/41290132,Social Forces,10.2307_41290132,Sociology,2011.0,0,2.5233406631741673e-05,0,0.0367579311132431,0,0.45353350043296814
,,,A Critical Note,None,https://www.jstor.org/stable/3518087,Social Scientist,10.2307_3518087,Sociology,2005.0,0,0.001105471164919436,0,0.00033462420105934143,0,8.294077997561544e-05
,,,Individual-Adjustment Behavior versus Group-Welfare Behavior: Towards a New Conceptual Framework for the Study of Free-Riding: Theory and the Results of an Experimental Study,"The abundance of experimental literature on real subjects' behavior in social dilemma situations with free-rider options displays a discouraging instability of results. Particularly disquieting is the divergence of results depending on whether the social dilemma is modelled as a cooperation game with a Pareto-deficient solution or as a market transaction over some public good. We argue that this divergence of experimental data unveils a serious shortcoming of the theoretical framework of the study of free-riding up to the time being. Rather than taking free-riding as a straight indicator of an unwillingness to cooperate at all, it is proposed to operationalize non-cooperativeness as 'Individual-Adjustment behavior' and cooperativeness as 'Group-Welfare behavior'. Precise definitions in terms of welfare microeconomics are given for these two pure types of rational behavior in social dilemma situations. The point is that free-riding can occur in both types, even though under quite different conditions. Neglect of this fact may account for the confusion in the experimental data. The results of an experiment which confirm the usefulness of the proposed new conceptual framework are presented.",https://www.jstor.org/stable/522419,European Sociological Review,10.2307_522419,Sociology,1987.0,0,1.4245872080209665e-05,0,0.00020905942074023187,0,0.0005317313480190933
