stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Measuring State TANF Policy Variations and Change After Reform,"Our objectives are to describe the policies adopted after PRWORA, which vary across states, to test for common underlying policy concepts, demonstrating how these policies are interrelated, and to examine whether policy stringency diffused to neighboring states results in greater policy stringency across all states over time. We convert textual TANF welfare guidelines into empirically derived policy dimensions and use the derived quantitative scores to describe variation and change in welfare policy dimensions across status during the 1996-2003 post-welfare-reform period. Methods. Utilizing the Urban Institute's Welfare Rules Database, we apply a factor analytic methodology to 78 unique state policy guidelines that were coded on a lenient-to-stringent continuum. Regression analyses, employing spatial contiguity weighting, are used to describe policy diffusion. Results. The results identified 15 underlying first-order post-welfare-reform policy dimensions, which for scientific parsimony were further reduced to three secondorder underlying dimensions representing rules governing eligibility: eligibility requirements for groups, behavioral responsibilities for maintaining eligibility, and eligibility time limits and exemptions. Analysis of the quantitative scores showed that by 2003 states had become more lenient regarding eligibility criteria for groups but decidedly more stringent regarding behavioral guidelines for maintaining eligibility and eligibility time limits and exemptions. Spatial clustering is not found globally but is significant for some states at the local level. Spatial diffusion is apparent only for behavioral rules. Conclusions. Our results suggest that TANF policy variations across states go beyond payment levels to include salient eligibility",https://www.jstor.org/stable/42956155,Social Science Quarterly,10.2307_42956155,Sociology,2006.0,0,0.0027589495293796062,1,0.9885016679763794,0,0.027401285246014595
,,,The Historical Experiment as a Research Strategy in the Study of World Politics,None,https://www.jstor.org/stable/1171080,Social Science History,10.2307_1171080,Sociology,1977.0,0,4.00844837713521e-05,1,0.9999743700027466,0,6.332236080197617e-05
,,,Positive Thinking,None,https://www.jstor.org/stable/656734,Theory and Society,10.2307_656734,Sociology,1974.0,0,0.3487647473812103,1,0.9999213218688965,0,0.0018195247976109385
,,,"Role Identities and Person Identities: Gender Identity, Mastery Identity, and Controlling One's Partner","This research explores the relationship between gender identity, the mastery identity, and control over one's partner in intimate relationships. While gender identity is viewed as a role identity, that is, an identity that is tied to the social structure, the mastery identity is conceptualized as a person identity, that is, an identity that is tied to the person. Using a sample of college-age dating couples, a simultaneous equation model is estimated to determine the relationship between a role identity and a person identity, and how these identities mutually influence control over one's partner in interaction.",https://www.jstor.org/stable/1389287,Sociological Perspectives,10.2307_1389287,Sociology,1995.0,0,5.910530671826564e-05,1,0.9814468622207642,1,0.5682721734046936
,,,Presidential Address: Doing It Our Way! Women in Harness Horse Racing,None,https://www.jstor.org/stable/43615074,Journal of Applied Social Science,10.2307_43615074,Sociology,2013.0,1,0.7767354846000671,1,0.8833597898483276,0,0.15968333184719086
,,,Disentangling Constituency and Legislator Effects in Legislative Representation: Black Legislators or Black Districts?,"Objective. Does the race of a legislator or does the black population of a district best predict legislative roll-call voting in the interests of African Americans? Due to methodological limitations, no prior study has found that both the race of the legislator and the black district population are significant predictors of congressional roll-call voting. Drawing on post Shaw v. RenoiMiller v. Johnson congressional districts (with greater data variance), I examine the effect of these two racial representation variables on roll-call voting in the 104th-106th Congresses. Methods. Linear regression with random effects is employed in two statistical models. Results. Even when the black district population and party are considered, the presence of an African-American legislator leads to greater substantive representation of black constituents. Conclusion. Districting plans that maximize the election of black legislators and Democrats are the most important for the aggregate enhancement of liberal voting in Congress, while districting plans that maximize black district populations and Democrats are the most important for the aggregate enhancement of civil rights voting records in Congress.",https://www.jstor.org/stable/42956072,Social Science Quarterly,10.2307_42956072,Sociology,2005.0,0,1.2643813533941284e-05,0,0.00019948476983699948,1,0.9997331500053406
,,,SOME PROBLEMS OF AIM-CENTRED MODELS OF SOCIAL MOVEMENTS,"Social movements are commonly regarded either as irrational responses to social tension or as rational attempts to introduce social innovations. In the latter case, the aims of the movement are necessarily the main focus of attention. But the example of the Christian Socialist movement illustrates the fact that the aims of social movements are flexible and that specific aims may emerge only after the formation of the movement itself; thus to focus on the aims of the movement as the cause of its existence is inappropriate. It is however not necessary to conclude from this that the expressed aims of a movement are merely justifications of irrational actions; aims are caused, and partly by the activities of the movement, but they are also causal. What is needed is a dialectical model of the process of social movements representing the interaction of ideology and action and not implying the necessary priority of either, involving an image of man as both acted upon and acting. The case of the Christian Socialist movement provides the basis for the construction of such a model.",https://www.jstor.org/stable/42851845,Sociology,10.2307_42851845,Sociology,1977.0,1,0.8948280215263367,0,0.0005139449494890869,0,0.0004525776603259146
,,,Comparisons of Mothers of One Child by Choice with Mothers Wanting a Second Birth,"Thirty-eight mothers with one child by choice and 37 mothers wanting a second child were compared on selected background characteristics and attitudes about the first birth and a second child. While deliberate one-child wives had lower levels of religiosity and were less femininely sex-typed, mothers were highly similar on other characteristics. Only-child mothers agreed less about benefits to the marriage or marital relationship in having the first child, as well as feelings of status or personal fulfillment. In addition, deliberate one-child mothers were more likely to agree on being bored in the care of the firstborn, to have received little help from their husbands or parents, and to have felt incompetent. While mothers in both groups had similar attitudes about the advantages and disadvantages of work outside the home, mothers of one child by choice agreed more often that outside work was more important than motherhood.",https://www.jstor.org/stable/352077,Journal of Marriage and Family,10.2307_352077,Sociology,1985.0,0,0.0001419632462784648,0,0.0002585506299510598,0,0.4094768464565277
,,,"How do French Junior Secondary Schools Operate? Academic Achievement, Grading and Streaming of Students","This paper is concerned with the operation of Junior Secondary Schools in France. Students' school careers have been analysed in three sequential and cumulative components: student progress in learning in the junior secondary school, student grading by teachers, and student streaming, i.e., admission, or not, into a general form 3. For each of the three mechanisms described above, the authors examine whether they are influenced by the schooling context, which schooling context (school and/or classroom), and which characteristics of those contexts it is relevant to consider. Finally, they focus on the process by which the large social inequalities visible after the pupils have been streamed (at the end of form 2) have been generated.",https://www.jstor.org/stable/522515,European Sociological Review,10.2307_522515,Sociology,1989.0,0,5.20584944752045e-05,0,0.00017553253564983606,0,0.0071284035220742226
,,,Sociology and Beyond: Towards A Deep Sociology,"This paper explores potential new directions for a sociology linked more to Asian social theory and to new forms of knowledge emerging from ecology and the new social movements than to its older foundations in Western philosophy and conceptions of society. It suggests that there is a route beyond the trajectory of modernist and postmodernist social thinking and it calls into question the anthropocentric, Cartesian and dualistic assumptions of most conventional sociology. It does so by exploring the possible relationships between sociology and the existential issues thrown up by Asian philosophical and religious traditions, and in particular Buddhism, and the in many ways parallel arguments of Deep Ecology. In doing so it calls into question the adequacy of current sociology as a vehicle for addressing fundamental existential questions and in particular the issues of social suffering, the emerging ecological crisis and the alternative conceptions of society generated by many of the new social movements, and suggests ways in which this inadequacy might potentially be resolved.",https://www.jstor.org/stable/23655202,Asian Journal of Social Science,10.2307_23655202,Sociology,2009.0,0,0.058911897242069244,0,0.00015552194963674992,0,0.0003296048962511122
,,,MEASUREMENT OF ATTITUDE TOWARD INTER-CASTE MARRIAGE: Development of A Likert-type Scale,"Attitudinal research in the field of inter-caste marriage using standardized psychometric tool/s has received very meagre attention. As such the present Attitudinal scale was developed with the aim of measuring the attitude toward all relevant dimensions of inter-caste marriage in the Indian context. Based on initial items collected from a large number of postgraduate students a draft scale consisting of 130 statements was prepared. After scrutiny by 48 experts it was modified to contain only 83 statements covering attitude towards six dimensions of inter-caste marriage. This scale was standardized on 200 students drawn randomly from nine departments of postgraduate studies. Likert method of item analysis using two extreme groups representing 25 percent of the subjects at each extreme of the attitude continuum was adopted for standardization. Fifty items with high 't' values were thus selected. The resultant scale was further statistically analysed for three correlations, viz, (i) correlation between the item and the dimension which it measured (item-total correlation), (ii) inter item correlations within each dimension, and (iii) inter dimensional correlations. In this process four items were deleted. Split-half realibility was found to be 0.9614. Indices of item analysis reflect sound validity of the scale in addition to good content validity ensured by procedural details of the test construction steps.",https://www.jstor.org/stable/23029669,International Journal of Sociology of the Family,10.2307_23029669,Sociology,1995.0,0,1.5963056284817867e-05,0,0.00026161750429309905,0,0.0021246406249701977
,,,"A Suitable Case for Treatment? A Reappraisal of Erikson's ""Young Man Luther""",None,https://www.jstor.org/stable/657294,Theory and Society,10.2307_657294,Sociology,1983.0,0,0.00041089984006248415,0,0.0020039693918079138,0,0.040969058871269226
,,,"Time, Trust and Hazard: Hairdressers' Symbolic Roles","Field work on five hairdressers in a small, suburban beauty shop shows that routine hazards provide an organizational justification to establish and maintain processes which create and sustain trust, both with coworkers and clients. The study analyzes data from interviews and weekly observations, and details the types of workers and clients; the hairdressers' roles as caretakers, friends and riskbearers; the necessity of establishing “professional” identities with clients by scheduling appointments; and the construction of shared futures among “regulars.” In the course of observing the symbolic and temporal processes associated with trust, hazards to hairdressers from chemicals, equipment, and procedures are examined, followed by the kinds of risks effecting clients from chemicals, equipment, and hairdressers' technical competence and moral responsibility, as framed by their “honorific” professional roles.",https://www.jstor.org/stable/10.1525/si.1993.16.1.19,Symbolic Interaction,10.1525_si.1993.16.1.19,Sociology,1993.0,0,0.008108346723020077,0,0.00017068533634301275,0,0.00041752742254175246
,,,A Flawed Approach to Solving the Identification Problem in the Estimation of Mobility Effect Models: A Comment on Brody and McRae,None,https://www.jstor.org/stable/2579543,Social Forces,10.2307_2579543,Sociology,1989.0,0,1.54650115291588e-05,0,0.0002555555256549269,1,0.9631522297859192
,,,The Communication of Innovations: the influence of the foreign trained returnee on socio-cultural change in developing countries,None,https://www.jstor.org/stable/43895757,Southeast Asian Journal of Sociology,10.2307_43895757,Sociology,1971.0,0,0.41292834281921387,0,0.0010594103951007128,0,0.00794152356684208
,,,Feminism and Modern Reproductive Technology,"This paper addresses some recent feminist writings on the question of modern reproductive technology. The work of Gena Corea, Barbara Katz Rothman and Renate Klein is examined. While these writers are not necessarily representative of feminist thinking on this issue, they illustrate some of the concerns that have been raised about the use of modern birth technology on and by women. Each of these works is examined against the background of Shulamith Firestone's original ideas on the relationship between women's liberation and reproductive technology as well as recent developments in the field of birth technology. The paper also aims at uncovering the specific view of motherhood that underlies these analyses. It questions the notion of 'women-as-victims' - a theme common in this debate.",https://www.jstor.org/stable/44461238,South African Sociological Review,10.2307_44461238,Sociology,1993.0,0,0.04635917767882347,0,0.0002979669952765107,0,0.0017252382822334766
,,,THE SOCIAL STRUCTURING OF POSTINDUSTRIAL CONFLICT: CITIZEN POSITIONS ON ENVIRONMENTAL DIMENSIONS,"The new social movements characteristic of postindustrial societies have raised a number of novel issues, in particular environmental ones. The positions which groups in these societies take on these issues, however, is far from clear. The paper examines three perspectives on the problem: traditional class, new middle class, and transitional disequilibrium. Data from a western New York community are used to examine citizen positioning on three eco-factors—environmental protectionism, deep ecology, and limits-to-technology. The two class perspectives perform poorly but the disequilibrium perspective proves useful. Cluster analysis yields a five-group indicator which is significantly related to all the environmental factors. Two associated property vectors, democratic-party affiliation and education, help account for intersectoral distances on the eco- factors. The implications for research and practice are discussed.",https://www.jstor.org/stable/23252848,Mid-American Review of Sociology,10.2307_23252848,Sociology,1996.0,0,0.0479951873421669,0,0.00015474448446184397,1,0.6658034324645996
,,,Simon Patten on Public Infrastructure and Economic Rent Capture,"Reflecting the Progressive Era's reform agenda Simon Patten (1852-1922) argued that freeing markets from one source of economic rent (by taxing land rent) would merely leave the surplus to be taken by other monopolists and rent extractors (railroads, Wall Street trusts, and basic privatized utilities). To prevent unearned income (economic rent) from adding to the economy's cost of living and doing business, potentially rent-yielding infrastructure should be kept in the public domain as a ""fourth factor of production."" Instead of rentiers making a profit by charging access fees and user fees, the return to public investment should take the form of reducing the economy's overall price structure.",external-fulltext-any,American Journal of Economics and Sociology,10.2307_41329167,Sociology,,0,0.00036057044053450227,0,0.00013671800843439996,0,0.0007908085826784372
,,,Rape as a Social Problem: A Byproduct of the Feminist Movement,"I analyze the anti-rape movement from a theoretical perspective, emphasizing interest-group formation and action and the generation of social problems by social movements. Although a variety of interst groups have expressed increasing concern over forcible rape, thus contributing to its definition as a social problem, the feminist perspective represents the most active and vocal of anti-rape interests. The activities and analyses of anti-rape forces in three areas are examined: at the community level, in the legislative arena, and in the judicial sphere. Although there has been resistance to the feminist challenge of traditional definitions of rape within each arena, much has been accomplished. The process of defining rape as a serious social problem continues.",https://www.jstor.org/stable/800469,Social Problems,10.2307_800469,Sociology,1977.0,1,0.7027437090873718,0,0.0002693946589715779,0,0.013386865146458149
,,,The Communication of Innovations: the influence of the foreign trained returnee on socio-cultural change in developing countries,None,https://www.jstor.org/stable/43895757,Southeast Asian Journal of Sociology,10.2307_43895757,Sociology,1971.0,0,0.41292834281921387,0,0.0010594103951007128,0,0.00794152356684208
,,,Transformation of the Finnish employee ideal in job advertisements from 1944 to 2009,"In this article we examine transformation of the Finnish employee ideal since the Second World War. Our qualitative analysis is based on the data of 490 job advertisements from 1944 to 2009, and follows the change in employee requirements during this period. Our results show that requirements for transferable, particularly interpersonal, skills increased considerably during the research period. While workmanship, diligence, competence and work experience were the most common employee requirements in the job advertisements of the 1940s and 1950s, employees today are required to possess qualities such as stress resilience, flexibility, productivity, inventiveness and the desire to learn new things. The qualities required of white-collar employees have increased in particular. We conclude that, unlike the post-war period, today the ideal employee is characterized by flexibility and interpersonal skills reflecting changes in the organization of work, work organizations and work culture.",https://www.jstor.org/stable/24708245,Acta Sociologica,10.2307_24708245,Sociology,2013.0,1,0.8942731618881226,0,0.008328520692884922,0,0.017495838925242424
,,,Analysis of Labor Markets in Postwar Japan: From the Viewpoint of Job Mobility,"Extraordinary economic growth in postwar Japan has changed all aspects of Japanese people's lives, especially job mobility and the labor markets. It would be impossible to understand the changes in job mobility without understanding what Japanese society has experienced since the end of World War II. In this article, we study how the labor markets have changed as a result of changes in job mobility and the postwar Japanese economy. Our analysis yields the following findings: patterns of job mobility are mainly determined by age, but they are also influenced by the lifetime employment system, the dual structure of the labor markets, and industrial structure. In particular, we observe that the dual structure of the labor markets has become stronger.",https://www.jstor.org/stable/20628589,International Journal of Sociology,10.2307_20628589,Sociology,2000.0,0,1.1968692888331134e-05,0,0.00019187244470231235,1,0.994167685508728
,,,"Marx, Chernyshevskii and the Theory of Historical Expediency in Social Transformation",None,https://www.jstor.org/stable/3517021,Social Scientist,10.2307_3517021,Sociology,1983.0,0,5.629780935123563e-05,0,0.00021671736612915993,0,0.0006848749471828341
,,,SOCIAL MOVEMENT AND SOCIAL CHANGE : TOWARDS A CONCEPTUAL CLARIFICATION AND THEORETICAL FRAMEWORK,None,https://www.jstor.org/stable/23618292,Sociological Bulletin,10.2307_23618292,Sociology,1977.0,0,0.0008427355205640197,0,0.00016474405128974468,0,0.0028832133393734694
,,,Political Modernization and Traditional Chinese Voluntary Association: A Singapore Case Study,None,https://www.jstor.org/stable/24490872,Southeast Asian Journal of Social Science,10.2307_24490872,Sociology,1985.0,0,0.0002310411655344069,0,0.0009016984258778393,0,0.0007194647332653403
,,,"Social Movement Size, Organizational Diversity and the Making of Federal Law","During the 1960s and 70s the United States environmental movement experienced dramatic growth in both absolute size and in the diversity of organizational structures and issues represented within the movement. We assess the importance of change in movement size and compositional diversity on two important stages within the legislative process. Findings indicate that U.S. environmental movement size is positively associated with the incidence of Congressional environmental agenda-setting activities, but not the passage of environmental laws. An increased diversity of issue representation within the movement is consistently and positively associated with the incidence of agenda setting and law-passage activity. The growth of EMOs attending simultaneously to both traditional conservation and ""new"" quality of life issues, in particular, is associated with elevated rates of policy activity.",https://www.jstor.org/stable/20430784,Social Forces,10.2307_20430784,Sociology,2008.0,0,0.07263766974210739,0,0.0008503156714141369,1,0.8799626231193542
,,,A Space for Place in Sociology,"Sociological studies sensitive to the issue of place are rarely labeled thus, and at the same time there are far too many of them to fit in this review. It may be a good thing that this research is seldom gathered up as a ""sociology of place,"" for that could ghettoize the subject as something of interest only to geographers, architects, or environmental historians. The point of this review is to indicate that sociologists have a stake in place no matter what they analyze, or how: The works cited below emplace inequality, difference, power, politics, interaction, community, social movements, deviance, crime, life course, science, identity, memory, history. After a prologue of definitions and methodological ruminations, I ask: How do places come to be the way they are, and how do places matter for social practices and historical change?",https://www.jstor.org/stable/223453,Annual Review of Sociology,10.2307_223453,Sociology,2000.0,0,0.0344434417784214,0,0.08593431115150452,0,0.0029346405062824488
,,,State Building as a Source of Islamic Political Organization,"Previous research on political Islam in the Middle East and North Africa has been limited in providing a generalizable theory of its origins and systematically account for the cross-national variation in the prevalence of Islamic movements. Following a state-centered approach, this study argues that state-building activities are a primary origin of Islamic movements. Regimes adopt religious symbolism and functions that legitimate the role of Islam in the public sphere. State incorporation of religion thus creates Islam as a frame for political action, with increased access to mobilizing resources and better able to withstand repression and political exclusion. To provide an explicit and systematic test of cross-national variation, data on 170 political and militant organizations across the region are analyzed. Results indicate that state incorporation of religion is a crucial factor in the religiosity of movement organizations. Mixed effects of political exclusion and repression are found. No support is found for theories of economic grievances or foreign influence as causes of Islamic mobilization. In sum, analysis suggests that a state-centered perspective is the most fitting account of political Islam.",https://www.jstor.org/stable/40210404,Sociological Forum,10.2307_40210404,Sociology,2009.0,1,0.6316205859184265,0,0.0001491763541707769,0,0.00026378402253612876
,,,Sociological Research: The Subjective Dimension,None,https://www.jstor.org/stable/10.1525/si.1981.4.1.97,Symbolic Interaction,10.1525_si.1981.4.1.97,Sociology,1981.0,0,0.00031898243469186127,0,0.0022597978822886944,0,0.0004631725896615535
,,,Social Distance among Racial and Ethnic Groups in Texas: Some Demographic Correlates,"Social distance has been used as one measure of intergroup prejudice. The social distance method involves examining the acceptability of specific types of social contact. In this study, a sample of 708 Anglos, 249 blacks, and 256 Mexican Americans in Texas was questioned on nine standard social distance items. The data suggest that both blacks and Mexican Americans were more accepting of contact with Anglos than of contact with each other. Further, respondents of higher group status (with more education and higher income levels) and youth were generally more accepting of contact with the outgroup minority than were respondents of lower group status. The data are examined in light of theories of intergroup relations in an effort to suggest the underlying dynamics responsible for these results.",https://www.jstor.org/stable/42862623,Social Science Quarterly,10.2307_42862623,Sociology,1989.0,0,2.3944370695971884e-05,0,0.00040225606062449515,1,0.9974966645240784
,,,INCOME CHANGES AND THE ANTIQUE UPLAND DEVELOPMENT PROGRAM,"This report examines whether or not membership in the Antique Upland Development Program is associated with higher income and increases in income. The data show that program cooperators, especially the owner cultivators, are somewhat better off than program non-cooperators. This suggests that non-ownership of land is one constraint on the occurrence of a positive program impact.",https://www.jstor.org/stable/23898283,Philippine Sociological Review,10.2307_23898283,Sociology,1985.0,0,1.3617014701594599e-05,1,0.9960346817970276,0,0.013983783312141895
,,,FORDIST APPLIED RESEARCH IN THE ERA OF THE FIVE-DOLLAR DAY,"This article provides a description of the early attempts at applied social research and research driven policies and procedures used in the assessment of the employees and the consequent rewards and punishments meted out by the Ford Motor Company during the late Progressive Era. An additional aim of this paper is to show the relevance and significance of these attempts and to examine the extent to which early Ford research can inform our applied research today. In particular, this study examines the early data collection efforts by investigators of the Ford Motor Company Sociological Department. These took place in the early part of 1914 and aimed at gathering information concerning workers' habits, family situations, financial states, home conditions, and social and economic behavior. These investigations were thorough and exhaustive. The outcome of Ford's research resulted in the classification of all company workers into four main categories used to decide who would or would not qualify for the Ford profit sharing plan. An equally important part of the mission of Ford's investigators was to guide the workers to modify their behavior to secure the profit sharing portion of the salary. This was an example of the paternal capitalistic ideology that characterized Ford Motor Company labor relations during this period. We conclude that the company emerges as one of the pioneers in the collection and utilization of applied research data, for the benefit of the company and betterment of the workers.",https://www.jstor.org/stable/43736086,Journal of Applied Sociology,10.2307_43736086,Sociology,2004.0,0,0.001372027676552534,1,0.9972418546676636,0,0.10288099944591522
,,,"Out of the Closet: Racial Amnesia, Avoidance, and Denial - Racism among Puerto Ricans","Although Puerto Rico is portrayed as a racial paradise, where race is subordinate to national and cultural identity, nothing could be further from the truth. Racism runs deep, with a long history fueling the racial rancor between White/lightskinned and Black/dark-skinned Puerto Ricans. People of apparent Black heritage flood the prisons and penal systems, live in the poorest and most oppressive conditions, and are known as less able to obtain upwardly mobile jobs, even when qualified. There is a strong association between Black and poor, slums, crime, unemployment, etc. Many Puerto Ricans, including dark-skinned ones, are quick to negate the existence of racism among them while regarding those of apparent African ancestry as inferior. They believe that a successful life means lighterskinned generations of children. They are quick to negate an African root even though most have varying levels of African ancestry and the African presence permeates most aspects of their daily life.",https://www.jstor.org/stable/41675088,"Race, Gender & Class",10.2307_41675088,Sociology,2003.0,0,0.001789711182937026,0,0.009225813671946526,1,0.9862859845161438
,,,"""We, the Polish Nation"": Ethnic and Civic Visions of Nationhood in Post-Communist Constitutional Debates",None,https://www.jstor.org/stable/658104,Theory and Society,10.2307_658104,Sociology,2001.0,1,0.9557571411132812,1,0.9922575950622559,0,0.005990287754684687
