,stance twd. relt_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
10,,,,Utility Analysis and Human Resources Management,"Test scores and training outcomes are linked to the dollar value of job performance. Thus, human resource management techniques, such as improved personnel selection and training, can create substantial resources for organizations. The dollar value of these resources can be calculated.",https://www.jstor.org/stable/3380127,Public Productivity Review,10.2307_3380127,Management & Organizational Behavior,1988.0,0,0.001375028514303267,1,0.9947502017021179,0,0.0005181132582947612
11,,,,Reflections on a Siege Economy,"The paper examines the political and economic effects for South Africa of living in a state of economic siege. It points out that most economies already exist in partial isolation, often self-imposed. The most serious consequence of sanctions will be the granting to the government of a moral licence to react repressively, thus shutting off existing political and economic `safety valves'. The net result will be even more stringent political repression, and further resistance to change. The government will find it hard to retreat from this situation, and relax the repression. The result is a society without the flexibility to change.",https://www.jstor.org/stable/2560519,Managerial and Decision Economics,10.2307_2560519,Management & Organizational Behavior,1987.0,0,6.890573786222376e-06,1,0.9829419255256653,0,0.0016301163705065846
12,,,,"Comparing the Profitability of Firms in Germany, Japan, and the United States","This study uses Analysis of Variance to assess and compare the profitability of large German, Japanese, and American industrial firms over the 1984-90 period. Current Accounting Standards in the U. S., Germany, and Japan are also examined in order to evaluate their effect on the measured profitability of firms in each country.",https://www.jstor.org/stable/40228207,MIR: Management International Review,10.2307_40228207,Management & Organizational Behavior,1994.0,0,6.634227702306816e-06,1,0.9989861845970154,0,0.0024645072408020496
13,,,,Forward Linkages and Follow-up Investment Abroad: An Input-Output-Analytical Approach,"Empirical evidence regarding the phenomenon of firms deciding to invest abroad because their customers do so (""follow-up pattern""), is scarce. Up to now, only a few motive analyses have been pursued. They suggest that the follow-up pattern plays a certain, though minor role in explaining foreign direct investment. In this paper it was attempted to reevaluate the role of the follow-up pattern by using an empirical approach in which the linkage structure in I--O tables is interpreted as an indication of the need to follow-up. That is, West German data has been employed in order to estimate the extent to which the foreign investment position of a branch of industry tentatively might be explained by (a) the relative importance of the respective branch's forward linkages to industrial customers and (b) these customers' foreign investment position. On the whole, the regression results tend to confirm what could be expected in the light of the aforementioned earlier studies. The actual extent to which foreign investment determines the investment pattern, of course could not be estimated in the framework of this study.",https://www.jstor.org/stable/40227577,Management International Review,10.2307_40227577,Management & Organizational Behavior,1981.0,0,2.015218706219457e-05,1,0.9999749660491943,0,0.0008310370030812919
14,,,,The danger of misinterpreting short-window events study findings in strategic management research: an empirical illustration using horizontal acquisitions,"Short-window event studies are popular in the strategic management literature. These studies assume that the market's initial reaction to strategic events reflects their economic impact in an unbiased manner. This assumption may hold in some cases, but when an event has complex ramifications that are difficult to predict, the initial market response may be biased and/or incomplete. Acquisitions are complex events, suggesting that results from short-window event studies of acquisitions may foster incorrect inferences. Using a sample of horizontal acquisitions, this article shows that the positive initial market response to an acquisition announcement is contradicted by negative long-run post-acquisition returns, suggesting that the initial response is incorrect and that the error is rectified later. Our findings imply that short-window event studies may not accurately capture the economic impact of complex strategic actions, for the interpretation and use of event studies.",https://www.jstor.org/stable/23728643,Strategic Organization,10.2307_23728643,Management & Organizational Behavior,2008.0,0,1.7324273358099163e-05,1,0.9079824090003967,0,0.00448734313249588
15,,,,INTERNATIONAL INDUSTRIAL ORGANIZATION AND COMPETITION POLICY,None,https://www.jstor.org/stable/43294817,Hitotsubashi Journal of Commerce and Management,10.2307_43294817,Management & Organizational Behavior,1974.0,0,1.727880044199992e-05,0,0.0010528534185141325,0,0.0013745158212259412
16,,,,What Role for Marketing in the Arts? An Analysis of Arts Consumption and Artistic Value,"This article examines the role of marketing in the arts. Reflecting on the issue requires an understanding of both the meaning of artistic value and its diffusion process. Artistic value can be seen as a ""flow potential"" embedded in a product that may or may not be recognized by those who encounter it. When artistic potential is recognized, it is diffused on a social level and marketing is drawn in. The diffusion process can be broken down into different stages that link the artist to the wider public. Along this path, artistic value is transformed from an ""emergent"" state to an ""emerged"" one, and also acquires social and economic value. Marketing attends to the services managed by the subjects who transfer the artistic value from the artist to the public in order to increase the emergent artistic potential or to enhance the emerged one. Different services and marketing tools are used at each stage of the diffusion process. L'article porte sur le rôle du marketing dans le domaine des arts. Selon l'auteure, toute réflexion sur le sujet exige une compréhension préalable de la valeur artistique et de son processus de diffusion. La valeur artistique peut être considérée comme un potentiel intrinsèque au produit, reconnu ou non par ceux qui l'approchent. Une fois identifié, le potentiel artistique doit être diffusé; le marketing entre alors en jeu. Le processus de diffusion peut être décomposé en différentes étapes au cours desquelles un lien s'établit entre l'artiste et le public. La valeur artistique se transforme : d'émergente, elle devient apparente et le produit acquiert une valeur sociale et économique. Le marketing correspond aux services fournis par ceux qui transfèrent la valeur artistique de l'artiste au public pour accroître le potentiel artistique émergent ou pour rehausser la valeur apparente. Des services et des outils marketing différents sont utilisés à chaque étape du processus de diffusion. En este artículo se analiza el papel del marketing en las artes. Para reflexionar sobre este tema se necesita comprender el significado del valor artístico y de su proceso de difusión. Se puede ver el valor artístico como un ""potendal de flujo"" incorporado a un producto, el que puede o no ser reconocido como tal. Una vez el potendal artístico reconocido, se le difunde en el ámbito sodal y el marketing entra en juego. El proceso de difusión puede desglosarse en diferentes etapas que vinculan al artista con un público más amplio. Durante este proceso el valor artístico pasa de un estado ""emergente"" a un estado ""pleno"", y también adquiere valor sodal y económico. El marketing es una herramienta que utilizan los encargados de transfenr el valor artístico del artista al público ya sea para incrementar el potendal artístico emergente o para aumentar el valor ya ""surgido"". Se emplean diferentes servidos y herramientas de marketing en cada etapa del proceso de difusión.",https://www.jstor.org/stable/41064697,International Journal of Arts Management,10.2307_41064697,Management & Organizational Behavior,2000.0,0,3.152685530949384e-05,0,0.0017803021473810077,0,0.00021136639406904578
17,,,,"AFLOAT IN CLOUD CUCKOO LAND? Some Critical Comments on the Symposium, ""Manufacturing Nature, Naturalizing Machines""",None,https://www.jstor.org/stable/26161548,Organization & Environment,10.2307_26161548,Management & Organizational Behavior,2000.0,0,0.06273829936981201,0,0.00016040533955674618,0,0.00022577965864911675
18,,,,Strategic Aggressiveness: The Effects of Gain-Thrust Schema and Core Stakeholder Salience,"Growing research has emphasized the antecedents and consequences of competitive actions. Authors in this research stream have generally combined strategic and tactical actions in defining competitive actions. Prior work has also built from prospect theory which was developed for individual behavior and may not be well adapted to complex organizational situations. This research addresses these gaps in prior work first by focusing exclusively on strategic actions. Strategic actions as a standalone variable are important because they involve substantial resource commitments, which are irreversible. Second, rather than use a foundation of prospect theory, this study argues that senior managers adopt a ""gain-thrust schema"" in today's highly competitive and dynamic business landscape. This schema calls for aggressive strategic actions to gain and sustain competitive advantages. The aggressive strategic actions, in turn, may become susceptible to the forces of momentum, which may lead to exorbitant aggressiveness with negative performance consequences. Contrary to the prediction by the prospect theory, good past performance is a catalyst for aggressive strategic actions. These arguments are articulated in the backdrop of a theoretical framework and tested via four hypotheses. The results are, for the most part, in the predicted direction.",https://www.jstor.org/stable/23209118,Journal of Managerial Issues,10.2307_23209118,Management & Organizational Behavior,2011.0,0,8.764347512624227e-06,0,0.0024177557788789272,0,0.0023793333675712347
19,,,,Associations Between Quantitative and Qualitative Job Insecurity and Well-Being: A Test in Belgian Banks,"Most studies on the relationship between job insecurity and well-being have focused on the effects of employees' overall concerns about the continued existence of the job as such (quantitative job insecurity). Comparatively little research has examined perceived threats to valued job features (qualitative job insecurity). The overall aim of this study was to investigate the relative strength of associations of quantitative and qualitative job insecurity with job-related (job satisfaction and burnout) and general (psychological distress and psychosomatic complaints) well-being, and health-related behavior (absenteeism and medical consultation). Controlling for sociodemographics, negative affectivity, and job characteristics, these relationships were tested in a sample of 7,146 Belgian employees in the banking sector. The results suggest that both quantitative and qualitative job insecurity are important stressors.",external-fulltext-any,International Studies of Management & Organization,10.2307_25704021,Management & Organizational Behavior,,0,7.1954304985411e-06,0,0.0002826534619089216,1,0.9215206503868103
20,,,,Declining Prices and Optimality When Costs Follow an Experience Curve,"There is a widely held notion that as production costs decline with experience, prices should follow more or less in parallel. Although this notion has been an important factor in estimating experience curves and in formulating corporate strategies, we show that it is generally inconsistent with published multiperiod optimal pricing models. The paper then goes on to demonstrate that this apparent conflict can be reconciled by allowing the demand process to exhibit increasing price elasticity over time. Since this demand characteristic is very plausible for innovative products, we suggest it be incorporated into optimal pricing models.",https://www.jstor.org/stable/2487551,Managerial and Decision Economics,10.2307_2487551,Management & Organizational Behavior,1986.0,0,8.980370694189332e-06,0,0.00025756252580322325,0,0.00012429917114786804
21,,,,"Over Two Decades and Eight Thousand Miles: The Cross-continental Collaboration on Development Finance of Two Social Enterprises, ShoreBank Corporation and BRAC","BRAC has been a leading force in every sphere, including economic development, in the developing world. ShoreBank Corporation, a recognised leader in expanding access to finance in the USA, was a commercial bank focused on revitalising communities on the south side of Chicago and demonstrating the business potential for community banking. United by common roots and similar goals, BRAC and ShoreBank began what would become a deep and long-term partnership in the 1980s. This unusual case study draws on unique, longitudinal field research, gathered first hand and meticulously archived by a senior leader of one of the organisations. It examines the details of the unique and long-lasting relationship between BRAC and ShoreBank, how the partnership was initially formed, the conditions which allowed it to flourish, the innovations made possible by this partnership, and the impact of their collaborative approach on the field of access to finance. The paper concludes that the partnership, and the way it was formed and managed, has allowed for a ‘platform for innovation’ including lending in countries and regions considered off limits, providing finance to small businesses, and providing mobile banking services to rural and unbanked customers. The paper provides relevant integration of theory and practice related to social enterprise partnerships, especially in the field of development finance. More broadly, the paper offers implications for practice and future research related to how partnerships can involve beneficial two-way flows of innovation from South to North, as well as North to South.",https://www.jstor.org/stable/jcorpciti.47.75,Journal of Corporate Citizenship,10.2307_jcorpciti.47.75,Management & Organizational Behavior,2012.0,0,7.558154175058007e-05,0,0.0003342476557008922,0,0.00013448605022858828
22,,,,Fairness from the Top: Perceived Procedural Justice and Collaborative Problem Solving in New Product Development,"The literature on new product development has examined several important determinants of collaboration among project members. However, we are not aware of any study that links top management decisions with project members' collaborative behavior. To address this significant gap, this study examines how perceived procedural justice in top management decisions regarding new products is related to collaborative problem solving among new product development project members. Our results from 109 technology firms-as well as from 91 student-based project groups-suggest that perceived procedural justice in top management decisions is positively related to collaborative problem solving among project members, and that collaborative problem solving mediates the relationship between perceived procedural justice and new product performance. Furthermore, we found that the relationship between perceived procedural justice and collaborative problem solving is positively moderated by environmental uncertainty. Contrary to our expectation, however, our findings show a negative moderating effect of project members' perceived organizational commitment on the relationship between perceived procedural justice and collaborative problem solving.",https://www.jstor.org/stable/25146094,Organization Science,10.2307_25146094,Management & Organizational Behavior,2007.0,0,0.0008748773252591491,0,0.0004891746211796999,0,0.00047424837248399854
23,,,,Multinational Profitability as a Function of Political Instability,None,https://www.jstor.org/stable/40226372,Management International Review,10.2307_40226372,Management & Organizational Behavior,1972.0,0,6.82917107042158e-06,0,0.01649545319378376,0,0.00048378013889305294
24,,,,Principles of Management in a Socialist Economy,None,https://www.jstor.org/stable/40397029,International Studies of Management & Organization,10.2307_40397029,Management & Organizational Behavior,1982.0,0,1.875046109489631e-05,0,0.00032278281287290156,0,0.0004905538517050445
25,,,,On the Value of Free Foreign-Exchange Forecasts,"The objective of this paper is to assess the value of free foreign-exchange forecasts. Taking the exchange-rate projections published by Lloyds Bank as an example, it is shown that there is no reason to assume that these projections consistently outperform the most easily available benchmark, the current spot exchange rate. Moreover, the returns to speculative investment based on these projections seem to be, at best, insignificant. The value of such forecasts must, therefore, be regarded as negligible.",https://www.jstor.org/stable/2487061,Managerial and Decision Economics,10.2307_2487061,Management & Organizational Behavior,1987.0,0,6.372979896696052e-06,1,0.9968249797821045,0,5.5619198974454775e-05
26,,,,Strategies of Engagement: Lessons from the Critical Examination of Collaboration and Conflict in an Interorganizational Domain,"Many writers advocate interorganizational collaboration as a solution to a range of organizational and intersectoral problems. Accordingly, they often concentrate on its functional aspects. We argue that collaboration deserves a more critical examination, particularly when the interests of stakeholders conflict and the balance of power between them is unequal. Using examples from a study of the UK refugee system, we argue that collaboration is only one of several possible strategies of engagement used by organizations as they try to manage the interorganizational domain in which they operate. In this paper, we discuss four such strategies: collaboration, compliance, contention and contestation. By examining the stakeholders in the domain and asking who has formal authority, who controls key resources, and who is able to discursively manage legitimacy, researchers are in a stronger position to evaluate both the benefits and costs of these strategies and to differentiate more clearly between strategies that are truly collaborative and strategies that are not. In other words, we hope to demonstrate that collaboration between organizations is not necessarily ""good"", conflict is not necessarily ""bad"", and surface dynamics are not necessarily an accurate representation of what is going on beneath.",https://www.jstor.org/stable/2640354,Organization Science,10.2307_2640354,Management & Organizational Behavior,1998.0,0,3.8783924537710845e-05,1,0.9993889331817627,0,6.396019307430834e-05
27,,,,Negotiations after the Sale: The Roots and Ramifications of Conflict in an Acquisition,"This paper presents a case study of negotiations over the combination of a small manufacturing firm into a multi-billion dollar conglomerate following its `white knight' acquisition. It focuses on the strategic and tactical conflicts between the two firms and traces these to the party's emotional reactions to the combination. Feeling of loss versus gain in the two firms, each party's sense of uncertainty and threat, and their moves toward proactive versus reactive control in the combination are analysed to identify the roots of strategic conflict. These feelings, plus incompatibilities in the two company's managements, business systems, corporate cultures, and goals for combination ramify in conflict in the negotiations themselves. The paper concludes with a more generic model illustrating contextual features of combinations that shape human reactions and conflicts in negotiations after the sale.",https://www.jstor.org/stable/3000350,Journal of Occupational Behaviour,10.2307_3000350,Management & Organizational Behavior,1985.0,0,3.960133471991867e-05,1,0.9992274045944214,0,0.0006516164867207408
28,,,,Knowledge Mobility in Cross-Border Buyer-Supplier Relationships,"This paper contributes to the debate on the influence of knowledge sourcing in emerging markets by multinational enterprises. The study builds on transaction cost theory, organizational learning theory and the knowledge-based view to examine the determinants and consequences of knowledge mobility in cross-border buyer-supplier relationships. I hypothesize that protection and knowledge attributes influence knowledge acquisition from international strategic alliances and that knowledge mobility enhances local suppliers' innovation capabilities. Using survey data of 160 firms in the information technology (IT) sector and a structural equation methodology, the empirical results indicate the positive impact that knowledge attributes have on protection. Furthermore, knowledge mobility in cross-border relationships positively affects the development of firms' innovation capabilities. The implications are discussed at the end of the paper.",https://www.jstor.org/stable/41494971,MIR: Management International Review,10.2307_41494971,Management & Organizational Behavior,2012.0,0,2.6328651074436493e-05,1,0.9606154561042786,0,5.302413410390727e-05
29,,,,Strategy Formation and Corporate Citizenship: Conversations and Decisions that Matter,"A major deficiency of traditional strategy-making is that most minds within the organisation are not brought into the process. As corporate citizenship becomes imperative, a variety of internal and external stakeholders will seek more involvement in deliberations on business strategy and policy. In this respect, this paper provides a corporate citizenship framework for understanding and designing processes for generating and implementing strategic change. Several generic principles of strategy formation that draws on corporate citizenship are defined: inclusiveness, ethic of reciprocity, psychological safety, ideation and simple rules. These dimensions are illustrated by way of two approaches that have been extensively tested in a variety of organisations: appreciative inquiry and circular organising. We summarise and compare these approaches. As such, a key design parameter appears to be whether the main interest is in ‘conversations that matter’ or ‘decisions that matter’.",https://www.jstor.org/stable/jcorpciti.38.93,Journal of Corporate Citizenship,10.2307_jcorpciti.38.93,Management & Organizational Behavior,2010.0,0,0.00042790567385964096,1,0.9999599456787109,0,4.0015424019657075e-05
30,,,,"A New Perspective on a Fundamental Debate: A Multilevel Approach to Industry, Corporate, and Business Unit Effects","We utilized a multilevel approach to both estimate the relative importance of industry, corporate, and business segment effects on firm performance, as well as to demonstrate how it enables the investigation of specific strategic factors within each class of effects. Our results confirmed previous findings suggesting that although business segment effects carry the most relative importance, industry and corporate effects are also important. Among the findings regarding specific factors, we found that industry concentration and munificence, as well as the resource environment provided by corporate parents, impact performance. These findings suggest that investigators should consider both industry and corporate environments when examining performance.",https://www.jstor.org/stable/20142357,Strategic Management Journal,10.2307_20142357,Management & Organizational Behavior,2006.0,0,1.1244959750911221e-05,1,0.999722421169281,1,0.7704529166221619
31,,,,Do Patents Perform like Property?,"Do patents provide critical incentives to encourage investment in innovation? Or, instead, do patents impose legal risks and burdens on innovators that discourage innovation, as some critics now claim? This paper reviews empirical economic evidence on how well patents perform as a property system.",https://www.jstor.org/stable/27747459,Academy of Management Perspectives,10.2307_27747459,Management & Organizational Behavior,2008.0,0,2.8011105314362794e-05,1,0.9999691247940063,0,0.0003668454592116177
32,,,,Reexamining The Relationship Between Action Preferences And Managerial Risk Behaviors,"Building on prospect theory and behavioral theories, and taking insights from theories of social cognition, we build a model of managerial risk behaviors. The antecedents are organizational resources, performance indicators, and problem framing. Based on social cognition concepts, we develop a construct called ""action preferences,"" which explains adaptive versus non-adaptive behaviors. The impact of negativity effect results in adaptive behaviors like escape, avoidance, and other ways to overcome threatening events. Action preferences provide a more compelling and complete explanation of managerial risk behaviors. Action preferences partially mediate the relationship between the exogenous signals and managerial risk behaviors. The proposed model examines the indirect effects of the exogenous variables on managerial risk behaviors. We predict that the mediating role of action preferences will maximize the explained variance of managerial risk behaviors. We argue that a model of managerial risk action that includes action preferences as a mediator will provide a better explanation of the processes underlying managerial risk behaviors. Several propositions, including interactions, that examine the relationship between the exogenous variables and action preferences, and between action preferences and managerial risk behaviors, are also suggested.",https://www.jstor.org/stable/40604393,Journal of Managerial Issues,10.2307_40604393,Management & Organizational Behavior,2002.0,0,1.6883292119018734e-05,1,0.9857096672058105,0,9.839452104642987e-05
