stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Fluid Dynamics in Business and Industrial Management: Application and Economics,None,https://www.jstor.org/stable/40226585,Management International Review,10.2307_40226585,Management & Organizational Behavior,1971.0,0,3.915861452696845e-05,1,0.8308133482933044,0,0.00253629800863564
,,,MEASURING PERFORMANCE OF U.S. NONPROFIT HOSPITALS: Do Size and Location Matter?,"This study measures the technical efficiency, pure technical efficiency, and scale efficiency of nonprofit hospitals, the most common hospital ownership type in the United States, using a sample of 118 nonprofit hospitals between 1999 and 2003. The study conducts input-oriented and output-oriented data envelopment analyses (DEAs) using multiple input and output variables. DEA results suggest that urban nonprofit hospitals are relatively more efficient than their rural counterparts. The results also show that smaller nonprofit hospitals are relatively more efficient than larger and medium hospitals. Interestingly, results show that small urban nonprofit hospitals are relatively more efficient than any other nonprofit hospitals. From a management and policy perspective, this study indicates that rural nonprofit hospitals and larger hospitals need to benchmark urban or smaller nonprofit hospitals to improve efficiency, possibly by downsizing the scale of the hospitals, adopting new marketing strategies, and changing the cost structure of facility operation.",external-fulltext-any,Public Performance & Management Review,10.2307_20779220,Management & Organizational Behavior,,0,1.4136388017504942e-05,1,0.8492175340652466,0,0.31104570627212524
,,,The reflexive dynamics of institutionalization: the case of the family business,None,https://www.jstor.org/stable/23727521,Strategic Organization,10.2307_23727521,Management & Organizational Behavior,2007.0,1,0.9999842643737793,1,0.9299458265304565,0,0.003428261261433363
,,,Effects of Upward Accountability and Rating Purpose on Peer-Rater Inflation and Delay: A Field Experiment,"Procedural influences on peer-rater distortion and delay were investigated in a field experiment. Employees (N = 123) of a business information firm were randomly assigned to conditions in a 2 (upward accountability versus no accountability) by 2 (administrative purpose versus research purpose) experimental design. Results revealed evidence for an accountability by purpose interaction on rater delay. Specifically, raters delayed rating their peers when the purpose was research-only and they had to explain their ratings to a supervisor. When the rating purpose was administrative, no differences in delay due to accountability were obtained. We found no effects for upward accountability and rating purpose on peer-rater inflation.",https://www.jstor.org/stable/3100195,Journal of Organizational Behavior,10.2307_3100195,Management & Organizational Behavior,1998.0,0,8.749500011617783e-06,1,0.9954166412353516,0,0.00010609682067297399
,,,Are Two Heads Better Than One?,"The leadership of a board, including active participation in the selection of board members and the CEO, is the responsibility of the Chairman. The job of putting together an effective board and developing it as a team is an onerous one, and should not be coupled with the job of actively leading management; the positions of Chairman and CEO should not be combined except in very unusual circumstances. Vital to the division of the two jobs, however, are several conditions: the respective roles of Chairman, board and CEO must be clearly defined and understood; there must be a high degree of mutual respect and understanding between the Chairman and the CEO; the board must feel involved in the operation and have a stake in its success; and the whole process must be layered with communication of the highest order. La direction du conseil d'administration, incluant une participation active dans la sélection des membres, incombe au président du Conseil. Former un Conseil compétent et l'amener à devenir une équipe efficace constitue une lourde responsabilité qui ne devrait pas être jumelée a la direction au quotidien d'une entreprise ou d'un organisme; les fonctions de président du Conseil et de président-directeur général ne devraient donc pas être réunies, sauf dans des circonstances exceptionnelles. Toutefois, la séparation des fonctions du PDG et du président du Conseil est assortie de plusieurs conditions essentielles : les rôles respectifs du président du Conseil, du conseil d'administration et du PDG doivent être clairement définis et compris; il faut beaucoup de respect mutuel et de compréhension entre le président du Conseil et le PDG; le Conseil doit se sentir impliqué dans l'entreprise et être intéressé matériellement à son succès; et tout le processus doit reposer sur une communication continue. La responsabilidad de dirigir un Consejo de Administración recae sobre su Presidente e incluye el seleccionar a los miembros del consejo y al Presidente Ejecutivo. La tarea de formar un consejo de administración eficaz, y hacer de él un equipo igualmente eficaz, constituye una carga importante de trabajo y no debería sumarse al desempeño de una dirección administrativa activa. No deberían, por lo tanto, acumularse los cargos de Presidente y Presidente ejecutivo, salvo en circunstancias muy especiales. La separación de los cargos de Presidente Ejecutivo y Presidente del Consejo deberá acompañarse de varias condiciones fundamentales: los papeles respectivos del Presidente Ejecutivo, del Consejo de Administración y del Presidente deben estar claramente definidos y entendidos; debe prevaler un alto respeto mutuo y entendimiento entre el Presidente y el Presidente Ejecutivo; los miembros del consejo debe sentirse plenamente involucrados en el funcionamiento del organismo y estar interesados en el éxito del mismo y, finalmente, todo este proceso deberá llevarse a cabo en el marco de una óptima comunicación entre todos ellos.",https://www.jstor.org/stable/41064750,International Journal of Arts Management,10.2307_41064750,Management & Organizational Behavior,2002.0,0,0.015114293433725834,1,0.9941019415855408,0,0.0064043765887618065
,,,Sex Differences in Persistence and Alternative Occupational Choice of Unsuccessful Applicants to Medical School,None,https://www.jstor.org/stable/3000270,Journal of Occupational Behaviour,10.2307_3000270,Management & Organizational Behavior,1983.0,0,1.2058583706675563e-05,0,0.00033493636874482036,1,0.9995130300521851
,,,Public Safety Productivity,"Presents an approach to the process of productivity improvement for fire and police services in small and medium-size cities. The essential characteristic of this approach is that in order for productivity improvements to be effective, it is necessary to employ a mutual problem identification/problem solving strategy.",https://www.jstor.org/stable/3380232,Public Productivity Review,10.2307_3380232,Management & Organizational Behavior,1979.0,0,1.086471547750989e-05,0,0.0005809515714645386,0,0.00026536890072748065
,,,Researching human resource management in the hospitality industry: The need for a new agenda?,"Analysis of both research conference and refereed journals suggests that 'people' continue to be a dominant hospitality industry research topic. This paper is concerned with research which addresses the management of the labour process and employment relationships per se. The main focus of the analysis explores the research on issues related to people management published in specialist hospitality and tourism journals, and the analysis is further developed through a comparison of research articles published over the same time period in a generic human resources publication. Comparison of these two sets of journals reveals some interesting similarities and variations in research topics — not the least of which is the general reluctance of hospitality research to critically engage with debates about the meaning and theoretical underpinning of 'human resource management'.",https://www.jstor.org/stable/42919208,International Journal of Tourism and Hospitality Research,10.2307_42919208,Management & Organizational Behavior,1999.0,0,0.00011786590766860172,0,0.0005235877470113337,0,0.0012629698030650616
,,,The Silent Majority: Manuscript Rejection and Its Impact on Scholars,"Given high rejection rates at most journals, many academics receive rejections. For some scholars, rejections may be emotionally difficult and lead to decrements in creativity, productivity, and professional satisfaction. Academic institutions often fail to address these emotional responses to, and consequences of, rejections. Using social identity and rejection sensitivity theories, I explain why negative emotional responses to rejection are normal and predictable, and suggest ways both the individual and the broader academic system can address the issue. Academe should assist scholars to understand and respond effectively to rejection and reconsider its own culture and priorities.",external-fulltext-any,Academy of Management Learning & Education,10.2307_23100441,Management & Organizational Behavior,,0,0.0007080730283632874,0,0.00941366609185934,0,0.04129170626401901
,,,Editorial: SO! What's New in 2014?,None,https://www.jstor.org/stable/43581988,Strategic Organization,10.2307_43581988,Management & Organizational Behavior,2014.0,0,0.0009442991577088833,0,0.0006091342074796557,0,0.001165725407190621
,,,Stochastic Dominance Tests for Decreasing Absolute Risk Aversion. I. Discrete Random Variables,"Stochastic dominance (SD) theory is concerned with orderings of random variables by classes of utility functions characterized solely in terms of general properties. This paper discusses a type of stochastic dominance, called DSD, which is defined by the utility functions having decreasing absolute risk-aversion. Necessary and sufficient conditions for DSD are presented for discrete random variables which, after the possible addition of points of zero probability, are concentrated on finitely many equally-spaced points. The problem is cast as a nonlinear program, which is solved through an efficient dynamic programming routine. Examples are presented to illustrate the increased effectiveness of DSD relative to previous types of stochastic dominance.",https://www.jstor.org/stable/2630058,Management Science,10.2307_2630058,Management & Organizational Behavior,1975.0,0,1.7593107259017415e-05,0,0.00014994289085734636,0,0.02264542691409588
,,,The AIDS Crisis In America: A Study Of Organizational Policies And Actions,"AIDS (Acquired Immune Deficiency Syndrome) has received extensive attention in the past five years. Research has focused primarily on medical knowledge about the disease and statistical estimates regarding its present and future impact on society. Research has also examined possible legal protection for people with AIDS under federal, state, and local laws. Little information, however, has been reported in the literature regarding what organizations are actually doing to deal with this growing crisis. This paper reviews the medical, statistical, and legal research to date, and reports the results of a survey of 300 professionals regarding their organizations' AIDS policies.",https://www.jstor.org/stable/40603673,Journal of Managerial Issues,10.2307_40603673,Management & Organizational Behavior,1990.0,0,1.98526668100385e-05,0,0.037537336349487305,0,0.23867562413215637
,,,Optimizing Inventory Levels in a Two-Echelon Retailer System with Partial Lost Sales,"This paper considers a retailer inventory system with N first-echelon stores and a single second-echelon distribution center (DC). Customer demands at the stores are assumed to be random. When a stockout occurs, customers are willing to wait for their order to be filled with a known probability. Customers who are unwilling to wait result in lost sales. The first and second echelons are both restocked at fixed, equally spaced time points, where the store restocking frequency is an integer multiple of the DC restocking frequency. We also assume that replenishment quantities at both echelons can be adjusted up to the time of delivery, resulting in replenishment lead times equal to zero. This simplification allows us to determine optimal solutions for the partial lost sales case, which has proven intractable for two-echelon formulations with lead times. Computational results are given for illustrative examples.",https://www.jstor.org/stable/2632856,Management Science,10.2307_2632856,Management & Organizational Behavior,1994.0,0,1.4122684660833329e-05,0,0.00024393585044890642,0,0.002320132916793227
,,,Tensions between Venture Capitalists' and Business-Social Entrepreneurs' Goals: Will Bottom-of-the-Pyramid Strategies Offer a Solution?,This paper examines the case of an entrepreneurial venture with a disruptive innovation in the field of medical technology. The case entrepreneur is striving for the socalled double bottom line of both financial and social returns. The paper analyses the relationship between the entrepreneur who is both socially responsible and businessoriented and a putative mainstream venture capitalist interested in the financial success of the venture. It is asserted that venture capitalists may not be initially interested in investing due to the social targets of the entrepreneur and due to the disruptive nature of the venture's business concept.,https://www.jstor.org/stable/greemanainte.51.79,Greener Management International,10.2307_greemanainte.51.79,Management & Organizational Behavior,2005.0,0,7.181464752648026e-05,0,0.00010726739128585905,0,0.0002566624025348574
,,,Determinants of Drug Prices and Expenditures,"The process by which pharmaceuticals are bought and sold is exceedingly complex. The major reason is that most consumers do not pay directly for the drugs they consume. Intermediaries are generally present who purchase pharmaceuticals from their manufacturers and have them provided to their subscribers or affiliates. The products themselves, however, are generally supplied by the same pharmacies used by cash purchasers. The purpose of this paper is to describe and examine these markets.",https://www.jstor.org/stable/25151522,Managerial and Decision Economics,10.2307_25151522,Management & Organizational Behavior,2007.0,0,2.1398165699793026e-05,0,0.0027885150630027056,0,0.0001382211339659989
,,,"Moderating Effects of Political Skill, Perceived Control, and Job-Related Self-Efficacy on the Relationship between Negative Affectivity and Physiological Strain","The present study examined whether employees high in negative affectivity (NA) are destined to experience strain at a higher level than those low in NA. We used data collected from 230 employees to investigate the moderating effects of political skill, as a form of interpersonal control, on the relationship between NA and physiological strain. As hypothesized, NA was positively related to physiological strain (i.e., facial muscle tension as measured by electromyography (EMG)), and political skill buffered this effect such that the relationship was weaker among employees who were higher in political skill. Tests of mediated moderation further suggested the means by which political skill moderates the NA/strain relationship; specifically, the results were consistent with the idea that perceived control and, in turn, job-related efficacy explain the moderating effect of political skill. Strengths and limitations of the study, practical implications, and directions for future research are discussed.",https://www.jstor.org/stable/30162647,Journal of Organizational Behavior,10.2307_30162647,Management & Organizational Behavior,2008.0,0,8.164414794009645e-06,0,0.00014435082266572863,0,0.011313551105558872
,,,The Impact of Primary Life Involvements on Turnover: A Comparison of Part-Time and Full-Time Employees,"This paper compares the factors which affect the decision of part-time and full-time employees to leave an organization. The decision is hypothesized to be contingent on primary life involvements. A sample of 154 registered nurses, with families, was used. The results demonstrated that primary life involvements were useful for predicting turnover of part-time employees only. The results were integrated with research which suggests that different types of attitudes predict turnover of part-time and full-time employees.",https://www.jstor.org/stable/3000234,Journal of Occupational Behaviour,10.2307_3000234,Management & Organizational Behavior,1985.0,0,0.0001954485196620226,0,0.0009266615379601717,0,0.3075776696205139
,,,An Examination of the Discriminative Delivered Prices of Middle East Crude Oil,"Approximately 80 per cent of crude oil exported from the Middle East was delivered to the importing countries by the eight international oil companies (""Majors"") during five years between 1974 and 1978. The delivered market of Middle East crude oil is therefore oligopoly of the Majors. In conclusion, the Majors discriminated against the West Europeans (nearby customers) in favor of the Americans (faraway customers) most probably because they competed for the new market territory, the United States, where domestic crude oil has been produced and its prices have been controlled, but they customarily avoided the price competition in West Europe.",https://www.jstor.org/stable/40227573,Management International Review,10.2307_40227573,Management & Organizational Behavior,1981.0,0,7.472848665202036e-05,0,0.0033152541145682335,0,0.00021639317856170237
,,,Managerial Innovation at the Local Level: Some Effects of Administrative Leadership and Governing Board Behavior,"This article considers how perceptions of leadership credibility toward the chief administrative officer within a local government setting associate with perceptions toward innovation success and policy board behavior. The target group for this study includes local city administrators, department heads, and elected officials on respective policy boards. The authors' preliminary findings suggest that as perceptions of leadership credibility held toward the chief administrative officer increase, so do perceptions of reform success and cooperative board-staff relationships. These patterns offer insight into how city managers and administrators may wish to develop their leadership skills in the future.",https://www.jstor.org/stable/3380565,Public Productivity & Management Review,10.2307_3380565,Management & Organizational Behavior,2000.0,0,0.0007789777009747922,0,0.0005976679385639727,0,0.0003772457130253315
,,,Aggregation or Aggravation? The Relative Merits of a Broad Withdrawal Construct,None,https://www.jstor.org/stable/3100236,Journal of Organizational Behavior,10.2307_3100236,Management & Organizational Behavior,1998.0,0,2.608164504636079e-05,0,0.001085461932234466,1,0.957587718963623
,,,A study of the perceptions of the labour market by human resource managers in the UK hotel industry: A cognitive approach,"It is reasonable to assume that if the labour market is the dominant force in labour management then the significance of the role of the human resource manager lies in the position it holds at the intersection between the external and the internal market, with recruitment as the joining process. This paper describes a qualitative investigation of hotel human resource managers' perceptions of their labour market environment using the process of recruitment as a vehicle to explore cognitive processes. A cognitive task analysis was completed which utilised four interview methods: task diagram; knowledge audit; simulation interview; and repertory grid. The findings show that the HR managers conform to the appellation of 'expert' in that they would use few and simple rules in making decisions. They also assume that the labour market will always provide and that perceptions of what goes on inside the organisation are quite separate. In other words there is both an industry and in organisational perspective at work.",https://www.jstor.org/stable/23743817,Tourism and Hospitality Research,10.2307_23743817,Management & Organizational Behavior,2000.0,0,0.0004934579483233392,0,0.0004758813010994345,0,0.00022052496206015348
,,,Building Sustainable Organizations: The Human Factor,"Although most of the research and public pressure concerning sustainability has been focused on the effects of business and organizational activity on the physical environment, companies and their management practices profoundly affect the human and social environment as well. This article briefly reviews the literature on the direct and indirect effects of organizations and their decisions about people on human health and mortality. It then considers some possible explanations for why social sustainability has received relatively short shrift in management writing, and outlines a research agenda for investigating the links between social sustainability and organizational effectiveness as well as the role of ideology in understanding the relative neglect of the human factor in sustainability research.",https://www.jstor.org/stable/25682382,Academy of Management Perspectives,10.2307_25682382,Management & Organizational Behavior,2010.0,0,0.00014297872257884592,0,0.00510011613368988,0,0.0024619342293590307
,,,Socialization And Organizational Outcomes In Large Public Accounting Firms,"Although socialization influences most of the personnel issues facing public accounting, it remains poorly understood in any rigorous sense. This article investigates the organizational means that describe how new staff members are connected to others in the firm. The choices that a firm makes in this matter are theorized to influence subsequent socialization outcomes such as performance, organizational commitment, job involvement and turnover intentions. For these purposes, the six dichotomies from Van Maanen and Schein (1979) were explored in a professional work context. Structural equations modeling was used to test a group of interconnected hypotheses. The results indicate that four of these six organizing conditions affect at least, one socialization outcome. The single most important organizational choice proved to be whether the firm confirms or disconfirms the values held by the incoming accountant. These results indicate that how accounting firms choose to arrange the early experiences of their staff will have important consequences for the professional services firm. Implications for researchers and practitioners are discussed.",https://www.jstor.org/stable/40604291,Journal of Managerial Issues,10.2307_40604291,Management & Organizational Behavior,2000.0,0,5.342862641555257e-05,1,0.9973466396331787,1,0.8300766944885254
,,,Reply: Further Thoughts on the Happy-Productive Worker,"Ledford's commentary on our paper titled, 'Affect and favorable work outcomes: Two longitudinal tests of the happy-productive worker thesis', is a thought-provoking attempt to place the research and its findings in a larger theoretical context. His comments address three general questions. First, why have so many academics and practitioners alike been willing to accept the existence of the happy-productive worker relationship? Second, to what extent do Wright and Staw's findings shed additional light on the happy-productive worker thesis? Finally, what are the study's implications for future research? We will comment briefly on each of these issues.",https://www.jstor.org/stable/3100201,Journal of Organizational Behavior,10.2307_3100201,Management & Organizational Behavior,1999.0,0,5.3516585467150435e-05,0,0.00020908295118715614,0,0.0016944282688200474
,,,Developing Socially Responsible Behaviour in Managers: Experimental Evidence of the Effectiveness of Different Approaches to Management Education,"Most of the discussion by academics and practitioners regarding CSR (corporate social responsibility) pertains to the organisation. Little research has explored how to develop socially responsible behaviour (SRB) at the individual level. As part of a large-scale research project, RESPONSE, four companies took part in randomised controlled experiments to test the effectiveness of different approaches to management education designed to develop such socially responsible behaviour. The data provides evidence that traditional approaches to management education are not effective in changing decisions made regarding CSR dilemmas. Approaches aimed at personal development, such as training techniques of relaxation and mental silence meditation, even without explicit reference to CSR, show strong impact on changes in the decisions made (SRB) and specific psychological characteristics of managers (affect, values and cognitive reasoning, referred to as ‘social consciousness’) that enhance the emergence of socially responsible behaviour. Implications are drawn for a better understanding of learning processes connected to CSR, as well as for the design of management education in this specific domain.",https://www.jstor.org/stable/jcorpciti.39.21,Journal of Corporate Citizenship,10.2307_jcorpciti.39.21,Management & Organizational Behavior,2010.0,0,0.00010852993000298738,0,0.0013805617345497012,0,0.0005957254907116294
,,,Editorial: Social science and risk,None,https://www.jstor.org/stable/26162692,Industrial Crisis Quarterly,10.2307_26162692,Management & Organizational Behavior,1992.0,0,0.0002547826152294874,0,0.0008500267867930233,0,0.014989452436566353
,,,What's it like from the inside? The Challenges of Being an Organisational Change Agent for Sustainability,"There are a handful of people inside organisations who are the initiators and champions of sustainable development, and they come in a variety of guises. They may be volunteers who have taken on this role unprompted because of their interest and commitment. They may have environmental management, energy efficiency or social impacts as part of their job. They may be in a strategic role, or in a communications team. They may be relatively senior in their organisation. They may have operational or core-business roles, or they may be in a separate expert team. This article looks at organisational change for sustainability from their perspective, exploring the tensions which make this change challenge particularly stretching. These tensions are over and above the usual challenges and choices which face organisational change-makers in other situations, and they are related to the sustainable development change agent's self-perception as being part of a wider sustainability change movement. The survey shows that: (1) they think change isn't happening fast enough and isn't ambitious enough; (2) it is hard to find genuine win–wins which meet organisational needs as well as sustainability goals; and (3) they recognise that emergent, systemic change is needed but struggle to reconcile this with the need for tangible short-term progress and measurable goals.",https://www.jstor.org/stable/greemanainte.57.9,Greener Management International,10.2307_greemanainte.57.9,Management & Organizational Behavior,2007.0,0,0.00018950898083858192,0,0.00023118550598155707,0,0.004772521555423737
,,,IRRIGATION WORKS IN THE HAWAIIAN ISLANDS,None,https://www.jstor.org/stable/26161968,Organization & Environment,10.2307_26161968,Management & Organizational Behavior,2007.0,0,5.1499544497346506e-05,0,0.000349520385498181,0,0.0070012290962040424
,,,What's Wrong and What Should Be Done?,None,https://www.jstor.org/stable/3381202,Public Performance & Management Review,10.2307_3381202,Management & Organizational Behavior,2004.0,0,0.00026017974596470594,0,0.00042191261309199035,1,0.546477735042572
,,,Heterogeneous resources and the financial crisis: implications of strategic management theory,None,https://www.jstor.org/stable/23728588,Strategic Organization,10.2307_23728588,Management & Organizational Behavior,2009.0,0,1.9756647816393524e-05,0,0.004179490264505148,0,0.0032904562540352345
,,,E-mail as a Source and Symbol of Stress,"The increasing volume of e-mail and other technologically enabled communications are widely regarded as a growing source of stress in people's lives. Yet research also suggests that new media afford people additional flexibility and control by enabling them to communicate from anywhere at any time. Using a combination of quantitative and qualitative data, this paper builds theory that unravels this apparent contradiction. As the literature would predict, we found that the more time people spent handling e-mail, the greater was their sense of being overloaded, and the more e-mail they processed, the greater their perceived ability to cope. Contrary to assumptions of prior studies, we found no evidence that time spent working mediates e-mail-related overload. Instead, e-mail's material properties entwined with social norms and interpretations in a way that led informants to single out e-mail as a cultural symbol of the overload they experience in their lives. Moreover, by serving as a symbol, e-mail distracted people from recognizing other sources of overload in their work lives. Our study deepens our understanding of the impact of communication technologies on people's lives and helps untangle those technologies' seemingly contradictory influences.",external-fulltext-any,Organization Science,10.2307_20868902,Management & Organizational Behavior,,0,0.010079077444970608,0,0.0003309613966848701,0,0.0009058344294317067
,,,Competency Management: Balancing Between Commitment and Control,"This study investigated the relationships between commitment and control approaches and the use of competency management by adopting the theory of planned behavior. Questionnaires were filled out by 43 human resource experts working in different organizations. We expected components of the theory of planned behavior to mediate the relationship between commitment and control approaches and the use of competency management (behavior). Regression analysis showed that perceived behavioral control mediated the relation between commitment approach and behavior. Furthermore, the data revealed that attitude towards competency management was more positive and perceived behavioral control was higher when competency management was implemented with a commitment instead of a control approach. Subjective norm was strongly related to behavior. Based on the results, for competency management to be frequently used, we argue for increased behavioral control, and for an organizational climate in which competency management is widely accepted.",https://www.jstor.org/stable/41783523,Management Revue,10.2307_41783523,Management & Organizational Behavior,2006.0,0,3.1184627005131915e-05,0,0.010374627076089382,0,9.064425103133544e-05
