stance twd. demog_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,Class Analysis and the Heavy Weight of Convention,None,https://www.jstor.org/stable/4194935,Acta Sociologica,10.2307_4194935,Sociology,2002.0,1,0.9917868971824646,0,0.0003508720255922526,0,0.0013138758949935436
,,,Time-Use Studies: A Tool for Macro and Micro Economic and Social Analysis,None,https://www.jstor.org/stable/27522717,Social Indicators Research,10.2307_27522717,Sociology,1993.0,0,2.2549187633558176e-05,0,0.00025252572959288955,0,0.02173132263123989
,,,"Practices, Opportunity, and Protest Effectiveness: Illustrations from Four Animal Rights Campaigns","Despite its central role in the study of social movements, research on political and cultural opportunity is problematic. The vague definition and broad applicability of the concept of opportunity make it difficult to identify all the opportunities that exist in a given protest situation. Furthermore, most analyses take place at the broad levels of culture and the state, which can obscure additional localized factors that create opportunity for protest to occur and succeed. A practice-oriented approach to studying political and cultural opportunity addresses some of these problems. Using data from a study of the outcomes of four animal rights campaigns, I examine opportunity across the campaigns by focusing on the practices targeted for change and the reasons why people engage in them. Viewing opportunity in this way highlights both structural and cultural elements of opportunity structures in national as well as local contexts.",https://www.jstor.org/stable/3097251,Social Problems,10.2307_3097251,Sociology,1999.0,1,0.9915006160736084,0,0.0007404194911941886,0,0.00017896480858325958
,,,The Impact of Prestige Orientation on Shadow Education in South Korea,"Widespread use of ""shadow education,"" is a major policy issue in East Asia, especially South Korea, where officials view it as harmful to educational and fiscal equity. Although previous research emphasizes functional explanations, this study takes an institutional approach, exploring how students' desire for prestigious matriculation influences their parents' spending on shadow education. It is around that that ""prestige orientation"" (1) significantly predicts parent spending, especially among students of lower socioeconomic status, and (2) yields strong impact among students with the least likelihood of prestigious matriculation. Such findings indicate that Korean shadow education serves purposes that are as much symbolic as instrumental.",https://www.jstor.org/stable/23057041,Sociology of Education,10.2307_23057041,Sociology,2011.0,0,0.0001014546724036336,0,0.0001924464595504105,0,0.0017444478580728173
,,,Blurring the Difference: The Politics of Identity in Northern Ireland,"The dominant interpretation of the sources of the conflict in Northern Ireland stresses the different national allegiances of Protestants (unionists) and Catholics (nationalists). As developed by the British and Irish governments on the one hand and many scholars on the other, the interpretation maintains that the identification of Protestants with Britain and of Catholics with Ireland is the main cause fostering the deep divisions on Northern Ireland. Exponents of this perspective – which is being called here the 'dual identity' approach – go on to prescribe constitutions for Northern Ireland that would allow both communities to express their identities and traditions. It is argued in this essay that this interpretation of Northern Irish politics is insufficient in explaining why Protestants have rejected several internal solutions that were meant to secure the union between Britain and Northern Ireland, which is their stated demand. The paper then suggests an alternative hypothesis: that Protestants also identify themselves as loyalists, that loyalism as an identity presumes and reinforces its opposite of disloyalism, and thus that in affirming their traditions, Protestants also accentuate the conflict with Catholics. The source of the conflict is not, then, just separate and distinct national identities, but the interaction of communal identities that presume and deny each other.",https://www.jstor.org/stable/44461166,South African Sociological Review,10.2307_44461166,Sociology,1990.0,0,0.046814605593681335,1,0.9991356730461121,0,0.018214311450719833
,,,"The Provision of Public Goods under Islamic Law: Origins, Impact, and Limitations of the Waqf System","The Islamic waqf appears to have emerged as a credible commitment device to give property owners economic security in return for social services. Throughout the Middle East, it long served as a major instrument for delivering public goods in a decentralized manner. In principle, the manager of a waqf had to obey the stipulations of its founder to the letter. In practice, the founder's directives were often circumvented. An unintended consequence was an erosion of the waqf system's legitimacy. In any case, legally questionable adaptations proved no substitute for the legitimate options available to corporations. As it became increasingly clear that the waqf system lacked the flexibility necessary for efficient resource utilization, governments found it ever easier to confiscate their resources. In the 19th century, the founding of European-inspired municipalities marked a formal repudiation of the waqf system in favor of government-coordinated systems for delivering public goods.",https://www.jstor.org/stable/3185418,Law & Society Review,10.2307_3185418,Sociology,2001.0,0,0.15770237147808075,0,0.00042009836761280894,0,3.261661549913697e-05
,,,"Social Change, Premarital Nonfamily Experience, and Spouse Choice in an Arranged Marriage Society","This article examines the influences of nonfamily experiences on participation in the selection of a first spouse in an arranged marriage society. The authors developed a theoretical framework to explain how a broad array of nonfamily experiences may translate into greater participation in the choice of a spouse. Analyses show that premarital nonfamily experiences, in general, and media exposure and participation in youth clubs, in particular, have strong positive effects on individual participation in the choice of a spouse. These findings suggest new ways of thinking about the relationship between social change and the transition away from arranged marriage. Overall, changes in these nonfamily experiences can account for a substantial fraction of the historical increase of youth involvement in mate selection.",https://www.jstor.org/stable/10.1086/498468,American Journal of Sociology,10.1086_498468,Sociology,2006.0,0,9.236711775884032e-05,0,0.00014847403508611023,0,0.08834465593099594
,,,"Globalizing Participation: ""Exporting"" the Participatory Budgeting Model from Brazil to the Dominican Republic",The Participatory Budgeting (PB) model implemented in the Dominican Republic is an interesting test case to explore ways in which globalization has a potential to expand rather than reduce spaces for citizen participation at the local level. The paper explains the implementation of PB in the country based on diffusion channels facilitated by globalization. The article examines the nature of those channels as well as the two distinct PB models associated with them.,https://www.jstor.org/stable/41035622,Berkeley Journal of Sociology,10.2307_41035622,Sociology,2007.0,0,0.00013120059156790376,0,0.00025843727053143084,0,0.00013607485743705183
,,,"Open Source Software Production, Spontaneous Input, and Organizational Learning","This work shows that the modular organization of voluntary open source software (OSS) production, whereby programmers supply effort of their accord, capitalizes more on division than on specialization of labor. This is so because voluntary OSS production is characterized by an organizational learning process that dominates the individual one. Organizational learning reveals production choices that would otherwise remain unknown, thereby increasing productivity and indirectly reinforcing incentives to undertake collective problem solving.",external-fulltext-any,American Journal of Economics and Sociology,10.2307_41329169,Sociology,,0,3.5360935726203024e-05,0,0.00038683987804688513,0,0.017134947702288628
,,,"Dependence Power, Legitimacy, and Tactical Choice","This study examines the impact of dependence power and legitimate authority on evaluations of various tactics in a two-party conflict. In a role-play vignette study we asked 320 college students to take the position of a subordinate in a conflict with a manager, and to evaluate their own likelihood of adopting six options suggested by Bacharach and Lawler's analysis of dependence and tactial choice and by Zelditch and Walker's legitimacy approach to stability: threat to leave, coalition with other subordinates, appealing to a higher authority, appealing to a higher authority in a coalition, persuasion, and conflict avoidance. The factorial design manipulated subordinates' and superordinates' alternatives, as well as endorsement and authorization of the superordinate. Results generally support our predictions on the relationships between dependence and legitimacy dimensions on the one hand, and specific tactical evaluations on the other. They show that threat to leave is relted directly to self and other alternatives, while evaluations of coalition formation, appeal to a higher authority, and a combination of these two tactics are related directly to the legitimacy dimensions. Evaluations of conflict avoidance are related directly to both dependence and legitimacy: persuasion is viewed as a more likely option regardless of variation in the depedence and legitimacy dimensions.",https://www.jstor.org/stable/2787047,Social Psychology Quarterly,10.2307_2787047,Sociology,1996.0,0,0.1616583913564682,0,0.00012483465252444148,0,0.00019803119357675314
,,,UNEQUAL SOVIET CHILDHOODS AND POST-SOVIET HEALTH INEQUALITIES,"This paper analyzes contributions of the Soviet system to Post-Soviet health inequalities. Utilizing survey and interview data collected in St. Petersburg, Russia, 1992 - 2008, and focusing on the post-War generation, we analyze SES differences in early life experiences of Soviet citizens. Our results indicate the extent to which material and psychological foundations of health, health beliefs, illness experiences, and quality of medical care correlated with SES. Higher status individuals had far healthier childhoods and brought significantly more social, cultural, and health capital into the Post-Soviet transition. Under the new conditions health inequalities are greater but they follow similar patterns.",https://www.jstor.org/stable/41421386,International Review of Modern Sociology,10.2307_41421386,Sociology,2010.0,0,1.7539954569656402e-05,0,0.00035220765857957304,1,0.965048611164093
,,,Scale and Context: Approaches to the Study of Canadian Migration Patterns in the Nineteenth Century,None,https://www.jstor.org/stable/1171450,Social Science History,10.2307_1171450,Sociology,1988.0,0,0.0001453339064028114,0,0.00015573683776892722,1,0.9385727047920227
,,,RESPONSE BIAS IN CHILDREN'S REPORTS OF PARENTAL STATUS CHARACTERISTICS,"Children's awareness of parental status characteristics and their ability to accurately report these characteristics was investigated. On the whole, the validities of the children's reports of father's occupation, father's education, and mother's education were moderately high. Children with socially advantaged backgrounds were more likely to not only be more aware of status variables, but to more accurately report them as well.",https://www.jstor.org/stable/20830908,Sociological Focus,10.2307_20830908,Sociology,1974.0,0,1.6311196304741316e-05,0,0.0001886131940409541,1,0.9991766810417175
,,,The Incorporation of Women into Higher Education: Paradoxical Outcomes?,"Unlike the extensive cross-national research on occupational sex segregation, sex segregation within higher education has yet to be empirically examined comparatively. This article reports analyses for a wide range of countries from 1965 through 1990, using two measures of gender differentiation by field of study. The results indicate that gender differentiation has declined surprisingly little. Women are more likely to graduate from education, arts, humanities, social sciences, and law, and men are more likely to graduate from natural sciences, mathematics, and engineering. Few differences are found between more-and less economically developed countries. These findings echo those in the occupational sex segregation literature.",https://www.jstor.org/stable/2673196,Sociology of Education,10.2307_2673196,Sociology,2000.0,0,2.3354141376330517e-05,0,0.0002141636359738186,1,0.9986225366592407
,,,Interracial Perceptions Among High School Students,"This paper presents data concernings: a) dimensions underlying interracial perceptions; b) ways in which students see other-race schoolmates with respect to these perceptual dimensions; and c) the accuracy of the interracial perceptions. Data were obtained from almost 2,000 black students and over 2,000 white students in eleven high schools of Indianapolis. Whites tended to see blacks in terms of a general negative and a general positive dimension but blacks distinguished more between different positive and negative aspects of whites. Those perceived differences between the races which were based on observable traits appeared to be somewhat accurate, but those based on judgments of motives were not.",https://www.jstor.org/stable/3033499,Sociometry,10.2307_3033499,Sociology,1976.0,0,2.447868428134825e-05,0,0.00040425482438877225,1,0.9923833012580872
,,,RACIAL DIFFERENCES IN SOCIAL AND POLITICAL PARTICIPATION: IT'S NOT SIMPLY A MATTER OF BLACK AND WHITE,None,https://www.jstor.org/stable/42859520,Social Science Quarterly,10.2307_42859520,Sociology,1975.0,0,5.575907835009275e-06,1,0.9999364614486694,1,0.9995083808898926
,,,Structural Pluralism and Life Expectancy in Less-Developed Countries: The Role of Women's Status,"This study replicates a previous finding for the U.S. counties that showed a strong association, net of controls between ""structural pluralism"" and lower mortality. ""Structural pluralism"" refers to a community's capacity for political competition, and is a core element of ""democracy."" Pluralism has this effect because it facilitates the acquisition of appropriate medical facilities and because it tends to optimize the biological functioning of the residents. Working from a major component of pluralism, minority participation, this hypothesis is tested by showing that women's status in less developed countries improves life expectancy net of controls. A path analysis demonstrates that the structural dimensions work through health organization as an intervening variable, and the future testing of biological optimization is outlined. Location in Africa south of the Sahara is a partially unexplained control variable that has a powerful negative impact. Interpreting women's status as a component of pluralism explains why it predicts increased life expectancy for all citizens, not just women. It is a global dimension that affects all the members of a community.",https://www.jstor.org/stable/27526953,Social Indicators Research,10.2307_27526953,Sociology,2001.0,1,0.5359048247337341,1,0.8815276026725769,1,0.9992590546607971
,,,Ethnic Heterogeneity and the Enforcement of Environmental Regulation,"We examine the relationship between the administrative enforcement of environmental regulation, ethnic heterogeneity, and other community characteristics in New Jersey and New York. We find that the percentage of non-white population in a community is positively related with administrative penalties imposed on violators. However, penalties are lower in more ethnically diverse communities. This result may be due to the fact that these communities are less likely to coordinate to create solidarity across ethnic groups and demand stronger enforcement.",https://www.jstor.org/stable/29770388,Review of Social Economy,10.2307_29770388,Sociology,2006.0,0,2.0846709958277643e-05,0,0.00018205458763986826,1,0.9998140931129456
,,,Child Support in Black and White: Racial Differentials in the Award and Receipt of Child Support during the 1980s,"Objective. Black mothers living with own children whose fathers reside elsewhere are far less likely than white mothers to have a child support award and to receive payments due them. The purpose of this paper is to explain these large racial differentials in child support. Methods. This research analyzes data from the first four child support supplements to the Current Population Survey, 1979-86, to assess to what extent racial differentials in awards and receipts can be explained by racial differences in parental characteristics. Results. Racial differentials in award rates can be fully explained by the higher incidence of out-of-wedlock births among black mothers and the lower incomes of black men. By contrast, racial differentials in receipt rates and amounts are not fully explained by these and other socioeconomic factors. Conclusions. Unexplained differentials in child support receipts result from behavioral differences by race and perhaps from unequal treatment by or access to the child support system. Increased resources by state child support enforcement offices directed towards black mothers may well be warranted.",https://www.jstor.org/stable/42863500,Social Science Quarterly,10.2307_42863500,Sociology,1996.0,0,1.036464800563408e-05,0,0.026607085019350052,1,0.9981114864349365
,,,Why the Poor Play the Lottery: Sociological Approaches to Explaining Class-based Lottery Play,"Why do the poor spend more on lottery tickets than their wealthier and better educated peers? While social scientists generally agree that there is an inverse relationship between socio-economic position and patterns of lottery play, there is debate on what factors cause lottery gambling. Using survey data from a nationwide probability sample, we test three sociological approaches – socio-structural, cultural and social network accounts – to explain why the poor play the lottery. While controlling for cognitive bias theory, we find that peer play, educational attainment and self-perceived social deprivation have strong effects on lottery play. Culture, the study finds, plays a much lesser role. Although lottery players demonstrate fatalistic value orientations, it is not a lack of a 'Protestant' work ethic that makes the poor spend proportionally more on lottery tickets. The findings of this study generally point to the importance of social structures in explaining lottery gambling.",https://www.jstor.org/stable/24433691,Sociology,10.2307_24433691,Sociology,2013.0,0,0.0008290309342555702,1,0.9790961742401123,1,0.8276422023773193
,,,A Profile of Familial Relations among Three-Generation Black Families,"This profile of demographic structure and family relationships among a national sample of three-generation black American families revealed important variation across generations in several key demographic (e.g., age, gender, marital status, socioeconomic status, and region) and family (e.g., affection and support) factors. The findings are discussed in relation to current demographic trends affecting the generational age structure of American families and the implications of these changes for practice with multigeneration families.",https://www.jstor.org/stable/585563,Family Relations,10.2307_585563,Sociology,1993.0,0,2.2855441784486175e-05,0,0.0015411099884659052,1,0.9977253079414368
,,,Gender remix: On gender constructions among children of immigrants in Norway,"Values and practices regarding sex and gender are among the most fundamental constituents of a society's symbolic system, as well as of an individual's self. Gendered ways of behavior are symbolic markers of ethnicity, both in a process of labeling from the outside and in the construction of a subjective identity. Based on interviews with children of immigrants from patriarchal societies living in Norway — one of the countries in the world where gender equality has reached furthest — the article reveals the tension they experience between the ways gender issues are dealt with in their families and in the surrounding society. Their gender constructions can not be understood solely in the light of cultural influence, as if on a scale running from conformity to parents' culture to conformity to Norwegian culture. There is something really new in the making — new combinations and new creations — reflecting the particular social situation of the young people of immigrant origin. Feelings of obligations and debt toward the parents are strong, as well as the adherence to traditional family values. Still, there is clearly a tendency that ideas about individual rights, such as women's and children's rights to decide over their lives, are gaining influence.",https://www.jstor.org/stable/23889941,Ethnicities,10.2307_23889941,Sociology,2002.0,1,0.9769807457923889,0,0.00022892166452948004,1,0.9876074194908142
,,,PREMARITAL SEX: ATTITUDES AND BEHAVIOR BY DATING STAGE,"Using data gathered from a sixty-three item dating and mate-selection questionnaire completed by two hundred and eighty student and nonstudent respondents, this study investigates the differences between what people believe is proper premarital sexual behavior, what they do and what they think others are doing at five stages of dating. We find that individuals are most restrictive in what they believe is proper conduct, more permissive in their reported behavior and most permissive in their perception of what others are doing. During the early stages of dating, males and females differ widely in their outlook as to what is proper behavior and also in their reported behavior. Other studies which failed to take dating stage into consideration may have missed important gender differences in the early period of dating. With love and commitment the attitudes and reported behavior of females becomes as permissive as those of males. This is true for light petting, heavy petting and intercourse. Only with regard to oral sex do we still find significant differences between males and females even in the latter stages of dating. In addition to gender, this study examines the influence of the following factors on premarital sexual attitudes and behavior: age, father's education, mother's education, college status, residence, religion, nationality, attendance at religious services and religiosity. Only the last two variables are found to be statistically significant. Frequent attendance at religious services and holding religious beliefs to be important were associated with more conservative sexual attitudes and behavior. In sum, we find that in our analysis of social factors only religious and gender-role socialization affect premarital sexual attitudes and behavior. The latter'a influence varies significantly by dating stage. Lastly, we find that a majority of our respondents (71 percent of the males and 66 percent of the females) verbally support cohabitation, and a substantial minority (24 percent of the male and 18 percent of the females) have lived with someone of the opposite sex. The results of this study suggest that the liberalization of premarital sexual attitudes and behavior documented by numerous studies in the 1960s and 1970s shows no sign of abatement in the 1980s.",https://www.jstor.org/stable/41430916,International Journal of Sociology of the Family,10.2307_41430916,Sociology,1984.0,0,0.0016679076943546534,0,0.00018615988665260375,1,0.9568935036659241
,,,"A Test of the ""Deviant Deviance"" Hypothesis",None,https://www.jstor.org/stable/2136645,Journal of Health and Social Behavior,10.2307_2136645,Sociology,1983.0,1,0.8803989291191101,1,0.7710105776786804,1,0.9997031092643738
,,,WOMEN'S SOCIAL CLASS IDENTIFICATION: DOES HUSBAND'S OCCUPATION MAKE A DIFFERENCE?,"Research into social stratification has tended to concentrate on working-class men; there has been little on the middle classes, and even less on women. This paper looks at the class position and class images of 342 working married women in social grade Cl, drawn from a national survey of class images conducted between 1981 and 1984, to assess the extent to which these women's class identification is determined by the occupation of their husbands and the way in which the middle and working classes are perceived by women in same-class and cross-class marriages. It is concluded that a woman's class identification is determined at least in part by her own characteristics rather than her husband's, with education being a particularly important variable.",https://www.jstor.org/stable/42854386,Sociology,10.2307_42854386,Sociology,1987.0,0,0.008042175322771072,0,0.4963168501853943,1,0.999395489692688
,,,Meat as a Bad Habit: A Case for Positive Feedback in Consumption Preferences Leading to Lock-in,"The concepts of path dependence and lock-in have received growing acceptance but have generally been thought of as driven by positive feedback on the supply side of the economy. A case through example is made here of how endogenous preferences positive feedback in utility from consumption, social considerations, and institutional considerations can all lead to path dependence and the persistence of suboptimal consumption choices. The case here specifically relates to meat consumption and utilizes behavioral, institutional, as well as neoclassical approaches to justify the conclusion. It is argued that increased meat consumption, which at one time may have had positive value, has developed increasingly negative consequences both at the individual and social level. Negative impacts include health consequences, low production efficiency, and environmental damage, among others. Nevertheless, preferences for meat are maintained by multiple factors including historical dependence of tastes, socially established meanings of consumption choices, and institutional inertia.",https://www.jstor.org/stable/29770418,Review of Social Economy,10.2307_29770418,Sociology,2007.0,0,0.364230215549469,0,0.004481086507439613,0,0.0024427350144833326
,,,Nurture and Work in the Middle Class: Imagery from Women's Magazines,None,https://www.jstor.org/stable/20007062,"International Journal of Politics, Culture, and Society",10.2307_20007062,Sociology,1992.0,0,0.024639880284667015,0,0.48922011256217957,0,0.19140921533107758
,,,hiking the west bank,None,https://www.jstor.org/stable/24710339,Contexts,10.2307_24710339,Sociology,2015.0,0,0.006883535534143448,0,0.00017719889001455158,0,0.09370092302560806
,,,"Silence, Death, and the Invisible Enemy: AIDS Activism and Social Movement ""Newness""","Examining the dynamics and activities of the AIDS activist movement--here, through an analysis based on a participant-observation study of the AIDS Coalition to Unleash Power (ACT UP) in San Francisco--provides an opportunity to clarify issues on which social movements literature tends to be hazy. ACT UP mixes strategic action and material targets with expressive action and cultural targets; their cultural activity takes the form of boundary-crossing and the contesting of images. They often have difficulty distinguishing their targets, and are caught both denying and affirming that AIDS is a gay disease. I argue that these actions and dilemmas are best understood in the context of changed forms of domination, more and more an invisible and disembodied process of ""normalization,"" with the state gradually less directly involved. This argument not only explains the particulars of ACT UP's activism, but also poses challenges to theorizing on contemporary (""new"") social movements.",https://www.jstor.org/stable/800820,Social Problems,10.2307_800820,Sociology,1989.0,1,0.9987855553627014,0,0.00026336961309425533,0,0.0014532966306433082
