,stance twd. demog persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
10,,,,"GLOBALIZATION, ENVIRONMENTAL MOVEMENTS, AND INTERNATIONAL POLITICAL OPPORTUNITY STRUCTURES","Political opportunity structure refers to the specific features of a political system (e.g., a country) that can explain the different action repertoires, organizational forms and impacts of social movements, and social movement organizations in that specific country. With the globalization of environmental problems and solution strategies, important parts of the environmental movement have also become global. To what extent could the concept of international political opportunity structure (IPOS) be useful for analyzing transnational environmentalism in the 21st century? In this article, four of the most important constituent parts of IPOS (United Nations [UN], European Union [EU], World Bank, and World Trade Organization [WTO]) and their interactions with environmental movements and environmental movement organizations are analyzed. Whereas the UN and EU provoke the participation of a large number of transnational environmental lobby groups whose impacts, however, remain limited, the World Bank and WTO provoke more unconventional actions with potentially farther reaching impacts.",https://www.jstor.org/stable/26162370,Organization & Environment,10.2307_26162370,Management & Organizational Behavior,2006.0,0,3.364565782248974e-05,0,0.00039690101402811706,0,9.546123328618705e-05
11,,,,The Role of Media Critics in the Cultural Industries,"This paper explores the role of critics in the cultural industries through a multidisciplinary literature review. By synthesizing works in the fields of management, economics, sociology and information sciences, the author raises three issues. He begins with a short discussion of the nature of media criticism and its relationship to the cultural industries. He then tackles the question of how critical discourse is constructed: how do critics evaluate cultural products, knowing that both the economic fate of the work and the critic's professional legitimacy depend on the evaluation? Lastly, he considers the multiple roles played by critics. The author explores how this form of independent expertise plays a part in modelling the values and behaviours of different actors in the cultural field. He concludes the literature review by proposing several avenues for future research. L'article explore le rôle des critiques dans les industries culturelles par une analyse documentaire multidisciplinaire. En faisant la synthèse de travaux dans les domaines du management, de l'économie, de la sociologie et des sciences de l'information, l'auteur aborde trois sujets. Il commence par discuter brièvement de la nature de la critique dans les médias et de sa relation avec les industries culturelles. Il examine ensuite la manière dont le discours critique est construit : comment les critiques évaluent-ils les produits culturels, sachant qu'à la fois le sort économique de l'œuvre et leur légitimité professionnelle dépendent de l'évaluation? Enfin, il considère les multiples rôles joués par les critiques. L'auteur cherche à déterminer comment cette forme de savoir-faire indépendant joue un rôle dans le modelage des valeurs et des comportements de différents acteurs dans le domaine culturel. Il termine son analyse documentaire en proposant plusieurs voies pour la recherche future. Este artículo estudia el papel de la critica en las industrias culturales a través de un análisis de la literatura de diversas disciplinas. A partir de la síntesis de trabajos en los campos de la gestión, la economía, la sociología y las ciencias de la información, el autor plantea tres cuestiones. Comienza tratando brevemente la naturaleza de la crítica de medios y su relación con las industrias culturales. A continuación se aboca a la cuestión de la construcción del discurso crítico: ¿cómo evalúan los críticos el producto cultural, sabiendo que de esa evaluación depende tanto el destino económico del producto como la legitimidad profesional del mismo crítico? Para finalizar, el autor considera los diversos papeles que desempeñan los críticos. El autor del trabajo observa también de qué forma la participación de este conocimiento experto y externo contribuye a formar los valores y comportamientos de los distintos actores en el ámbito cultural. Su análisis de la literatura concluye con una propuesta de diferentes caminos para las investigaciones futuras.",https://www.jstor.org/stable/41064885,International Journal of Arts Management,10.2307_41064885,Management & Organizational Behavior,2006.0,0,0.00899699330329895,0,0.0006695345509797335,0,0.0001981556706596166
12,,,,The Subsidized Contemporary Dance Market in France: Creation at All Costs,"The policy implemented by the French ministry of culture and by local authorities since the 1970s has enabled contemporary dance to form an artistic sector distinct from that of classical dance. A mixed economic system has been set up, with contemporary dance companies depending not only on subsidies but also on funding from theatres and festivals, which either purchase or coproduce performances. In spite of substantial increases in scheduling and attendance figures, the market for contemporary dance is characterized by a structural imbalance between the supply of productions and performances in the distribution network. Based on an empirical study of the dance world, the author shows how the strategies of various actors – dance companies, distributors, government bodies – converge to favour new productions over repeat performances of existing productions. This emphasis on innovation has led to persistent distribution problems. A marketing approach could bring a new vision to the dance world and a new relationship between artists and the public. À partir des années 1970, la politique menée par le ministère de la Culture et les collectivités locales permet à la danse contemporaine française de former un monde artistique distinct de celui de l'académisme. Un système d'économie mixte s'installe car les compagnies dépendent non seulement des subventions mais aussi des ressources apportées par les théâtres ou les festivals, qui achètent et parfois coproduisent les spectacles. Malgré un fort développement de la programmation et du public, le marché subventionné de la danse contemporaine se caractérise par un déséquilibre structurel entre l'offre de spectacles et les débouchés offerts par les réseaux de diffusion. Cet article, fondé sur une enquête empirique au sein du milieu chorégraphique, montre comment les stratégies des différents acteurs – compagnies chorégraphiques, diffuseurs, tutelles publiques – convergent pour privilégier les activités de création par rapport à l'exploitation prolongée des spectacles existants. Mais cette valorisation systématique de l'innovation provoque des difficultés chroniques de diffusion. Le marketing culturel pourrait apporter des solutions, à travers un changement de perspective et une meilleure compréhension de la demande finale. La política del ministerio de la Cultura y de las Colectividades Locales, impulsada a partir de los años setenta, permite a la danza contemporánea crearse un mundo artístico propio, distinto del mundo del academicismo. Se establece un sistema de economía mixta en el cual las compañías de danza dependen menos de subsidios, ya que acceden a otro tipo de recursos generados por los teatros y festivales, los cuales compran o coproducen espectáculos. Sin embargo, a pesar de un gran auge en materia de programación y público, el mercado subsidiado de la danza contemporánea se caracteriza por un desequilibrio estructural entre la oferta de espectáculos y las oportunidades brindadas por las redes de difusión. En este artículo basado en una encuesta empírica dentro del medio coreográfico, se muestra que las estrategias de los diversos actores – compañías coreográficas, difusores, tutelas públicas – coinciden en privilegiar más las actividades de creación que la explotación de espectáculos por tiempos prolongados. La importancia sistemática atribuida a la innovación crea dificultades crónicas de difusión. Mediante un cambio de óptica y una mejor comprensión de la demanda final, la mercadotecnia cultural podría brindar algunas soluciones.",https://www.jstor.org/stable/24587060,International Journal of Arts Management,10.2307_24587060,Management & Organizational Behavior,2013.0,0,0.0160201545804739,0,0.00036847314913757145,0,0.0001390283869113773
13,,,,Spiritual Cleansing: A Case Study on how Spirituality Can Be Mis/used by a Company,"Organisational spirituality has gained popularity. While some authors see a spiritually fulfilling workplace as a benefit for employees and organisations alike, critical authors point out the potentially totalising effects of organisations that try to colonise employees' minds, hearts and souls. Whereas most existing critical studies are based on literature analyses and mainly refer to societal developments and how organisations are affected by them, the paper at hand provides a single case study on the organisational level. The case study allows a more detailed examination of how organisations can employ spirituality to serve organisational goals. The article identifies three aspects in which workplace spirituality can be misused: to mislead members about the nature of their work, about what an organisation can offer to its members and about the societal value of an organisation.",https://www.jstor.org/stable/41783637,Management Revue,10.2307_41783637,Management & Organizational Behavior,2010.0,0,0.042172014713287354,0,0.02417050115764141,0,0.00026634352980181575
14,,,,A study of management practices and competencies within effective organisations in the Irish tourism industry,"This paper is concerned with the identification of effective organisations in the hotel industry in the Republic of Ireland. Simultaneously, it seeks to examine the nature of management and the competencies of general managers in such hotels. A total of 144 critical incidents were gathered from 48 general managers of effective hotels. It was shown how managers utilised 67 dominant competencies in the execution of such incidents. The study reveals a great range and diversity of management activity and practices in respondent organisations and proposes an integrated model for the analysis of management practices, competencies and organisational performance. The paper concludes that management within the industry is dominated by a concern with operational activities and issues.",https://www.jstor.org/stable/42919210,International Journal of Tourism and Hospitality Research,10.2307_42919210,Management & Organizational Behavior,1999.0,0,0.00017509875760879368,1,0.9739546179771423,0,0.0003619211202021688
15,,,,The Role of Instrumental and Expressive Social Ties in Employees' Perceptions of Organizational Justice,"We argue that employees' organizational justice perceptions are, in part, influenced by whom they associate with in the workplace. Consequently, we examine the link between different types of social ties and the interpersonal similarity of employees' perceptions of interactional, procedural, and distributive justice through a social network study in a division of a Fortune 500 firm. We predicted and found that social ties influence perceptions of justice to different extents, depending on the type of justice assessed. Expressive ties were associated with greater similarity in coworkers' perceptions than instrumental ties in the most affect-inducing justice perceptions, perceptions of interactional justice. Our findings suggest that the opinions held by an individual's coworkers influence others' justice perceptions, especially when justice is ambiguous and affect inducing, and that different justice perceptions may be transmitted via different types of social ties.",https://www.jstor.org/stable/4135131,Organization Science,10.2307_4135131,Management & Organizational Behavior,2003.0,0,0.000153852000948973,0,0.0004611592448782176,0,0.00037861266173422337
16,,,,Costs of Environmental Errors (CEE): A Managerial Environmental Accounting Tool or a Symptom of Managerial Frustration?,"This paper has two aims: (1) to evaluate the usability of CEE as a managerial environmental accounting tool; and (2) to explain theoretically why ‘new’ environmental management tools, such as CEE, are continuously being developed. The CEE concept was evaluated in a multiple case study within the construction industry. Environmentally related errors and causes and costs connected with the environmental error were identified and measured. The study identified 243 errors and 78 different kinds of causes.",https://www.jstor.org/stable/greemanainte.31.87,Greener Management International,10.2307_greemanainte.31.87,Management & Organizational Behavior,2000.0,0,3.2681629818398505e-05,0,0.3362002670764923,0,0.00022017328592482954
17,,,,Issues in Emergency Planning for Nuclear Accidents: The Three Mile Island Context,"An extensive set of emergency plans for the area neighboring the nuclear power station at Three Mile Island (TMI) serves as a backdrop for an analysis of the issues attendant on emergency planning for nuclear accidents. A comprehensive review of federal, state, local, and utility plans, reports on drills and exercises, and the experiences of other states combines with field interviews and a survey of resources to describe the context for the TMI area. The paper proceeds to analyze the potential for further improvements in existing plans to effect a reduction in hazards posed to communities neighboring the TMI facility in particular and nuclear power in general. The overall analysis builds upon an earlier analysis of the problems attendant on the existing emergency-response system. The authors propose remedies for the hazards identified in six distinct but interdependent issues: (1) mainstreaming, (2) readiness and performance, (3) resources, (4) groupthink, (5) triage, and (6) flexible planning.",https://www.jstor.org/stable/26162747,Industrial Crisis Quarterly,10.2307_26162747,Management & Organizational Behavior,1988.0,0,0.00012188716937089339,1,0.999961256980896,0,0.0003867257328238338
18,,,,Opportunity Identification and Its Role in the Entrepreneurial Classroom: A Pedagogical Approach and Empirical Test,"Opportunity identification is emerging as an important content area in entrepreneurship education. We propose that opportunity identification is a competency that can be developed as are other unique competencies and that the entrepreneurship classroom is an appropriate venue for developing the skills necessary to improve the ability to identify opportunities. Using a variation of a Solomon Four Group Designed experiment our results show that individuals can learn processes of opportunity identification and improve both the number of ideas generated and the innovativeness of those ideas. In addition, the results indicate that a predisposition toward innovation does not significantly alter the ability to learn processes of opportunity identification.",https://www.jstor.org/stable/40214114,Academy of Management Learning & Education,10.2307_40214114,Management & Organizational Behavior,2004.0,0,1.7311043848167174e-05,0,0.00014511580229736865,0,0.004339084029197693
19,,,,Niche and Performance: The Moderating Role of Network Embeddedness,"What is the relationship between niche and performance? We identify two types of niche positions--product niche and process niche--defined by the extent to which a firm offers distinctive products and has distinctive operational processes, respectively. We argue that the effect of each niche on firm performance is contingent upon network embeddedness--the extent to which a firm is involved in a network of interconnected inter-firm relationships. Using data covering the period 1995-98 pertaining to venture capital firms and their holdings in initial public offerings (IPOs), we show that both product niche and process niche interact with network embeddedness to determine firm performance. Our findings suggest that the extent to which a firm offers distinctive products or processes will be more positively associated with firm performance when network embeddedness is high.",https://www.jstor.org/stable/20142219,Strategic Management Journal,10.2307_20142219,Management & Organizational Behavior,2005.0,0,8.115897799143568e-06,0,0.0002389361907262355,1,0.5472753643989563
20,,,,Disruption and stress in an Alaskan fishing community: initial and continuing impacts of the Exxon Valdez oil spill,"The study of technological disasters has been characterized by conceptual ambiguity and non-ecological considerations of community vulnerability. This research employs an ecological-symbolic theoretical approach that identifies natural resource communities as particularly vulnerable to disasters that contaminate biophysical resources. A longitudinal panel study, including a control community, provides data on disruption and stress experienced by residents of a small fishing community in Prince William Sound, Alaska. The analysis reveals a continuing pattern of stress and disruptions some 18 months following the spill. The report concludes with a discussion of the specific long-term patterns observed.",https://www.jstor.org/stable/26162884,Industrial Crisis Quarterly,10.2307_26162884,Management & Organizational Behavior,1992.0,0,1.9154436813551e-05,0,0.007582137361168861,0,0.03730081394314766
21,,,,Government Accountability: For What?,None,https://www.jstor.org/stable/3380137,Public Productivity Review,10.2307_3380137,Management & Organizational Behavior,1975.0,0,7.3332394094904885e-06,0,0.00021566338546108454,0,0.0014244818594306707
22,,,,Monitoring Employee E-mails: Is There Any Room for Privacy?,"This paper reviews the current knowledge about e-mail monitoring and draws conclusions for practice. The discussion entails justifications for employers' e-mail monitoring along with an analysis of supporting statutory and case law, Web-based private e-mails, and international implications of e-mail monitoring. The paper also provides evidence of work outcomes of e-mail monitoring regarding employee attitudes and behaviors such as organizational commitment, job satisfaction, and performance. The paper explores these considerations within the framework of existing research evidence and presents practical implications not only for e-mail monitoring, but also potentially for the broader issue of privacy in the workplace.",https://www.jstor.org/stable/27747541,Academy of Management Perspectives,10.2307_27747541,Management & Organizational Behavior,2009.0,0,5.4363143135560676e-05,0,0.0002178601425839588,0,0.0030414704233407974
23,,,,A Model to Evaluate Variables Impacting the Productivity of Software Maintenance Projects,"The cost of maintaining application software has been rapidly escalating, and is currently estimated to comprise from 50-80${\tt\%}$ of corporate information systems department budgets. In this research we develop an estimable production frontier model of software maintenance, using a new methodology that allows the simultaneous estimation of both the production frontier and the effects of several productivity factors. Our model allows deviations on both sides of the estimated frontier to reflect the impact of both production inefficiencies and random effects such as measurement errors. The model is then estimated using an empirical dataset of 65 software maintenance projects from a large commercial bank. The insights obtained from the estimation results are found to be quite consistent for reasonable variations in the specification of the model. Estimates of the marginal impacts of all of the included productivity factors are obtained to aid managers in improving productivity in software maintenance.",https://www.jstor.org/stable/2632489,Management Science,10.2307_2632489,Management & Organizational Behavior,1991.0,0,1.049797901941929e-05,0,0.0001699892309261486,0,0.00017220171866938472
24,,,,Just How Bad Are Our Theories? A Response to Ghoshal,None,https://www.jstor.org/stable/40214270,Academy of Management Learning & Education,10.2307_40214270,Management & Organizational Behavior,2005.0,0,0.00614406680688262,0,0.0004388921952340752,0,0.00037112581776455045
25,,,,A Transaction Cost Approach to Make-or-Buy Decisions,"This study focuses on make-or-buy decisions as a paradigmatic problem for analyzing transaction costs. Hypotheses developed from Williamson's efficient boundaries framework were tested in a multiple-indicator structural equation model. The influence of transaction costs on decisions to make or buy components was assessed indirectly through the effects of supplier market competition and two types of uncertainty, volume and technological. In addition to transaction costs, the decisions were hypothesized to be predicted by both buyer production experience and the comparative production costs between buyer and supplier. The hypotheses were tested on a sample of make-or-buy decisions made in a division of a U.S. automobile company. The results show that comparative production costs are the strongest predictor of make-or-buy decisions and that both volume uncertainty and supplier market competition have small but significant effects. The findings are explained in terms of the complexity of the components and the potential pattern of communication and influence among managers responsible for making the decisions.",https://www.jstor.org/stable/2393030,Administrative Science Quarterly,10.2307_2393030,Management & Organizational Behavior,1984.0,0,1.0003383977164049e-05,0,0.3946555554866791,0,2.3451670131180435e-05
26,,,,A Resource-Based Theory of the Firm: Knowledge versus Opportunism,"This paper develops a resource-based-knowledge-based-theory of the firm. Its thesis is that the organizational mode through which individuals cooperate affects the knowledge they apply to business activity. We focus on the polar cases of organization within a firm as compared to market contracting. There will be a difference in the knowledge that is brought to bear, and hence in joint productivity, under the two options. Thus, as compared to opportunism-based, transaction-cost theory, we advance a separate (yet complementary) answer to the question: why do firms exist? Our aim is to develop an empirically relevant and complementary theory of why firms are formed: a theory based on irreducible knowledge differences between individuals rather than the threat of purposeful cheating or withholding of information. We assume limited cognitive abilities on the part of individuals (bounded rationality), and assume that opportunistic behavior will not occur. The latter allows us to determine whether resource-based theory has independent force, as compared to the opportunism-based, transaction-cost approach. The paper predicts choice of organizational mode, identifying whether firm organization or market contracting will result in the more valuable knowledge being applied to business activity. The resource-based predictions of organizational mode are compared and contrasted with corresponding opportunism-based, transaction-cost ones. A principal point is that knowledge-based considerations can outweigh opportunism-related ones. The paper also establishes the relation of a theory of the firm to a theory of performance differences between competing firms.",https://www.jstor.org/stable/2635286,Organization Science,10.2307_2635286,Management & Organizational Behavior,1996.0,0,1.6730864444980398e-05,1,0.9997461438179016,0,9.791865886654705e-05
27,,,,Steady-State Approximation for a Vector Valued Markov Chain,"The problem addressed is that of a condensed steady-state solution for the Markov Chain $\{(X(t), S(t))\}$. The steady state marginal distribution of S(t)is known; we desire only the steady state marginal distribution of X(t). Such a case frequently arises when the supplementary random variable S(t) is required in the state description solely to satisfy the Markovian assumption. An iterative algorithm is presented which makes use of an approximation to the conditional distribution for S(t) given X(t).",https://www.jstor.org/stable/2632366,Management Science,10.2307_2632366,Management & Organizational Behavior,1990.0,0,8.580679605074693e-06,0,0.17118629813194275,0,0.001817328855395317
28,,,,A SOCIOLOGICAL ANALYSIS OF FRENCH PLANNING,None,https://www.jstor.org/stable/41103766,International Studies of Management & Organization,10.2307_41103766,Management & Organizational Behavior,1971.0,0,0.0017277857987210155,0,0.0003580609627533704,0,0.00026329708634875715
29,,,,Russell L. Ackoff,None,https://www.jstor.org/stable/40214099,Academy of Management Learning & Education,10.2307_40214099,Management & Organizational Behavior,2002.0,0,0.008727294392883778,0,0.0007052496075630188,0,0.00023876903287600726
30,,,,"Buddhism, Sustainability and Organizational Practices: Fertile Ground?","This paper provides a systematic review of literature relating to Buddhism, sustainability and organizational practices. How extant literature acknowledges Buddhism informing sustainability as an alternative to current business practices predominantly governed by an economic rationale is examined. Thirty journal articles and 20 books/book chapters are analyzed. Commonly discussed Buddhist principles in the literature include the Four Noble Truths, the Noble Eightfold Path, the Law of Karma, and Compassion. Through the analysis of Buddhist principles, a set of values are derived that enable the possibility of fostering sustainability in organizations. Core values emphasized are interconnectedness, moderation and empathy. Given the limited attention to date, this paper contributes to the extant literature through providing avenues for future research that could examine efforts to enact these core values in further exploring the connections between Buddhism, sustainability and organizational practices.",https://www.jstor.org/stable/jcorpciti.61.44,Journal of Corporate Citizenship,10.2307_jcorpciti.61.44,Management & Organizational Behavior,2016.0,0,0.06649266928434372,1,0.9998900890350342,0,6.428128108382225e-05
31,,,,'Estimating tomorrow's tourist arrivals': forecasting the demand for China's tourism using the general-to-specific approach,"Accurate forecast of inbound tourism demand is vital for the tourism industry as well as government economic policy and decision making. This article sought to identify the factors which influence the demand for China's tourism with the aid of econometric models and to generate forecasts of international tourist arrivals to China from five major long-haul source markets. Using the general-to-specific modelling approach, the demand for tourism in China by the residents of Australia, Canada, Germany, the United Kingdom and the United States of America is modelled and forecasted. The empirical results indicate that the 'word of mouth effect', income levels in the origin country, the costs of tourism in both China and competing destinations are the crucial factors that determine the demand for China's tourism by residents of the five origin countries. The forecasts show sluggish growth in tourist arrivals for most of the Western source markets. Findings hold implications for policy formulations.",https://www.jstor.org/stable/23745369,Tourism and Hospitality Research,10.2307_23745369,Management & Organizational Behavior,2011.0,0,2.2592925233766437e-05,1,0.6132095456123352,0,0.00018495041877031326
