,stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score,org_score,org_pred
10,,,,2003 SAS PRESIDENTIAL ADDRESS: SOCIOLOGICAL KNOW-HOW: BACK TO OUR APPLIED ROOTS,None,https://www.jstor.org/stable/43735888,Sociological Practice,10.2307_43735888,Sociology,2004.0,0,0.0001995111961150542,0,0.00036055975942872465,0,0.011768906377255917,0.9999992847442627,1
11,,,,Some Theoretical Principles of Societal Stratification,"We propose that sociological theory should comprise a series of elementary and abstract principles on the operation of distinctive and generic social processes. These processes intersect and interact in varying combinations to create diverse social forms, including stratification. Six elementary principles, stated as simple equations, are developed for the social processes implicated in societal stratification.",https://www.jstor.org/stable/223342,Sociological Theory,10.2307_223342,Sociology,1984.0,0,2.5931996788131073e-05,0,0.005958306137472391,1,0.9504104852676392,0.9999992847442627,1
12,,,,"Ethnicity, Gender, and Social Mobility in 1910",None,https://www.jstor.org/stable/1171618,Social Science History,10.2307_1171618,Sociology,1997.0,0,1.4249596461013425e-05,1,0.9999042749404907,1,0.9999480247497559,0.9999722242355347,1
13,,,,A Simple Model of Guilt with an Application to Unstaffed Roadside Stands,"This paper introduces an analyses of the notion of guilt, the ""bad feeling"" we get when we harm someone. It is suggested that attempts to avoid the experience of guilt help to explain a variety of economic behaviors, such as those surrounding moral hazard in the workplace, voting, or criminal activities. A formal model of guilt is provided and used to explain the existence and other characteristics of unstaffed roadside stands.",https://www.jstor.org/stable/29769804,Review of Social Economy,10.2307_29769804,Sociology,1995.0,0,7.252163049997762e-05,0,0.0003214151074644178,0,0.0004330585361458361,0.9997503161430359,1
14,,,,Sex Differences in Reporting Osteoarthritic Symptons: A Sociomedical Approach,"Sex differences in reports of chronic joint symptoms are examined for 6,913 persons aged 25-74 in the detailed component of the U.S. Health and Nutrition Examination Survey (1971-75). Support is not found for the hypotheses that women are more willing to report chronic joint symptoms or that men are more likely to underreport symptoms. Symptom reporting for both men and women is significantly related to radiographic evidence of osteoarthrosis and two measures of treatment behavior. Men with osteoarthrosis, however, are more likely to report pain than osteoarthritic women, independent of severity of disease and treatment behavior. The sex differentials in symptom reporting for persons with normal x-rays (96% of the sample) are not significant. In general, men and women are found to be more alike than different in reporting chronic joint symptoms. The data indicate that treatment behavior and disease are important intervening factors to consider in a model examining sex differentials in symptom reporting.",https://www.jstor.org/stable/2136523,Journal of Health and Social Behavior,10.2307_2136523,Sociology,1981.0,0,1.0576602107903454e-05,0,0.0002459562092553824,1,0.9708129167556763,0.9999982118606567,1
15,,,,Age Identity in Context: Stress and the Subjective Side of Aging,"The passage of time is fundamentally experienced through people's interaction with their social worlds. Life-course scholars acknowledge the multiple aspects of time-based experience but have given little attention to age identity in a dynamic context. Drawing from a stress-process model, we expected that turbulence within people's family relations and health declines would produce increases in subjective age. Family role transitions were also examined as potential factors that would hasten subjective aging, but only to the extent that they produced stress. We used the Midlife Development in the United States study, a nationally representative longitudinal survey. Regression results show that turbulence within one's family accelerated age identity and that the effect of diminishing psychosocial resources explained this relationship. For the most part, however, changes within family roles did not affect age identity. On the other hand, the incidence of chronic health problems increased subjective ages, and this relationship too was mediated by the depletion of psychosocial resources. The findings demonstrate an interconnection between the stress process and age identity. Broadening our conception of time-based experience with attention to the stress process offers exciting directions for future theory and research in life course sociology.",https://www.jstor.org/stable/27896235,Social Psychology Quarterly,10.2307_27896235,Sociology,2010.0,0,0.00016868139209691435,0,0.0002945630985777825,1,0.8633198738098145,0.9997599720954895,1
16,,,,BIOLOGY AND SOCIAL THEORY: PARSONS'S EVOLUTIONARY THEME,"The evolutionary theme of Parsons's sociology relates his theory of sociocultural evolution to the theory of organic evolution and to the general theory of action systems. To grasp both relationships, the immanence and Darwinian interpretations of Parsonsian evolutionism must be rejected. Parsons's assumptions about the nature of change and the nature of what is changing follow from the use of Emerson's model of group selection as his source analogy. Its holistic conception of the part-whole relationship explains the theoretical fit between Parsonsian evolutionism and the general theory of action systems, and Parsons's exclusion of action from his evolutionary theory. This limitation and Parsons's restricted focus on the course of evolution can both be corrected by introducing individual selection as a source analogy for sociological evolutionism.",https://www.jstor.org/stable/42854382,Sociology,10.2307_42854382,Sociology,1987.0,0,3.837258191197179e-05,0,0.0012424321612343192,1,0.7601736783981323,0.7556231617927551,1
17,,,,GIVING VOICE: THE CHALLENGE FOR A WHITE INSTRUCTOR IN A MULTICULTURAL COURSE,"A call has been issued in American colleges and universities for diversity courses taught by those who live the experience. This presents a challenge of credibility particularly salient to white educators teaching multicultural courses. The purpose of this paper is to suggest that this challenge may be met by integrating feminist standpoint epistemology with multicultural pedagogy. I contend that meaningful steps must be taken to incorporate underrepresented voices into multicultural courses. Activities such as discussions, readings, debates, audio-video media, and guest speakers help to amplify minority voices. In addition, reflection papers and team projects provide means to evaluate how clearly students hear the disparate voices presented. This paper draws on my experiences as a white instructor planning and teaching a sociological race and ethnicity course at a large public university.",https://www.jstor.org/stable/40969072,Michigan Sociological Review,10.2307_40969072,Sociology,2002.0,0,5.2697134378831834e-05,0,0.16068477928638458,1,0.9999275207519531,0.9999972581863403,1
18,,,,The Relay Race of Generations: Notes on the Upbringing of Youth,None,https://www.jstor.org/stable/20629980,International Journal of Sociology,10.2307_20629980,Sociology,1987.0,0,0.00090954196639359,1,0.9969733953475952,0,0.013959279283881187,0.9999978542327881,1
19,,,,Disciplines Unbound: Notes on Sociology and Ethnic Studies,None,https://www.jstor.org/stable/2654984,Contemporary Sociology,10.2307_2654984,Sociology,1999.0,0,0.0020304410718381405,1,0.9999622106552124,0,0.013676979579031467,0.9999982118606567,1
20,,,,The E. C. Brown Foundation: A Pioneering Enterprise in Family Life and Sex Education,None,https://www.jstor.org/stable/584675,Family Relations,10.2307_584675,Sociology,1983.0,0,0.0021388849709182978,1,0.90434730052948,0,0.0009259568178094923,0.9999984502792358,1
21,,,,"Comparing the Effects of Victimization, Witnessed Violence, Hearing about Violence, and Violent Behavior on Young Adults","This study compares the effects of: (1) violent victimization, (2) witnessing violence, (3) hearing about violence, and (4) violent behavior on depression and Post Traumatic Stress Disorder (PTSD) among a sample of young adults. All forms of lifetime exposure were significantly correlated with depression and PTSD, but when they were assessed simultaneously, victimization had the strongest effect. Witnessing violence over the lifetime also had a significant effect on PTSD. High social support was related to fewer symptoms of depression and PTSD. Social support and gender were investigated as moderators. High social support moderated the effects of recent victimization on depression and PTSD. Gender did not moderate the effects of exposure to violence on depression, but it did moderate the effects of recent witnessed violence and violent behavior (both recent and lifetime) on PTSD. Women were more negatively affected than men by recent witnessed violence and engaging in violent behavior. Implications for interventions are discussed.",https://www.jstor.org/stable/23548928,Journal of Applied Social Science,10.2307_23548928,Sociology,2010.0,0,1.903076918097213e-05,0,0.00037578449700959027,0,0.11785586923360825,0.8785001039505005,1
22,,,,The Impact of Foreclosures on Neighborhood Disorder Before and During the Housing Crisis: Testing the Spiral of Decay,"Objectives. The objectives of this study were to examine whether an increasing number of foreclosures in a neighborhood subsequently increase disorder and whether the temporal relationship between foreclosures and disorder is different before and during the housing crisis. Methods. We employ longitudinal data to examine the impact of foreclosure on crime in Glendale, Arizona, a city at the epicenter of the nations foreclosure problem. We rely on three data sources: (1) foreclosure data, (2) Computer-Aided Dispatch/Police Records Management System data, and (3) U. S. Census and census estimate data. Results. Our findings suggest that foreclosures do have a short-term, four-month effect on overall disorder and social disorder; however, that relationship only holds during the months preceding the housing crisis. During the housing crisis, there is no effect of foreclosures on disorder. Conclusions. Our results suggest that instead of the long-standing negative impact that foreclosures have on disorder in communities, their negative effect is short lived and limited. Thus, foreclosures during the housing crisis do not signal disorder and decay as expected. A number of communities across the country have enacted prevention, enforcement, and reuse policies and programs aimed at foreclosure for the purpose of reducing disorder and subsequent crime; our results suggest that some of these policies and programs require substantial resources and might not have their desired impact.",external-fulltext-any,Social Science Quarterly,10.2307_42864090,Sociology,,0,3.522187762428075e-05,0,0.0007962404051795602,1,0.9007628560066223,0.9999440908432007,1
23,,,,Moving and Children's Social Connections: Neighborhood Context and the Consequences of Moving for Low-Income Families,"Using data from an experimental housing relocation program, this research compares social connections of children in families that move with those of similar children who do not move. Qualitative interview data are used to examine what factors influence the formation of social connections after moving. Results show the impact of moving on children's social connections is influenced by neighborhood context, financial resources, and children's age at the time of the move. Studies of moving during childhood need to pay closer attention to the factors that influence where, when, and why families move.",https://www.jstor.org/stable/4148798,Sociological Forum,10.2307_4148798,Sociology,2004.0,0,3.7212430470390245e-05,0,0.00020565373415593058,1,0.5402198433876038,0.9997720122337341,1
24,,,,FIRST AND SECOND GENERATION GREEKS IN CHICAGO: AN INQUIRY INTO THEIR STRATIFICATION AND MOBILITY PATTERNS,"Patterns of ethnic stratification and mobility are analyzed between two generations of Greeks in the Chicago area. This analysis is based on data collected from a random sample of eighty-nine couples drawn from two Greek-American parishes and from the directory of the Hellenic Professional Society of Illinois. Findings indicated that the function of ethnic stratification and mobility within the Chicago Greek-American ethnic community becomes attenuated with the oncoming of the second generation Greek-Americans. Social status was transformed from an ethnocenttic focus and orientation in the first generation to one which transcends ethnic boundaries in the second generation. Likewise, indices of social mobility were found to be more meaningful when one views them as aspects of the larger American occupational and class structure rather than as aspects of ethnic stratification .",https://www.jstor.org/stable/41495912,International Review of Sociology,10.2307_41495912,Sociology,1971.0,0,1.1950693988183048e-05,0,0.00022220969549380243,1,0.9996500015258789,0.9934982061386108,1
25,,,,Expense Is No Object...: Income and Physician Visits Reconsidered,"The relationship between income and physician visits, especially the assumption that the poor underutilize physician services is reexamined and tested with data from a survey of Rhode Island residents. The National Center for Health Statistics publications on the Volume of Physician Visits show a changing pattern in the use of physician services among income groups during the interval between 1960 and 1968. These data are complemented by findings from a 1971 survey of Rhode Island adults that show an inverse relationship between income and physician visits. The inverse trend in the Rhode Island data goes beyond the national pattern of a flattening of income differentials. The tendency for lower income respondents to be more likely to report physician visits during the previous sixty days as compared to visits reported by persons with larger incomes persisted even when controls were introduced for a number of related factors such as age, the mode of health care delivery used, and the presence of restricted activity days during the time period being studied. The accessibility of publicly financed medical care was found to be associated with use of physician services.",https://www.jstor.org/stable/2137060,Journal of Health and Social Behavior,10.2307_2137060,Sociology,1973.0,0,8.729595720069483e-06,0,0.0004876088642049581,0,0.12658783793449402,0.9999991655349731,1
26,,,,Negotiating Neoliberal Multiculturalism: Mapuche Workers in the Chilean State,"A central component of neoliberal multiculturalism in contemporary Latin America is an increase in indigenous individuals who work for the state, implementing indigenous policy at the municipal, regional and national levels. We explore the consequences of the inclusion of these individuals by analyzing the experiences of Mapuche state workers in Chile. We find that Mapuche workers possess a hybrid subjectivity that leads them to engage in both resistance and consent in their daily work lives. They use state resources strategically for what they feel is movement gain, and are often reflexive about the possibilities of cooptation. Nevertheless, they are often party to actions that are detrimental to the movement. The contradictions in Mapuche workers' actions indicate that the results of neoliberal multiculturalism may be more mixed than many scholars acknowledge. Our findings serve as a corrective on perspectives that attempt to understand neoliberal and multicultural policies without analyzing the roles of the individuals who occupy the state.",https://www.jstor.org/stable/4494975,Social Forces,10.2307_4494975,Sociology,2007.0,1,0.9784530997276306,0,0.018240200355648994,0,0.3998487889766693,0.9999200105667114,1
27,,,,An Attribution Model of Public Discrimination Towards Persons with Mental Illness,"In this study, we build on previous work by developing and estimating a model of the relationships between causal attributions (e.g., controllability, responsibility), familiarity with mental illness, dangerousness, emotional responses (e.g., pity, anger, fear), and helping and rejecting responses. Using survey data containing responses to hypothetical vignettes, we examine these relationships in a sample of 518 community college students. Consistent with attribution theory, causal attributions affect beliefs about persons' responsibility for causing their condition, beliefs which in turn lead to affective reactions, resulting in rejecting responses such as avoidance, coercion, segregation, and withholding help. However, consistent with a danger appraisal hypothesis, the effects of perceptions of dangerousness on helping and rejecting responses are unmediated by responsibility beliefs. Much of the dangerousness effects operate by increasing fear, a particularly strong predictor of support for coercive treatment. The results from this study also suggest that familiarity with mental illness reduces discriminatory responses.",https://www.jstor.org/stable/1519806,Journal of Health and Social Behavior,10.2307_1519806,Sociology,2003.0,0,0.00011603612801991403,0,0.0002077675744658336,0,0.1348503977060318,0.9998812675476074,1
28,,,,"Realism, Regularities, and Prediction","Problems are identified with the transcendental argument that Lawson uses to make a case for realism in economics: this argument relies heavily upon an unproblematized conception of Free Will. Lawson's substantive conclusions are not vitiated, but the argument presented here suggests that he underestimates the role of regularities and prediction in economics.",https://www.jstor.org/stable/29769962,Review of Social Economy,10.2307_29769962,Sociology,1998.0,0,0.00014134799130260944,0,0.0002514105581212789,0,0.0008439360535703599,0.9999971389770508,1
29,,,,Why Poor People Stay Poor in Rural South India,None,https://www.jstor.org/stable/3520240,Social Scientist,10.2307_3520240,Sociology,1979.0,0,0.030149070546030998,0,0.000246185198193416,1,0.7097011804580688,0.9999991655349731,1
30,,,,Cost-Effective Methods for Accurate Determination of Sea Level Rise Vulnerability:,"For millions of people living along the coastal fringe, sea level rise is perhaps the greatest threat to livelihoods over the coming century. With the refinement and downscaling of global climate models and increasing availability of airborne-lidar-based inundation models, it is possible to predict and quantify these threats with reasonable accuracy where such information is available. For less developed countries, especially small island states, access to high-resolution digital elevation models (DEMs) derived from lidar is limited. The only freely available DEMs that could be used for inundation modeling by these nations are those based on data from the Shuttle Radar Topography Mission (SRTM). These data, with a horizontal resolution of ≈90 m and a vertical accuracy of ±5–10 m, are generally unsuitable for local-scale planning and adaption projects. To address this disparity, low-cost ground-based techniques were tested and applied to accurately determine coastal topography in the Solomon Islands. This method had a significantly improved vertical accuracy (±2 cm) and was readily learned by local community members, who were able to independently map and determine the vulnerability of their costal community to inundation from sea level rise. For areas where lidar is not economically viable, this method is intended to provide an important balance of cost, simplicity, accuracy, and local participation that can assist remote coastal communities with coastal planning decisions. The method can enhance local capacity and arguably promotes more meaningful local engagement in sea level rise planning and adaptation activities.",https://www.jstor.org/stable/24907527,"Weather, Climate, and Society",10.2307_24907527,Sociology,2013.0,0,1.6014349967008457e-05,0,0.00035556143848225474,0,0.027131522074341774,0.9954332113265991,1
31,,,,AIDS and the Gay Community: Between the Specter and the Promise of Medicine,None,https://www.jstor.org/stable/40970389,Social Research,10.2307_40970389,Sociology,1985.0,1,0.9999045133590698,0,0.0003206630935892463,0,0.0006986937369219959,0.995757520198822,1
32,,,,Social Well-Being,"The proposal of five dimensions of social well-being, social integration, social contribution, social coherence, social actualization, and social acceptance, is theoretically substantiated. The theoretical structure, constructure, construct validity, and the social structural sources of the dimensions of social well-being are investigated in two studies. Item and confirmatory factor analyses in both studies corroborate the theoretical model of social well-being. The new scales correlate convergently with measures of anomie, generativity, perceived social constraints, community involvement and neighborhood quality. The new scales correlate discriminantly with measures of dysphoria, global well-being, physical health and optimism. Multivariate analyses in both studies substantiate the claim that social well-being is an achievement, facilitated by educational attainment and age. The state and direction of the study of adult functioning are discussed.",https://www.jstor.org/stable/2787065,Social Psychology Quarterly,10.2307_2787065,Sociology,1998.0,0,1.4930006727809086e-05,0,0.00019304853049106896,0,0.02278178557753563,0.9972791075706482,1
33,,,,THE TIBETAN CULTURAL PRAXIS: BODHICITTA THOUGHT TRAINING,"Over twelve centuries of Buddhist civilization, the Tibetan people have developed a comprehensive system of ethical practices which they employ to train themselves in ""the altruistic mind of enlightenment"" (bodhicitta). These ethical practices are based in large part on epistemological investigations which are aimed at disclosing the nature of understanding and the structure of perception, philosophical investigations which have much in common with Western philosophical traditions, including Phenomenology. Where the Phenomenologists pursue such inquiries without extensive consideration of the ethical consequences they might have, the Tibetan philosophers are concerned with applying these philosophical insights to ethical domains, providing for their ethical practices a sound philosophical basis, in addition to the religious basis they also have. This cultural praxis of the Tibetans is not merely a relic of South Asian civilization recorded in written texts, but constitutes a body of ordinary practices for the Tibetan people.",https://www.jstor.org/stable/23262661,Humboldt Journal of Social Relations,10.2307_23262661,Sociology,1986.0,0,0.00016018432506825775,0,0.00020082620903849602,0,0.0019346715416759253,0.7491468787193298,1
34,,,,"La Terza Via: Theory, Strategy, and Practice",None,https://www.jstor.org/stable/657409,Theory and Society,10.2307_657409,Sociology,1986.0,0,0.08174727857112885,0,0.0002644518099259585,0,0.0008195629343390465,0.9999984502792358,1
35,,,,"THEORIES OF POLICY OUTPUTS, AND ASSESSING MEASUREMENT ERROR: COMMENTS ON LIEBERT",None,https://www.jstor.org/stable/42860290,Social Science Quarterly,10.2307_42860290,Sociology,1974.0,0,2.729698462644592e-05,0,0.00025732640642672777,0,9.102554759010673e-05,0.9999929666519165,1
36,,,,The Philippine Social Indicators Project,"The Social Indicators Project of the Development Academy of the Philippines (1974) aimed to formulate a measurement system capable of objectively depicting periodic changes in national development. It identified the following as basic Philippine social concerns: (1) Health and Nutrition, (2) Learning, (3) Income and Consumption, (4) Employment, (5) Non-human Productive Resources, (6) Housing, Utilities, and the Environment, (7) Public Safety and Justice, (8) Political Values, and (9) Social Mobility. This list is unique in considering political welfare. A multi-disciplinary research team selected 30 major indicators pertinent to these concerns. Although the majority are already encompassed by the Philippine statistical system, certain new indicators were proposed, including disability due to illness, human capital created by schooling, net beneficial product, families below a food threshold, an index of housing adequacy, an air pollution index for Greater Manila, an index of perceived public safety, indices of political mobility and efficacy, and indices of occupational mobility and perceived social mobility. A survey of 1000 households was used to demonstrate the feasibility of gathering needed new primary data, particularly those attitudinal in nature. An analysis of time series showed that certain aspects of Philippine welfare have been notably improving, but that others have been worsening; the direction of national progress can only be ascertained by admitting value-judgments on the relative importance of the several components of welfare.",https://www.jstor.org/stable/27521814,Social Indicators Research,10.2307_27521814,Sociology,1977.0,0,2.660086829564534e-05,0,0.00023038631479721516,0,0.007636378053575754,0.9999397993087769,1
37,,,,A Typology of Progressive Catholics: A Study of the Delegates to the National Pastoral Congress,"This paper describes an attempt to construct a typology of progressive Catholics using data obtained from a survey of the delegates to the 1980 National Pastoral Congress of English Catholics eighteen months after the Congress. Progressivism is regarded as the espousal of the new elements of religious ideology and pastoral emphases which have emerged since the Second Vatican Council. Following earlier attempts using smallest space analysis and factor analysis, this paper describes the use of cluster analysis to identify distinct groups of individuals and discriminant analysis to identify the separate dimensions which distinguish between the clusters. Seven clusters were identified in terms of six discriminant functions. An analysis of the social and religious characteristics of the seven types indicated that there was no simple unidimensional scale of progressivism. The paper concludes with some suggestions for a more comprehensive classification of progressive Catholics which might be explored in the case of other or more representative samples.",https://www.jstor.org/stable/1385796,Journal for the Scientific Study of Religion,10.2307_1385796,Sociology,1987.0,1,0.9989457726478577,0,0.0005578255513682961,0,0.13467180728912354,0.9999932050704956,1
38,,,,A Reply to My Critics,None,https://www.jstor.org/stable/43735728,Sociological Practice,10.2307_43735728,Sociology,2000.0,0,0.0003956023429054767,1,0.9999706745147705,0,0.0018640735652297735,0.9999994039535522,1
39,,,,Coming Apart: A Prognostic Instrument of Marital Breakup,"A Marital Instability Index (MII) is presented to detect the ""peaks and valleys"" of intact marriages and the relative severity of their instability. The development of the scale, its administration, reliability, and indicators of its validity are discussed. In view of its value in predicting actual cases of marital dissolution, the MII appears to have considerable utility for diagnostic and prognostic purposes in marital counseling and other interventionist situations.",https://www.jstor.org/stable/583948,Family Relations,10.2307_583948,Sociology,1987.0,0,1.2375895494187716e-05,0,0.00032410072162747383,0,0.36400654911994934,0.9775856733322144,1
40,,,,SOME REFLECTIONS ON SOCIOLOGY AND THE COUNTER-CULTURE,None,https://www.jstor.org/stable/20830767,Sociological Focus,10.2307_20830767,Sociology,1970.0,1,0.9999250173568726,1,0.972176194190979,0,0.0037097951862961054,0.9999983310699463,1
41,,,,The Structure of Knowledge,None,https://www.jstor.org/stable/40970729,Social Research,10.2307_40970729,Sociology,1993.0,0,0.004156081937253475,0,0.00021245541574899107,0,0.006287158001214266,0.9999986886978149,1
42,,,,"13th Polish Congress of Sociology Zielona Góra, 13-15 September 2007",None,https://www.jstor.org/stable/41275038,Polish Sociological Review,10.2307_41275038,Sociology,2007.0,0,0.0003015518595930189,0,0.0003997158200945705,0,0.0009168970864266157,0.9999990463256836,1
43,,,,"Movement, Politics and Development: The Case of Kerala",None,https://www.jstor.org/stable/3518227,Social Scientist,10.2307_3518227,Sociology,2001.0,0,0.012415153905749321,0,0.0001596941874595359,0,0.0003410109202377498,0.9999765157699585,1
