stance twd. demog_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,"How to Be a Woman, a Worker, and an Immigrant",None,https://www.jstor.org/stable/40397136,International Studies of Management & Organization,10.2307_40397136,Management & Organizational Behavior,1989.0,0,3.8529378798557445e-05,0,0.00019736184913199395,1,0.9864524602890015
,,,Chefs and occupational culture in a hotel chain: A grid-group analysis,"A fierce recession in the UK between 1991 and 1995 led the hotel group Forte, like most companies, to initiate urgent turnaround and survival policies. This paper reports on a study of chefs' behaviour within Forte Crest Hotels, London, the strain placed on their occupation during this recession and the aftermath of Forte's levered corporate change policies in 1994—95. The enquiry was carried out before the hostile take-over of Forte by Granada in January 1996. Using grid-group analysis, a qualitative study based on structured interviews was undertaken. These interviews were analysed for commonalities and differences within a grid-group analysis framework, which addresses organisational, individual and group behavioural phenomena in a given social context. The findings reveal behavioural insights into the occupational identity of chefs and the allegiance they give to their occupation when faced with a programme of radical change initiated by management.",https://www.jstor.org/stable/23746718,Tourism and Hospitality Research,10.2307_23746718,Management & Organizational Behavior,2001.0,1,0.9991713762283325,0,0.00022952837753109634,1,0.8172746896743774
,,,The Managerial Ethic and Productivity Improvement,"Public managers, to a greater degree than their private counterparts, subscribe to a managerial ethic which demands increasingly improved performance. Even though conventional codes of ethics fail to indicate a productivity norm, the author suggests that, in effect, the manager makes a commitment to it by accepting the responsibilities that go with his or her participation in the system. This article indicates what the manager can and should do to fulfill this commitment. There is nothing wrong with the American work ethic--it is still believed--but existing systems and practice prevent its fulfillment.",https://www.jstor.org/stable/3380327,Public Productivity Review,10.2307_3380327,Management & Organizational Behavior,1983.0,0,0.001962312264367938,0,0.001142936060205102,1,0.813220202922821
,,,LIMITS OF MULTIPLE GROUP MEMBERSHIP IN R&D PROJECT GROUPS,"The moderating effect of single versus multiple group membership on the relationship between group characteristics and individual role perceptions was investigated within an R&D organization. Differential effects include cohesiveness on role overload and ambiguity; goal clarity on role clarity, internal fragmentation on role load. No effects were found for homogeneity and communications.",https://www.jstor.org/stable/43294952,Hitotsubashi Journal of Commerce and Management,10.2307_43294952,Management & Organizational Behavior,1995.0,0,5.7787110563367605e-05,0,0.0031149594578891993,1,0.985816478729248
,,,"Ms. Trust: Gender, Networks and Trust—Implications for Management and Education","Despite knowing how important social capital is and despite the fact that so much time, money, and attention is given to raising the status of women in managerial ranks, women have yet to achieve anything like equal status at the top level of organizational hierarchies. One factor that has received limited attention in the literature is that of differences in the way men and women network and that the way women network might not only disadvantage their own professional career progression but also put other women at a disadvantage as well. This study explores this phenomenon and specifically looks at how social network size varies with level of trust between parties. Our results suggest women tend to trust each other less in a risky professional environment compared to men. Though women were found to have the same scale social networks, they exhibit a greater reduction in aggregate network size at higher trust levels. We find that women socialize with each other, but when it comes to a matter of risk taking, women exclude each other and prefer to network with men. Implications for development and management education are discussed and avenues of future research are considered.",external-fulltext-any,Academy of Management Learning & Education,10.2307_23100435,Management & Organizational Behavior,,0,2.5435629140702076e-05,0,0.0003438838757574558,1,0.9707099199295044
,,,Asymptotic Optimality of Order-Up-To Policies in Lost Sales Inventory Systems,"We study a single-product single-location inventory system under periodic review, where excess demand is lost and the replenishment lead time is positive. The performance measure of interest is the long-run average holding cost and lost sales penalty cost. For a large class of demand distributions, we show that when the lost sales penalty becomes large compared to the holding cost, the relative difference between the cost of the optimal policy and the best order-up-to policy converges to zero. For any given cost parameters, we establish a bound on this relative difference. Numerical experiments show that the best order-up-to policy performs well, yielding an average cost that is within 1.5% of the optimal cost when the ratio between the lost sales penalty and the holding cost is 100. We also propose a heuristic order-up-to level using two newsvendor expressions; in our experiments, the cost of this order-up-to policy is 2.52% higher, on an average, than the best order-up-to policy.",https://www.jstor.org/stable/40539156,Management Science,10.2307_40539156,Management & Organizational Behavior,2009.0,0,1.9747907572309487e-05,0,0.014360039494931698,0,0.0003378141555003822
,,,Determinants of the Number of Artworks in Corporate Art Collections,"Corporations have different motivations for collecting art. This study extends the rationale for corporate art collecting to the determinants of the number of artworks in a collection. The authors use comprehensive data on corporations' art-related behaviours and attributes to investigate the relationship between these factors and the size of their collections using multivariate linear regression methodology. They find that corporations that are active in supporting art and communicating with society have significantly larger art collections than those that are not active. Contrary to conventional beliefs, corporations in the financial sector do not have significantly larger collections than corporations in others areas. This study provides empirical evidence indicating that corporations use art collections to respond to social/institutional pressures and communication needs. Les entreprises sont motivées par différents facteurs à collectionner des œuvres d'art. Cette étude ajoute aux raisons de ces collections d'œuvres d'art les déterminants du nombre d'œuvres d'art dans une collection. S'appuyant sur des données détaillées concernant les comportements et les caractéristiques des entreprises en matière d'art, les auteurs explorent la relation entre ces facteurs et la taille de leurs collections au moyen d'une méthode de régression linéaire multiple. Ils observent que les entreprises qui soutiennent l'art activement et qui cherchent à communiquer avec la société possèdent des collections d'œuvres d'art significativement plus grandes que les entreprises qui n'apportent pas leur soutien à l'art. Contrairement à une croyance répandue, les collections d'œuvres d'art des entreprises du secteur financier ne sont pas significativement plus grandes que celles des entreprises d'autres secteurs. Cette étude fournit des données empiriques indiquant que les entreprises utilisent les collections d'œuvres d'art pour répondre à des pressions sociales et institutionnelles ainsi qu'à des besoins de communication. Las empresas coleccionan arte por diversos motivos. En el presente estudio se establece, como determinante, la relación entre la lógica que hace que las sociedades coleccionene arte y la cantidad de arte coleccionado. Valiéndose del método de regresión lineal simple y multivariada, los autores utilizan datos generales sobre los comportamientos y atributos de las empresas en materia de arte para estudiar las relaciones entre estos factores y la magnitud de sus colecciones. Observan que las empresas que aportan un apoyo activo a las artes y se comunican con la sociedad poseen colecciones de arte considerablemente más importantes que aquellas que no desempeñan un papel activo en el mundo de las artes. En contra de lo que se cree, las empresas financieras no cuentan con colecciones más amplias que las de empresas de otros sectores. Este estudio aporta pruebas empíricas que indican que las empresas utilizan las colecciones de arte para responder a las presiones sociales e institucionales así como para satisfacer las necesidades en materia de comunicación.",https://www.jstor.org/stable/24587154,International Journal of Arts Management,10.2307_24587154,Management & Organizational Behavior,2014.0,0,4.096651537111029e-05,0,0.00021044074674136937,0,0.0014658858999609947
,,,Financial Factors and Company Investment Decisions in Transitional China,"We investigate the propensity of Chinese publicly listed firms to invest in response to financial factors, according to the a priori degree of a firm's information problems: industry sector, ownership structure and firm size. The firms in primary and tertiary industries are found to be liquidity-constrained in their investment decisions. The investment-cash flow sensitivity of the firms in secondary industry indicates that they lost privileged access to credit in the course of China's market transition. However, we find no evidence that financial liberalization resulted in an easing of financing constraints for small- and medium-sized firms. Our result indicates that agency problems, stemming from a state-controlling pyramidal ownership structure, are responsible for the misallocation of internal funds. The importance of bankruptcy and agency costs in relation to debt finance for certain types of borrowers reflects the transitional nature of the financial environment facing Chinese firms.",https://www.jstor.org/stable/30219169,Managerial and Decision Economics,10.2307_30219169,Management & Organizational Behavior,2009.0,0,1.964171497093048e-05,0,0.00014401343651115894,0,6.641475192736834e-05
,,,Researching human resource management in the hospitality industry: The need for a new agenda?,"Analysis of both research conference and refereed journals suggests that 'people' continue to be a dominant hospitality industry research topic. This paper is concerned with research which addresses the management of the labour process and employment relationships per se. The main focus of the analysis explores the research on issues related to people management published in specialist hospitality and tourism journals, and the analysis is further developed through a comparison of research articles published over the same time period in a generic human resources publication. Comparison of these two sets of journals reveals some interesting similarities and variations in research topics — not the least of which is the general reluctance of hospitality research to critically engage with debates about the meaning and theoretical underpinning of 'human resource management'.",https://www.jstor.org/stable/42919208,International Journal of Tourism and Hospitality Research,10.2307_42919208,Management & Organizational Behavior,1999.0,0,0.00011786590766860172,0,0.0005235877470113337,0,0.0012629698030650616
,,,Teaching Evidence-Based Management in MBA Programs: What Evidence Is There?,"We examine the degree to which required management courses in U.S.-based MBA programs make reference to the emerging evidence-based management (EBM) movement. More than 800 required management course syllabi from 333 programs were reviewed for either explicit reference to the concept of EBM, or verbiage within course descriptions that was consistent with teaching evidence-based management principles. In addition, instructor, course, and institution-level characteristics were examined as potential correlates of references to EBM. Using a liberal operationalization of EBM (i.e., keywords or phrases that are consistent with evidence-based management principles), results suggest that approximately 25% of core MBA management courses utilize EBM in some form. However, there are substantial differences across categories of course content and depending on whether the instructor has a PhD. Evidence-based management-consistent syllabi are most prevalent at the MBA level in organizational behavior and least in international management and entrepreneurship. Suggestions for future research, as well as an exemplary course description from an EBM syllabus, are offered.",external-fulltext-any,Academy of Management Learning & Education,10.2307_41318047,Management & Organizational Behavior,,0,0.2126883566379547,0,0.00020741070329677314,0,0.00024000585835892707
,,,DISINVESTMENT: A CORPORATE FAILURE OR A STRATEGIC SUCCESS,None,https://www.jstor.org/stable/41103832,International Studies of Management & Organization,10.2307_41103832,Management & Organizational Behavior,1976.0,0,9.894010872812942e-06,0,0.0030186178628355265,0,0.0004276740364730358
,,,"Economics, Demography and Cultural Implications of Globalization: The Canadian Paradox","In this paper we explore the effects of globalization on Canada's economy and on the political and cultural identities of Canadians. We begin the paper with a description of the economic, technological and social forces which lead to global integration (or ""globalization"") and the removal or reduction of barriers erected by borders. We examine the extent to which these forces have influenced the economy of Canada in the last two decades and its interactions with the rest of the world. In particular, we investigate whether ""globalization"" is manifested by changes in the locus of control and/or extension of the geographical horizons of Canadian economic agents. We conclude that, while the foreign trade component in Canada's GDP has increased significantly, much of the integration process has been regional, not global. The degree of regional integration is especially pronounced in the sector of cultural products where US exports overwhelm Canadian consumption. This is a source of concern for Canadian politicians who fear that Canada is losing its distinct cultural identity. The response to this perceived threat was a complex regime of regulations and subsidies aimed at protecting domestic production of cultural goods and services. These measures, however, had a very limited impact. While production has shifted to an extent from the US to Canada and the gap in exports/imports of cultural products has declined, the contents of the products continue to reflect the tastes of the bigger US market.",https://www.jstor.org/stable/40836023,MIR: Management International Review,10.2307_40836023,Management & Organizational Behavior,2004.0,0,0.00035391029086895287,0,0.000845760980155319,0,0.017477398738265038
,,,Human Rights Accountability of the Minerals Development Industry,"The mineral development industry, albeit essential, continues to engender human rights and environmental violations in host communities. This paper discusses four approaches to securing corporate responsibility to prevent and redress such violations. It first examines the effectiveness of voluntary initiatives based on corporate social responsibility (CSR), but these are found to lack effective implementation mechanisms. Then, the international law regime as it applies to corporations is discussed. Despite conceptual differences about their scope and application, a number of binding human rights and environmental norms do already exist under which corporations can be held to account. These and other evolving norms can be incorporated into national laws, while pursuing a new international treaty as a long-term goal. Third, it considers the adoption of a human rights-based approach and argues that incorporating human rights values, principles, standards, mechanisms and processes in the functioning of the industry could create a win–win situation for communities and corporations. Fourth, aggrieved party initiatives adopting a legal liability are examined. This paper makes the case for an inclusive approach, employing both voluntary and obligatory initiatives to secure CSR, accountability and, where necessary, legal liability.",https://www.jstor.org/stable/greemanainte.52.31,Greener Management International,10.2307_greemanainte.52.31,Management & Organizational Behavior,2005.0,0,0.002311465796083212,0,0.00017724097415339202,0,0.00040271395118907094
,,,Optimal Server Allocation in a System of Multi-Server Stations," Consider a closed queueing network (Gordon and Newell 1967) with a set of stations. The service rate at each station is an increasing concave function of the number of jobs at that station. Suppose there also exists a station that has c (≥1) parallel servers, each of which has a fixed service rate. We show that the throughput of this network is an increasing concave function with respect to c. This result is then applied to solve the optimal server allocation problem in a system of multi-server stations with a fixed buffer capacity (for the total number of jobs) at each station. For a single-station system, the simultaneous optimal allocation of both servers and buffer capacity is also studied. ",https://www.jstor.org/stable/2631882,Management Science,10.2307_2631882,Management & Organizational Behavior,1987.0,0,9.780554137250874e-06,0,0.0003444004396442324,0,0.0005171708762645721
,,,Robotics: Effect on Japanese and American Labor and a Practical Application in the New York City Department of Sanitation,"The use of robots is forcing many sectors of international society to examine the social implications of robotics. Japan and the United States, as world leaders in the field. are experiencing the early dislocations attendant upon this leadership. The effects of this phenomenon upon labor are now being felt in certain industries, particularly in Japan, and it is expected to become an extremely grave concern for both labor and management in future contract negotiations. Little public sector application for robots has been found. The author reviews a study undertaken by the New York City Department of Sanitation which explores the possibilities of introducing man amplifiers in its vehicle painting shop. If these worker substitutes are implemented, the Department of Sanitation would become one of the public sector's first users of robots in New York City.",https://www.jstor.org/stable/3380037,Public Productivity Review,10.2307_3380037,Management & Organizational Behavior,1983.0,0,0.00016595079796388745,0,0.0004042033979203552,0,0.014913549646735191
,,,The Myth of Racial Discrimination in Pay in the United States,"The analyses of the General Social Survey data from 1974 to 2000 replicate earlier findings from the National Longitudinal Survey of Youth that racial disparity in earnings disappears once cognitive ability is controlled for. The results are robust across many alternative specifications, and further show that blacks receive significantly greater returns to their cognitive ability than nonblacks. The trend data show that there was no sign of racial discrimination in the United States as early as 1970s. The analyses call into question the necessity of and justification for preferential treatment of ethnic minorities.",https://www.jstor.org/stable/25151380,Managerial and Decision Economics,10.2307_25151380,Management & Organizational Behavior,2005.0,0,1.2499514014052693e-05,0,0.12761318683624268,1,0.9982160925865173
,,,Stress On and Off the Job as Related to Sex and Occupational Status in White-Collar Workers,"Sixty healthy non-smoking white collar employees, aged 30-50, from a large corporation in Sweden participated in the study. There were four groups: 15 male and 15 female middle managers, 15 male and 15 female clerical workers. Each participant was examined individually with regard to cardiovascular and neuroendocrine functions and self-reports for 12 consecutive hours under each of two conditions: (1) a normal day at work (9 a.m. - 5 p.m.) and after work (6-9 p.m.), and (2) for the same time period during work-free conditions at home. In addition, everyone was given a videotaped type A-interview and a general health check-up including blood-lipid determination. Attitudes towards work, total workload (including responsibilities outside the paid work) and sex role identity were examined by questionnaires. As expected, all groups showed a moderate increase in cardiovascular and neuroendocrine activity during the day at work. After work, however, interesting group differences emerged, suggesting slower unwinding in female managers. Differences related to occupational level and/or sex were found for autonomy and social support at work, competitiveness, sex role and reported conflict between demands from paid work and other responsibilities. The stress profile of the female managers was considered in terms of possible long-term health risks.",https://www.jstor.org/stable/2488189,Journal of Organizational Behavior,10.2307_2488189,Management & Organizational Behavior,1989.0,0,9.1541551228147e-06,1,0.9992201328277588,1,0.9881951808929443
,,,Another Analysis of the EEOCC 'Four-Fifths' Rule,"Federal guidelines provide grounds for determining when a racial, ethnic or sex group has experienced discrimination in selection or promotion. This paper assumes that a predetermined number of people are selected or promoted and presents a simple model that computes the exact probabilities of type I and type II errors, that is, concluding adverse impact when none exists and concluding no adverse impact when it does, in fact, exist.",https://www.jstor.org/stable/2630313,Management Science,10.2307_2630313,Management & Organizational Behavior,1979.0,0,1.5244970200001262e-05,0,0.0005664973286911845,1,0.9998736381530762
,,,Opportunity Structures in Established Firms: Entrepreneurship versus Intrapreneurship in Mutual Funds,"This study revisits the well-established notion that large and mature organizations stifle an employee's ability and motivation to become an entrepreneur. Using unique data on U.S. mutual funds founded between 1979 and 2005, I examine whether large and mature firms, which are typically associated with lower individual rates of entrepreneurship, are also associated with lower individual rates of intrapreneurship. The findings show that, though employees in large and mature organizations are less likely to transition to entrepreneurship, they nonetheless exhibit a higher propensity to pursue venturing opportunities inside the established firm than employees in smaller and younger firms. The results suggest that the observed negative effect of large, mature organizations on entrepreneurship arises partly due to high rates of intrapreneurship and that the stultification processes in such organizations are far less important than has been generally assumed.",https://www.jstor.org/stable/43548334,Administrative Science Quarterly,10.2307_43548334,Management & Organizational Behavior,2012.0,0,2.2678064851788804e-05,0,0.0002637339639477432,1,0.9998038411140442
,,,Intra-Industry Structure and the Response Toward Rivals,This paper is a study of the pricing behavior of airline monopolists toward potential entrant carriers from different strategic groups. The results suggest that formerly regulated carriers price lower when faced by potential entrants from the newly certified carrier group than they do when they face only potential entrants from their own group. These results are consistent with the heretofore-untested hypothesis from Caves and Porter (1977) and Porter (1979) that rivalry is greater across groups than within groups.,https://www.jstor.org/stable/2487871,Managerial and Decision Economics,10.2307_2487871,Management & Organizational Behavior,1993.0,0,2.1979007215122692e-05,1,0.8968246579170227,1,0.9124854207038879
,,,Sources and Consequences of Competitive Inertia: A Study of the U.S. Airline Industry,"This paper investigates the causes and consequences of competitive inertia in the U.S. airline industry. Competitive inertia is defined as the level of activity that a firm exhibits when altering its competitive stance in areas such as pricing, advertising, new product or service introductions, and market scope. Inertia is argued to be driven by managers' incentives to act, their awareness of action alternatives, and the constraints on their capacity to act. These three sources of inertia were assessed, respectively, by past performance and market growth; by competitive experience and the diversity of the market environment; and by company age and size. We found that good past performance contributed to competitive inertia, whereas a diversity of markets discouraged it. Antecedents for inertia differed in tactical versus strategic actions, the former being driven more by performance and market diversity, the latter by growth in markets. These results suggest the operation of two distinct models of organizational learning, one reactive, the other experimental. Although inertia in strategic actions had mildly positive implications for near-term performance, the benefits from inertia in all kinds of actions diminished with increases in market diversity.",https://www.jstor.org/stable/2393492,Administrative Science Quarterly,10.2307_2393492,Management & Organizational Behavior,1994.0,0,0.000586960872169584,0,0.00019087739929091185,1,0.9999302625656128
,,,Correlates of Career-Oriented Mentoring for Early Career Managers and Professionals," This study examines several different kinds of correlates of career-oriented mentoring experiences among early career managers and professionals. Survey data were collected from 416 respondents employed in a wide variety of jobs, organizations, and industries. The respondents averaged 30 years of age, and 28 per cent were women. Results indicated that younger, more work-involved respondents from higher socioeconomic origins received more career-oriented mentoring. In addition, managers received more mentoring than professionals, as did those who were higher in the organization hierarchy. While gender of the protégé was unrelated to the amount of career mentoring received, reasons are offered for this result. Various boundary conditions likely to affect mentoring processes are discussed and several directions are recommended for future research on mentoring. ",https://www.jstor.org/stable/2488178,Journal of Organizational Behavior,10.2307_2488178,Management & Organizational Behavior,1992.0,0,5.831375801790273e-06,0,0.00026521869585849345,1,0.9933851361274719
