stance twd. relt_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,"Structure, Identity, and Comparison: The ANC and the PT: a Reply to Desai and Habib","This contribution challenges some of the underlying assumptions of the paper by Desai and Habib. It questions the looseness of their definition of a social movement, criticises their use of the structure\identity dichotomy and suggests that they do not adequately account for the popularity of the ANC. Instead, this paper provides a comparative analysis of Brazil and South Africa and argues that a variety of outcomes are possible in South Africa and Brazil.",https://www.jstor.org/stable/44461271,South African Sociological Review,10.2307_44461271,Sociology,1994.0,1,0.9120439291000366,0,0.00021346357243601233,0,0.0036984148900955915
,,,"Ronald Reagan's ""Revival"": Voluntarism As a Theme in Reagan's Civil Religion","American Presidents since Washington have contributed to the maintenance and transformation of the nation's civil religion. In his 1967 essay Bellah found the principal themes of this transcendent secular religion in the major public addresses of Presidents of the United States. In this paper I look at one of the contributions of Ronald Reagan to the American civil religion-his public utterances on voluntarism (""private initiative""). Four major themes in Reagan's pronouncements on voluntarism are described: the volunteer ""spirit,"" activism, ""big government,"" and revival. The heroism of volunteers and the idea of community/neighborhood are two other themes which are discussed. Taken together, these themes tell a simple mythic story about sin and salvation in American society.",https://www.jstor.org/stable/3711680,Sociological Analysis,10.2307_3711680,Sociology,1987.0,0,0.0011850256705656648,0,0.0003901662421412766,0,0.000193651212612167
,,,ECONOMICS AS A MORAL SCIENCE,None,https://www.jstor.org/stable/29768735,Review of Social Economy,10.2307_29768735,Sociology,1974.0,0,5.1083396101603284e-05,0,0.0003228530113119632,0,0.0004022606590297073
,,,Universal Grants versus Socialism: Reply to Six Critics,None,https://www.jstor.org/stable/657308,Theory and Society,10.2307_657308,Sociology,1986.0,0,0.10654006153345108,0,0.00038843549555167556,0,0.001051827217452228
,,,Social Revolution and the Equal Rights Amendment,None,https://www.jstor.org/stable/684629,Sociological Forum,10.2307_684629,Sociology,1988.0,1,0.5504136085510254,0,0.00038663888699375093,0,0.023518070578575134
,,,conversations: are we prepared for the next disaster?,None,https://www.jstor.org/stable/41801051,Contexts,10.2307_41801051,Sociology,2007.0,0,0.00116917269770056,0,0.006286611780524254,0,0.0020636359695345163
,,,"Resisting Homelessness: Global, National, and Local Solutions",None,https://www.jstor.org/stable/2654929,Contemporary Sociology,10.2307_2654929,Sociology,2000.0,0,0.00015882888692431152,1,0.9678339958190918,0,0.001726258429698646
,,,Evolution and Event in History and Social Change: Gerhard Lenski's Critical Theory,"Authors have contrasted social change and history many times, especially in terms of the significance of the event in accounting for the broadest contours of human societies' evolution. After recasting Gerhard Lenski's ecological-evolutionary theory in a critical fashion, by emphasizing its engagement with alternativity and by introducing a different approach to structure, I reconsider the salience of the event in the developmentalist project and suggest that ecological-evolutionary theory can be quite helpful in posing new questions about an eventful sociology. By rethinking communism's collapse in 1989 and terrorism's explosion in 2001 within Lenski's theoretical frame, one can suggest critical transformations of theory and research on the evolution of human societies.",https://www.jstor.org/stable/3648950,Sociological Theory,10.2307_3648950,Sociology,2004.0,0,0.00028192950412631035,1,0.8237532377243042,1,0.5602477192878723
,,,"THE ROLE OF IMMIGRATION IN UNITED STATES COMMODITY PRODUCTION, 1869-1929",None,https://www.jstor.org/stable/42860067,Social Science Quarterly,10.2307_42860067,Sociology,1971.0,0,5.8420540881343186e-05,1,0.9967389702796936,1,0.9955077171325684
,,,"The Invention of Safer Sex: Vernacular Knowledge, Gay Politics and HIV Prevention","Vernacular knowledge and community-based HIV prevention has been the basis for the federal government's prevention strategy from 1984 to the present. The centerpiece of HIV prevention, safer sex, was a synthesis of epidemiological information and reflected both the gay community's desire to protect the sexual freedoms gained in its political struggles during the 1970s and its practical understanding of sexual urgency and how that sexual freedom could be protected. The interplay between epidemiology and the gay community's vernacular knowledge was marked by an interplay between two different forms of knowledge and authority. The gay male community and the public health establishment both deployed their cognitive and political resources in a struggle to define the transmission factor and to devise preventative strategies. The gay community sought to protect the sexual freedom it had just barely achieved ten years earlier. The public health establishment tried to identify the populations within which AIDS seemed to originate and control them - short of massive quarantine, a politically awkward resolution of the public health problem. Both sides sought to frame the link between gay men and AIDS in way that reserved their autonomy, cultural status and authority. The prize of the contest was a prevention strategy that protected the cultural norms of the successful party.",https://www.jstor.org/stable/41035535,Berkeley Journal of Sociology,10.2307_41035535,Sociology,1998.0,1,0.996954083442688,1,0.9977776408195496,0,0.0034104997757822275
,,,SOME REFLECTIONS ON SOCIOLOGY AND THE COUNTER-CULTURE,None,https://www.jstor.org/stable/20830767,Sociological Focus,10.2307_20830767,Sociology,1970.0,1,0.9999250173568726,1,0.972176194190979,0,0.0037097951862961054
,,,A Radical Demand Effect,"Numerous scholars consider the economic origins of the late-nineteenth- and early-twentieth-century US married women’s property acts. Researchers investigate how economic downturns and women’s inroads into business spurred lawmakers to reform property laws to give married women the right to own separate property. Such economic explanations, however, are only a partial story. Our investigation reveals the important role of women’s collective activism in winning these legal changes. Women mobilized for property rights often as they pressed for voting rights and, in one case, as they campaigned for an equal rights amendment. We examine circumstances leading to passage of married women’s property acts in seven states to show that as women mobilized for property rights alongside voting rights or a broader equal rights law, a radical demand effect unfolded. Lawmakers often considered demands for woman suffrage or an equal rights amendment as more far-reaching and thus more radical and threatening. Such feminist demands, then, provided a foil for property-rights activism, and the contrast led lawmakers to view property demands as more moderate. In addition, as they pressed for these combined reforms, women often engaged in hybrid framing that allowed them to moderate their demand for property reforms by linking their property goals to beliefs already widely accepted. The confluence of these circumstances led political leaders to deem property changes as more moderate and acceptable in an effort to steer feminists away from their radical goals. In the end, the radical demand effect created a political opportunity for passage of the married women’s property acts.",https://www.jstor.org/stable/90017030,Social Science History,10.2307_90017030,Sociology,2014.0,1,0.9969632029533386,1,0.9951358437538147,0,0.007750336080789566
,,,Culture and the Social Psychology of the Soviet Rural Population,None,https://www.jstor.org/stable/20629644,International Journal of Sociology,10.2307_20629644,Sociology,1973.0,0,7.645300502190366e-05,1,0.9994414448738098,0,0.08741108328104019
,,,Child Support Reform: Lessons from Wisconsin,"The level of implementation and the effects of 3 child support reforms in Wisconsin are reviewed. Setting child support orders according to a percentage-of-income standard decreases the variability in orders. Expressing an order as a percentage of the noncustodial parent's income so that it changes automatically if income changes increases both the amount of orders and payments. Finally, routinely withholding child support from the noncustodial parent's income increases child support payments.",https://www.jstor.org/stable/584765,Family Relations,10.2307_584765,Sociology,1996.0,0,5.161597437108867e-05,1,0.99994957447052,0,0.12241684645414352
,,,Kin and Nonkin under Collective Threat: Israeli Networks during the Gulf War,"This study presents a rare glimpse of how people use their social networks during a mortal threat. In surveys done around the time of the 1991 Gulf War, we asked residents of metropolitan Haifa, Israel, to tell us from whom they received support during the missile attacks. The results show that Israelis relied more on kin than they did in their everyday networks. However, how much they relied on kin varied by type of support, specifically by whether the help was the comfort and advice of conversation - often provided by friends - or was more immediate and direct aid - overwhelmingly provided by kin. While we reinforce earlier findings that people turn to kin in crises, we also show that nonkin provide a specific form of social support.",https://www.jstor.org/stable/2580298,Social Forces,10.2307_2580298,Sociology,1994.0,0,1.4875161468808074e-05,1,0.9996395111083984,0,0.0026111495681107044
,,,A CLUSTER OF CONTRADICTIONS: THE POLITICS OF MIGRATION IN THE EUROPEAN UNION,"The increasing scale of transnational migration is sociologically one of the most interesting features of contemporary life, not least because of the analytical challenges posed by the complexity of this phenomenon. The aim of this paper is to explore the contradictions inherent in policy approaches to migration in the EU – the logic of the market is weighed against welfare protectionism; welfare and labour market regulation against demands for cheap labour; national resource concerns against transnational rights. The outcome is presented in terms of an increasingly complex system of civic stratification, which raises a further set of contradictions; discriminatory exclusion alongside assertions of equal treatment. The implications of these cross-cutting pressures for a sociological understanding of migration are considered throughout, and doubt is cast on the validity of any single overarching perspective.",https://www.jstor.org/stable/42857904,Sociology,10.2307_42857904,Sociology,1997.0,0,7.765806367387995e-05,1,0.9998235106468201,0,0.3885138928890228
,,,CONTINUITIES AND VARIATIONS IN EVERYDAY CONCEPTUAL COMPONENTS OF CLASS,"A variety of conceptual components of everyday actors' class schemes (the number, size, notation and characteristics of the classes perceived, the determinants of class, the nature of class relationships and the possibility, means and desirability of class mobility) are located in terms of occupation and analysed according to eight 'typical' Class Schemes (outlined in a previous issue of this journal). This is undertaken in order to demonstrate the extent of agreement and disagreement over these aspects of everyday definitions of class and to convey the degree to which the ideal-typical formulations reflect the views actually expressed by respondents. This is deemed necessary because of the tendency to confuse the abstractive nature of such types with their empirical or generalizing function. The findings, while broadly consistent with much previous research, reveal a complexity that demands a rethinking of a number of sociological practices and stereotypes. In particular, they provide empirical support for the typology of Class Schemes while showing the ways in which certain conceptual components of class are held in common. On the other hand, they also demonstrate the variations in social meaning applied to such concepts as 'money'.",https://www.jstor.org/stable/42851628,Sociology,10.2307_42851628,Sociology,1975.0,0,0.010880695655941963,1,0.9999679327011108,1,0.7503021955490112
,,,Social Influence and Opinion on Abortion,"Evidence for social influence in politics is usually based on examination of standard political science dependent variables such as vote choice, rather than more deeply felt personal and emotional ones like opinion on abortion. This paper develops a system of simultaneous equations that explicitly models the process of influence on abortion attitudes among pairs of political discussants. The results suggest that, in addition to other things, the way the influence process works may depend on the type of attitude being examined.",https://www.jstor.org/stable/42863209,Social Science Quarterly,10.2307_42863209,Sociology,1993.0,0,2.018696250161156e-05,1,0.9996598958969116,0,0.0005017285002395511
,,,From Micro-to Macro-Exchange Structure: Measuring Power Imbalance at the Exchange Network Level,"Emerson's exchange theory builds from the micro-social toward the macro-social level of conception, observation, and analysis. Yet although this theory is important, some of its main concepts were formulated originally in simple, categorical terms and require refinement. Some progress toward such refinement is evident in recent research on the measurement of positional power. Aiming toward further progress, the present paper proposes a procedure for measuring power imbalance at the exchange network level, reports exploratory experimental data testing the measure in a hypothesis implied by Emerson's theory, and suggests a direction for future research using the measure.",https://www.jstor.org/stable/2786762,Social Psychology Quarterly,10.2307_2786762,Sociology,1988.0,0,1.637714376556687e-05,1,0.9999500513076782,0,0.0004992720787413418
,,,URBANIZATION AND MENTAL HEALTH PROBLEMS IN NIGERIA: IMPLICATIONS FOR SOCIAL POLICY,"The article examines mental health problems occuring in Nigeria's urban areas in association with the process of change in the social and economic spheres. Adaptational failures from the standpoint of mental health are assumed not only by the prevalence of mental and psychosomatic disorders, but also by such indices as rate of crime, delinquency, drug addiction, alcoholism, illegitimacy, and prostitution. In a context in which most of the traditional social supports are no longer relevant or operative, the failure of urban centers inNigeria to provide substitutes creates unexpected problems of mental stress, personal dis orientation, and social dis organization for many urban Nigerians. Various community mental health programs if conceived as programs for prevention as well as treatment, must be introduced to engage with the social system in such a way as to modify stresses and build into the Nigerian cities not only treatment but also social and political processes to ameliorate their own conditions. Employment opportunities must also be provided for the city dwellers, which have to be brought into equilibrium with the number and quality of job seekers. This requires rapid industrialization and agricultural development. Population control and rural development will also be crucial in the long run.",https://www.jstor.org/stable/41421620,International Review of Modern Sociology,10.2307_41421620,Sociology,1995.0,0,0.00018920798902399838,1,0.8954010605812073,0,0.19883152842521667
,,,Scientific Management and Class Relations: A Dissenting View,None,https://www.jstor.org/stable/657361,Theory and Society,10.2307_657361,Sociology,1984.0,1,0.9951924085617065,1,0.9999573230743408,0,0.0006259725196287036
,,,The Labor Market in Czechoslovakia: Changing Attitudes of the Population,"Changes in the labor market are observed on the base of recent surveys from various points of view: 1. the production and utilization of human capital; 2. work incentives and rewards; 3. private ownership and job allocation; 4. work perspectives and unemployment. The transitory period will be very confused. The labor market will be segmented and the development of individual segments will be uneven. Already now, new temporary borderlines are being created. The transformation of the post-communist countries is being carried out in a period when the era of market regulation is over in the West and many securities of the labor market are being eroded. Rather than uniform regulation, the dynamics of individual segments and flexibility in work engagement are needed. The results of our surveys show that the population is not very much troubled and that is aware of the depth of the necessary transformation only to a certain degree.",https://www.jstor.org/stable/41133195,Czechoslovak Sociological Review,10.2307_41133195,Sociology,1992.0,0,9.111678082263097e-06,0,0.0003157621540594846,1,0.7975456714630127
,,,Sex and Race Differences in Mathematics Aptitude: Effects of Schooling,"The differential course-work hypothesis posits that intergroup differences in mathematics aptitude result from differences between groups in both the extent and type of in-school exposure to mathematics and to related quantitatively oriented courses. Differential course-work effects on gender differences in mathematics aptitude are ambiguous, and research on racial differences is limited. This article examines the extent of the reduction in sex and race differences in mathematics competence when accounting for course-work in high school. The findings indicate that the previously more-researched sex differences in mathematics competence may or may not be significantly reduced when course work is controlled, depending on which component of mathematics competence is measured. However, racial differences in all components of mathematics competence are significantly reduced when racial differences in exposure to relevant high school course work are taken into account. These findings imply that simply increasing the exposure of females to math-related high school courses may not be sufficient to reduce sex differences in all aspects of mathematics aptitude. However, standardizing the math (and related) curricula of blacks to that of whites could potentially improve all aspects of black students' mathematics performance.",https://www.jstor.org/stable/1388943,Sociological Perspectives,10.2307_1388943,Sociology,1986.0,0,1.3256687452667393e-05,0,0.025344958528876305,1,0.9995195865631104
,,,"Commercial Relations, Contract, and Litigation in Denmark: A Discussion of Macaulay's Theories",The concept of thematization-the process by which actors select a frame of reference for their communications-captures an aspect of dispute resolution that is fundamental to Macaulay's description of noncontractual commercial relations and to many recent dispute resolution studies. Thematization both describes the identification of events as relevant to relations between the parties and links these events to special resources and sanctions. In the thematization process managers apply their knowledge of commercial relations and of transaction structures to ensure freedom to choose between modes of handling matters. A pilot study of Danish firms illustrates the workings of the process. The author's preliminary analysis suggests that thematization within the firm determines how various forms of norms are applied at different times. Businessess continue to employ laws and litigation when other forms of governance of economic relationship fail. Thus law is still an important source of power in business.,https://www.jstor.org/stable/3053687,Law & Society Review,10.2307_3053687,Sociology,1990.0,0,0.00064345623832196,0,0.0002845710841938853,0,0.00010788421786855906
