,stance twd. relt persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
10,,,,One Size does not Fit All Projects: Exploring Classical Contingency Domains,"Not many authors have attempted to classify projects according to any specific scheme, and those who have tried rarely offered extensive empirical evidence. From a theoretical perspective, a traditional distinction between radical and incremental innovation has often been used in the literature of innovation, and has created the basis for many classical contingency studies. Similar concepts, however, did not become standard in the literature of projects, and it seems that theory development in project management is still in its early years. As a result, most project management literature still assumes that all projects are fundamentally similar and that ""one size fits all."" The purpose of this exploratory research is to show how different types of projects are managed in different ways, and to explore the domain of traditional contingency theory in the more modern world of projects. This two-step research is using a combination of qualitative and quantitative methods and two data sets to suggest a conceptual, two-dimensional construct model for the classification of technical projects and for the investigation of project contingencies. Within this framework, projects are classified into four levels of technological uncertainty, and into three levels of system complexity, according to a hierarchy of systems and subsystems. The study provides two types of implications. For project leadership it shows why and how management should adapt a more project-specific style. For theory development, it offers a collection of insights that seem relevant to the world of projects as temporary organizations, but are, at times, different from classical structural contingency theory paradigms in enduring organizations. While still exploratory in nature, this study attempts to suggest new inroads to the future study of modern project domains.",https://www.jstor.org/stable/2661507,Management Science,10.2307_2661507,Management & Organizational Behavior,2001.0,0,0.000265212613157928,1,0.5929131507873535,0,0.0013033845461905003
11,,,,"Trauma, crisis intervention and psychological debriefing","Fifty percent of those involved in catastrophic events will be sufficiently affected to need professional help. The trauma experienced is not simply a set of symptoms (Post Traumatic Stress Disorder), but a major change in the person's ""assumptive world"", the way the self and the world around it is understood. Crisis intervention must focus on allowing victims to psychologically ""process"" the events and their reactions by assisting them to build frameworks of understanding within which their shattered assumptions and new perceptions of themselves may be ordered. Psychological debriefing is put forward as a model of crisis intervention which facilitates this process. A ""Debriefing Continuum"" is identified in which three types of debriefing; group, large group, and individual may be placed and contrasted. A sequence of intervention is proposed.",https://www.jstor.org/stable/26162512,Industrial & Environmental Crisis Quarterly,10.2307_26162512,Management & Organizational Behavior,1993.0,0,0.00013341696467250586,0,0.00029492168687283993,0,0.0003527648514136672
12,,,,Introduction,None,https://www.jstor.org/stable/greemanainte.54.5,Greener Management International,10.2307_greemanainte.54.5,Management & Organizational Behavior,2006.0,0,0.023875057697296143,0,0.0006771616754122078,0,0.00034188461722806096
13,,,,Investigating Occupational Stress: A Methodological Approach,One of the main methodological difficulties in carrying out research in the field of occupational stress is the use of pre-designed health and behavioural questionnaires. This has the serious disadvantage of either not including important stressors at work or distorting the importance of those that are included. This article describes the use of the Repertory Grid technique in identifying sources and manifestations of occupational stress which overcomes this obstacle. A detailed description of the Grid technique as it was applied to air traffic controllers is provided.,https://www.jstor.org/stable/3004073,Journal of Occupational Behaviour,10.2307_3004073,Management & Organizational Behavior,1980.0,0,1.291019179916475e-05,0,0.11237218976020813,0,0.005385759752243757
14,,,,The German Multinationals and Foreign Direct Investment in the United States,"This article reviews the reasons behind the recent upsurge of German foreign direct investment in the United States. In addition to the effect on relative factor cost of changes in the exchange rate, it is a change in strategic approach to the world market that has led German firms to invest rather than export. Managers' increased confidence in their ability to exploit globally their distinctive technical advantages is also important. The author forecasts that leading German firms will continue to invest heavily in the United States and thus reduce the asymmetry in the balance of investment that has heavily favoured the United States in post-war years.",https://www.jstor.org/stable/40245532,Management International Review,10.2307_40245532,Management & Organizational Behavior,1980.0,0,5.414067709352821e-05,0,0.0006969538517296314,0,0.00297252438031137
15,,,,New Estimates of Pharmaceutical Research and Development Spending by US-Based Firms from 1984 to 2003,None,https://www.jstor.org/stable/25151530,Managerial and Decision Economics,10.2307_25151530,Management & Organizational Behavior,2007.0,0,1.5592891941196285e-05,0,0.00019157282076776028,0,2.2738740881322883e-05
16,,,,Embracing Jazz: Exploring Audience Participation in Jazz Music in Its Birthplace,"Jazz is an American art form that has become a reflection of universal passions, emotions and the human experience. However, American audience participation for the art form is declining. New Orleans has long been heralded as the birthplace of jazz, and although jazz music can be heard at various venues as well as music festivals throughout the city, local audiences do not make up the majority at venues dedicated to jazz performance. This study examines barriers to audience participation for jazz music. Specifically, audience participation in New Orleans is explored using the Motivation, Ability, Opportunity model as a guiding framework. Empirical evidence, consisting of residents' insights concerning jazz and possible barriers to participation, was gathered via in-depth interviews. Further, drawing from the literature on consumer engagement and brand experience, a model is proposed to address how such barriers might be overcome through strategic marketing efforts that create meaningful and engaging jazz consumption experiences. Le jazz est une forme d'art américaine qui a su refléter les passions, les émotions et l'expérience humaine. Cependant, la participation du public américain à cet art est en déclin. La Nouvelle-Orléans est reconnue pour être le berceau du jazz, et bien qu'il soit possible d'entendre cette musique dans divers lieux de la ville tels que les festivals de musique, le public local ne constitue pas la majorité dans les lieux dédiés aux spectacles de jazz. Cette étude examine les barrières à la participation du public aux spectacles de jazz. En particulier, cette participation du public à La Nouvelle-Orléans est examinée à travers le modèle des motivations, des compétences et des occasions, lequel sert de cadre de référence. Les évidences empiriques, consistant dans les opinions des résidants au sujet du jazz et dans les possibles barrières à la participation, ont été recueillies au moyen d'entrevues en profondeur. De plus, s'appuyant sur la littérature concernant le comportement du consommateur et l'expérience de marque, un modèle indique comment de telles barrières peuvent être surmontées grâce à l'élaboration de stratégies de marketing susceptibles de créer des expériences de consommation du jazz signifiantes et engageantes. Eljazz es una forma de arte estadounidense que se ha vuelto el reflejo de pasiones, emociones y experiencia humana universales. Sin embargo, la participación del público estadounidense en esta forma de arte va disminuyendo. En Nueva Orleans, la proclamada cuna deljazz, sigue oyéndose esta música en varios lugares y festivales sin embargo en estos eventos dedicados al jazz el público local es minoría. En este estudio se analizan los obstáculos para la participación en la música jazz, y más específicamente, la participación del público de Nueva Orleans utilizando el modelo Motivación, Capacidad, Oportunidad como marco rector. Los datos empíricos se recogieron mediante entrevistas detalladas en las cuales se buscaban la percepción de los residentes del jazz y los posibles obstáculos a su participación. Basándose en la documentación sobre el compromiso del consumidor y la experiencia de marca, se propone un modelo que permita vencer dichos obstáculos mediante esfuerzos estratégicos de mercadotecnia que lleven a la creación de experiencias valiosas y atractivas de consumo de jazz.",https://www.jstor.org/stable/24587099,International Journal of Arts Management,10.2307_24587099,Management & Organizational Behavior,2013.0,0,0.00021006364841014147,0,0.0007514323806390166,1,0.9910741448402405
17,,,,Risk Communication And Transport Of Dangerous Goods: Extending Experiences From Industrial Installations In The European Community,"A European Economic Community directive, commonly known as the ""Seveso Directive,"" regulates industrial production and storage where dangerous substances are present in quantities above a given threshold. Among other requirements, it prescribes that information be provided to persons liable to be affected by a major accident. To the contrary, there is no regulatory framework similar to the Seveso Directive concerning the transport of dangerous goods, and consequently no risk communication provisions are in force. Such divergence in regulating the risk connected with dangerous substances constitutes the basis for the paper. First the paper outlines the EC legislation for industrial installations, then it examines the different transport modes for dangerous goods. Subsequently, taking into consideration the different organizational settings and target populations, it discusses the possibility of establishing risk communication requirements and procedures for the transportation of dangerous goods, similar to those required for chemical installations.",https://www.jstor.org/stable/26162277,Industrial & Environmental Crisis Quarterly,10.2307_26162277,Management & Organizational Behavior,1994.0,0,2.787041557894554e-05,0,0.00023785537632647902,0,0.0003502041508909315
18,,,,Management and Market Reactions to Litigation: Do Shareholders Win When the Company Loses?,None,https://www.jstor.org/stable/4166234,Academy of Management Perspectives,10.2307_4166234,Management & Organizational Behavior,2006.0,0,6.150579429231584e-05,0,0.0009559905738569796,0,0.0029614316299557686
19,,,,Consortia: How far can they go towards helping independent hotels compete with chains?,None,https://www.jstor.org/stable/23743566,Tourism and Hospitality Research,10.2307_23743566,Management & Organizational Behavior,2000.0,0,0.0002822040696628392,0,0.00016155102639459074,0,0.001153553486801684
20,,,,Personal Time and Social Time: Their Role in Live Performance Attendance,"The purpose of this article is to show that live entertainment attendance is influenced by the consumer's conception of personal time and social time. This proposition is empirically tested using two data sources. The data are analysed qualitatively and quantitatively. The results show that conception of leisure time is a determining factor in live entertainment attendance and that the individual's conception of time contributes to our understanding of cultural behaviour. L'objectif de cet article est de montrer que les conceptions du temps (individuel et social) des publics influencent leur consommation de spectacles vivants. Cette proposition est d'abord justifiée. Elle est ensuite testée empiriquement au moyen de deux collectes de données. Celles-ci sont traitées a l'aide des méthodologies complementaires (qualitative et quantitative). Les resultats montrent que la conception du temps social est un déterminant de la consommation de spectacles vivants et que la conception individuelle du temps contribue à expliquer ces comportements culturels. El objetivo de este artkuio es demostrar que las nociones que el público tiene del tiempo (tanto social como personal) influyen en sus patrones de consumo de espectaculos en vivo. Se ofrece pn'mero la justificacion de esta hipótesis, para luego probarla empin'camente. Se efectuan dos recolecciones de datos, los que son analizados mediante métodos complementarios (cualitativos y cuantitativos). Los resultados muestran que la noción de tiempo social es un determinante del consumo de espectaculos en y que el concepto de tiempo personal contn'buye a explicar estos comportamientos culturales.",https://www.jstor.org/stable/41064962,International Journal of Arts Management,10.2307_41064962,Management & Organizational Behavior,2008.0,0,3.9876573282526806e-05,0,0.0019237668020650744,0,0.010010555386543274
21,,,,The Gendered Stereotype of the 'Good Manager' Sex Role Expectations towards Male and Female Managers,"In the past 30 years, U.S. and international studies have shown that societal expectations of the 'good manager' are closely related to the male stereotype. However, it is not clear, whether this stereotype is the same for men and women alike in managerial positions. The results of a German study with 625 students and 376 professionals participating between 1997 and 2005 are presented in the short note below. The main findings of the study are: 1. Female managers are expected to conform more closely to male stereotypes than are male managers. 2. Higher expectations are set from women and respondents with practical experience than from men and those who are inexperienced. 3. The most recent trend shows that male stereotypes increasingly dominate over female stereotypes. We conclude by emphasizing the importance of highly structured and controlled procedures in order to prevent sex-related discrimination in organizational selection and performance appraisal.",https://www.jstor.org/stable/41771571,Management Revue,10.2307_41771571,Management & Organizational Behavior,2006.0,0,0.04807431250810623,1,0.9998037219047546,1,0.999931812286377
22,,,,"Human Resource Configurations, Intellectual Capital, and Organizational Performance","This study introduces intellectual capital into the strategic human resource management literature in an effort to start to fill in the ""black box"" between human resource (HR) activities and organizational performance. Results from a multi-industry survey of 208 organizations indicate that different HR activities are related to three distinct forms of intellectual capital — human, social, and organizational — which, in turn, are related to organizational performance. As such, the study illustrates intellectual capital's mediating role between HR activities and organizational performance.",https://www.jstor.org/stable/40604485,Journal of Managerial Issues,10.2307_40604485,Management & Organizational Behavior,2004.0,0,8.36574599816231e-06,0,0.00020094668434467167,0,5.1237468142062426e-05
23,,,,In the eyes of the beholder: technological and naturalistic interpretations of a disaster,"An assumption shared by most literature on calamities is that blame assignation occurs in technological but not natural disaster situations. In this study of a major urban flood, 65% of the sample assigned responsibility for the disaster to human agents and technological failures. Those who attributed economic and psychological losses to human agency believed that natural disasters are controllable and that it is the responsibility of government to control nature through the use of technology and regulation. If natural disasters are increasingly being interpreted in technological terms, collective responses are likely to call for technological means to assess and minimize risks.",https://www.jstor.org/stable/26162823,Industrial Crisis Quarterly,10.2307_26162823,Management & Organizational Behavior,1992.0,0,0.034354954957962036,0,0.00019752242951653898,0,0.00027508995844982564
24,,,,Managerial Resistance to Change: Romania's Quest for a Market Economy,"This exploratory investigation relates traditional theories on resistance to change to privatization of the Romanian economy. The authors identified several ""inhibitors"" which have served to stall Romania's attempts to achieve a free-market economy. While a lack of practical training in western-style management practices may be a limiting factor, Romanian managers are generally open to change. However, they are still deeply rooted in the thought processes instilled during Romania's command economy and a belief that the size and economic importance of their firms will serve as buffers against the ""agents of change"". To the extent that change is viewed as a threat to their personal interests, resistance can be expected. The question, ""what is in it for me?"", must be satisfactorily addressed if Romanian managers are expected to become active partners in implementing necessary changes. In dieser Untersuchung wird dargestellt, welche Relation zwischen Privatisierungsprozessen in der Rumänischen Wirtschaft und klassischen Theorien über den Widerstand gegenüber Veränderungen besteht. Die Autoren haben einige ""Hemmschuhe"" entdeckt, welche Rumäniens Bemühungen um eine freie Marktwirtschaft behindern. Während ein Mangel an praktischer Erfahrung mit westlicher Unternehmensführung ein solcher hemmender Faktor ist, liegt doch bei rumänischem Managern eine prinzipielle Bereitschaft zu Veränderungen vor. Trotzdem sind sie noch fest verwurzelt im Gedankengut, welches zu Zeiten der Rumänischen Planwirtschaft herrschte. Insofern Veränderung als Bedrohung persönlicher Interessen betrachtet wird, muß mit Widerstand gerechnet werden. Die Frage ""Was springt für mich dabei heraus?"" muß berücksichtigt werden, will man die rumänischen Manager als aktive Partner bei der Umgestaltung ihres Wirtschaftssystems gewinnen.",https://www.jstor.org/stable/23280249,Journal of East European Management Studies,10.2307_23280249,Management & Organizational Behavior,1999.0,0,0.13699010014533997,0,0.044402431696653366,0,0.0015223866794258356
25,,,,"Distribution, Efficiency and Incentives in Organizations","This paper formulates incentives for individual workers in competitive firms in general equilibrium. Piece-rates and rewards for relative performance can elicit efficient effort in equilibrium, but workers benefit from collusion to reduce effort and consumption and expropriate capitalists by lowering the rental, while employers may choose equilibria with excessive `effort'. When there is uncertainty about true individual effort, prizes and limited penalties for best and worst performance can support efficient solutions, while income-risk declines as the size of the team grows. If penalties are prohibited, ex post inequality is multiplied and welfare declines.",https://www.jstor.org/stable/2487046,Managerial and Decision Economics,10.2307_2487046,Management & Organizational Behavior,1982.0,0,1.361723570880713e-05,0,0.017413228750228882,0,0.0008656617137603462
26,,,,The experiential aspect of rural home-stay among Chinese and Malay students using diary method,"Tourism involving home-stays is one of the Malaysian government's key efforts to diversify its cultural tourism product. Tourists to the programme are adopted by their foster families experience a more traditional life in Malay villages. Using a diary method, this study examines the experiential aspects of home-stay holidays among domestic students in Kampung Lonek. A total of 19 diaries were content-analyzed using NVivo, which is a qualitative data analysis (QDA) computer software package produced by QSR International. Based on the findings, the home-stay experiential model is developed which explains the different phases of travel experience and their components. The on-site experience reveals three distinct dimensions: 'environmental experience', 'activity, culture and knowledge experience' and 'human interaction experience'. The study discusses the differences between Chinese and Malay students in their home-stay experience. The article highlights its methodological, theoretical and managerial contributions.",https://www.jstor.org/stable/23745510,Tourism and Hospitality Research,10.2307_23745510,Management & Organizational Behavior,2010.0,0,0.00012531028187368065,0,0.00034590568975545466,0,0.0009347698069177568
27,,,,The Coordination of Long-Range Planning in Large German Companies,None,https://www.jstor.org/stable/40396774,International Studies of Management & Organization,10.2307_40396774,Management & Organizational Behavior,1973.0,0,0.00020510052854660898,1,0.9999788999557495,0,0.0003454837133176625
28,,,,SEEbalance,"BASF is co-operating with Karlsruhe University and the Öko-Institut e.V., Germany, in developing a method for measuring social aspects of sustainability with the aim of incorporating them into BASF's existing eco-efficiency analysis. Whereas numerous instruments are used in practice for the ecological assessment of products and processes, a gap still has to be closed by developing social life-cycle assessment procedures. Based on the principles of the BASF eco-efficiency analysis on the one hand, and a product-related specification of the social sustainability dimension on the other hand, a social life-cycle assessment procedure has been developed which is now to be tested and discussed. The new integrated instrument, the so-called SEEbalance",https://www.jstor.org/stable/greemanainte.45.79,Greener Management International,10.2307_greemanainte.45.79,Management & Organizational Behavior,2004.0,0,1.4923813978384715e-05,0,0.000634076539427042,0,0.0012545909266918898
29,,,,"A Multi-dimensional Analysis of Managers' Power — Functional, Socio-political, Interpretive-discursive, and Socio-cultural Approaches","Managers' power within organisations has been analysed by several approaches: Orthodox management and organisation studies ('functional approach'), Critical Management Studies ('socio-political approaches'), interpretive, discourse-oriented and constructivist concepts ('interpretive-discursive approaches'), and anthropological, socio-psychological and sociological approaches ((socio-cultural approaches'). In organisational reality functional, socio-political, interpretive-discursive, and socio-cultural aspects are closely related and intertwined. However, because of division of intellectual labour, probably more because of different worldviews, researchers often make use of these approaches quite selectively.Such focussing has its advantages but also weaknesses. This paper therefore argues that it often helps to investigate complex phenomena such as managers' power in multi-dimensional ways.",https://www.jstor.org/stable/41783630,Management Revue,10.2307_41783630,Management & Organizational Behavior,2009.0,0,0.011639832518994808,0,0.0617966502904892,0,0.00016447847883682698
30,,,,Restraining opportunism in hotel management contracts,"Management contracts are widely used throughout the world as a mechanism for separating the ownership of hotel properties and their management. The research reported here concerns how Thai hotel owners seek to control the international hotel chains where properties are operated under hotel management contracts (HMCs). Adopting agency theory, the research findings reported here suggest that restraints against agent opportunism tend to focus on two key aspects: contractual controls and operational controls. Additionally, the findings also suggest that the outcome control needs to be viewed as a priority for effectively controlling hotel management companies when using HMCs.",https://www.jstor.org/stable/23745455,Tourism and Hospitality Research,10.2307_23745455,Management & Organizational Behavior,2008.0,0,0.00012438312114682049,0,0.00017300914623774588,0,0.00012204278027638793
31,,,,Aspiration Performance and Railroads' Patterns of Learning from Train Wrecks and Crashes,"We link two influential organizational learning models-performance feedback and experiential learning-to advance hypotheses that help explain how organizations' learning from their own and others' experience is conditioned by their aspiration-performance feedback. Our focus is on learning from failure; this kind of learning is essential to organizational learning and adaptation, and a necessary complement to studies of learning from success. Our analysis of U.S. Class 1 freight railroads' accident costs from 1975 to 2001 shows that when a railroad's accident rate deviates from aspiration levels, the railroad benefits less from its own operating and accident experience and more from other railroads' operating and accident experiences. These findings support the idea that performance near aspirations fosters local search and exploitive learning, while performance away from aspirations stimulates nonlocal search and exploration, providing a foundation for constructing more-integrated models of organizational learning and change.",https://www.jstor.org/stable/25146107,Organization Science,10.2307_25146107,Management & Organizational Behavior,2007.0,0,2.9093760531395674e-05,0,0.0005985524039715528,0,0.016368303447961807
32,,,,DETERMINANTS OF THE NUMBER OF INFORMATION PRODUCERS IN THE CREDIT MARKET,"According to the theory of financial intermediation, there is one financial intermediary in the credit market. That is, the credit market is monopolistic. Mamy literatures studying the main-bank system in Japan use this idea. However, some empirical evidences suggest that there seem to exist multiple financial intermediaries in the credit market. This implies that we have to take into account such a situation. In this paper, we consider when there are multiple numbers of financial intermediaries in the credit market and how the number of financial intermedisries is determined. And we also consider what is the determinants of the number of financial intermediaries in the credit market.",https://www.jstor.org/stable/43294935,Hitotsubashi Journal of Commerce and Management,10.2307_43294935,Management & Organizational Behavior,1992.0,0,1.9177357899025083e-05,0,0.0001863406941993162,0,7.11361863068305e-05
33,,,,Race and strategic organization,None,https://www.jstor.org/stable/23727568,Strategic Organization,10.2307_23727568,Management & Organizational Behavior,2006.0,0,2.9694852855755016e-05,0,0.00016389827942475677,1,0.9997299313545227
34,,,,Interfirm Rivalry and Managerial Complexity: A Conceptual Framework of Alliance Failure,"Empirical research indicates that more than half of strategic alliances fail, and the outcomes of alliance failure can be devastating. Despite the increased concern about managing strategic alliances, the field still lacks a theoretical framework to describe the conditions and dynamics leading to the failure of strategic alliances. This paper attempts to distill, derive, and integrate theories across different disciplines into a unified framework that offers a better understanding of alliance failure. The conceptual framework focuses on two primary sources of alliance failure: interfirm rivalry and managerial complexity. We propose that strategic alliances fail because of the opportunistic hazards as each partner tries to maximize its own individual interests instead of collaborative interests. Also, strategic alliances fail because of the difficulties in coordinating two independent firms (i.e., coordination costs), and in aligning operations at the alliance level with parent firms' long-term goals (i.e., agency costs). The paper extends the theoretical framework by looking into a process model of alliance development and failure.",https://www.jstor.org/stable/2640395,Organization Science,10.2307_2640395,Management & Organizational Behavior,2001.0,0,0.00010200314136454836,0,0.008139270357787609,0,0.01121773011982441
35,,,,Determinants of share-based compensation plans in Central and Eastern European public companies: An institutional analysis,"This paper discusses the adoption of share-based compensation plans among Central and Eastern European (CEE) public companies composing major national stock exchange indices in Poland (WIG 20), the Czech Republic (PX) and Hungary (BUX). The analysis shows that the spread of such pay practices depends on the characteristics of major shareholders of the company, the state and foreign parent companies being the most prominent influencing factors. The results are discussed in the light of the legal environment in respective countries. Im Zentrum des vorliegenden Artikels stehen aktienbasierte Vergütungspläne in mittel- und osteuropäischen (MOE) Aktiengesellschaften, die in den nationalen Leitindizes in Polen (WIG 20), der Tschechischen Republik (PX) und Ungarn (BUX) vertreten sind. Die Analyse zeigt, dass die Verbreitung dieser Praktiken wesentlich von den Charakteristika der Hauptaktionäre der Unternehmen abhängt. Hier stellen der Staat und die ausländischen Unternehmen die wichtigsten Einflussfaktoren dar. Die Ergebnisse der Studie werden vor dem Hintergrund des regulativen Kontextes in den jeweiligen Ländern diskutiert.",https://www.jstor.org/stable/23281763,Journal of East European Management Studies,10.2307_23281763,Management & Organizational Behavior,2011.0,0,0.032174430787563324,0,0.0005498600658029318,0,0.0004368684021756053
36,,,,Forecasting and evaluating the tourist hotel industry performance in Taiwan based on Grey theory,"Although Grey theory is extensively adopted to construct the forecasting models for evaluating organisational performance, it is rarely used in the hotel industry. This study draws on the GM(1,1) model to accurately predict the coming year's output value and on Grey relational analysis to select the best-performing hotels in Taiwan. Measures of hotel performance — including profit before tax, ROI before tax, revenue per employee, REVPAR, revenue per square meter, and occupancy rate — were collected from the Tourism Bureau in Taiwan. These data contain the performance of 56 international tourist hotels in 2002 and industry data from 1992 to 2005. Results in this study indicate that four-point GM(1,1) is the best model for predicting output value in the future. In addition, this investigation reveals the various competitive advantages and strategies in these top hotels, such as their appropriate site, higher price, and higher occupancy rate.",https://www.jstor.org/stable/23745523,Tourism and Hospitality Research,10.2307_23745523,Management & Organizational Behavior,2008.0,0,3.338214446557686e-05,0,0.00022773454838898033,0,0.00017335494339931756
37,,,,Managing local tourism: Building sustainable tourism management practices across local government divides,"Increasingly, the challenge for local government in managing tourism is not in preparing plans and policies or undertaking new initiatives but in collaborating across internal organisational silos and across artificial administrative boundaries to provide a more integrated approach. The Managing Local Government Master Class was a programme designed to develop a 'joined-up' integrated approach to local government tourism management. This article outlines the Master Class approach within the increasingly complex context facing Australian local governments, and discusses two applications in Northern Rivers, NSW and Perth's Eastern Metropolitan Region. It was found that while the Master Class offers a mechanism to increase collaboration and leverage the benefits of working more effectively within and across councils, there remain political and administrative impediments to improved collaboration.",https://www.jstor.org/stable/23745472,Tourism and Hospitality Research,10.2307_23745472,Management & Organizational Behavior,2011.0,0,0.000345749082043767,0,0.00023792844149284065,0,0.00026428824639879167
38,,,,Matrix Organizations and Control Systems,None,https://www.jstor.org/stable/40226635,Management International Review,10.2307_40226635,Management & Organizational Behavior,1971.0,0,5.2105282520642504e-05,0,0.00023076136130839586,0,0.00500407675281167
39,,,,INTERNATIONAL INDUSTRIAL ORGANIZATION AND COMPETITION POLICY,None,https://www.jstor.org/stable/43294817,Hitotsubashi Journal of Commerce and Management,10.2307_43294817,Management & Organizational Behavior,1974.0,0,1.727880044199992e-05,0,0.0010528534185141325,0,0.0013745158212259412
