stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,"Doing No Harm: Enabling, Enacting, and Elaborating a Culture of Safety in Health Care","Medical error has reached epidemic proportions, and researchers have developed insufficiently sophisticated models of safety culture to match the complexity of the challenge of safety in health care. This has left providers and researchers with an inadequate conceptual toolkit for improving safety. To rectify the resulting crisis we consolidate fragments of management research into a comprehensive and integrative framework of how patient safety is produced and sustained through safety culture. Safety culture involves actions that single out and focus safety-relevant premises and cultural practices that reduce harm. This entails (a) enabling, which consolidates the premises for a safety culture; (b) enacting, which translates consolidated premises into concrete practices that prioritize safety; and (c) elaborating, which enlarges and refines the consolidation and translation. We close by discussing the implications of our framework for future research on key issues such as efficiency-safety trade-offs, interactions among components of the framework, and feedback loops.",https://www.jstor.org/stable/29764991,Academy of Management Perspectives,10.2307_29764991,Management & Organizational Behavior,2010.0,1,0.9999536275863647,1,0.998365581035614,0,0.0002905002038460225
,,,Human Needs as Predictors for Organizational Commitment and Job Involvement: An Exploratory Empirical Study,"While the literature on the determinants of organizational commitment (OC) and job involvement (JI) is vast, little has been studied about the impact of human needs. In search for the institutional stars, this study examines whether human needs can serve a predictor for both high OC and high JI. Exploratory empirical results based on quantile regressions suggest that the needs for achievement, belonging, and power are more important than others in predicting OC and JI. In addition, the basic needs profile does not seem different between the institutional star and the average employee, however, differences between the two groups arise from the differences in the intensity of needs. Preliminary evidence also shows that the profile tends to be slightly lower for female workers or senior workers.",https://www.jstor.org/stable/41783583,Management Revue,10.2307_41783583,Management & Organizational Behavior,2008.0,1,0.7810136079788208,0,0.00024296235642395914,0,0.13168667256832123
,,,Television representations of food: A case study,"This paper describes the results of a semiotic analysis of one popular television food programme: 'Rick Stein's Taste of the Sea'. The analysis suggests that this programme produces a number of conventional meanings within which specific messages about food are embedded. These findings indicate that television food programmes offer the hospitality provider important insights into the contemporary cultural formation of the consumer and into the ways by which key product concepts can be marketed, which can be of benefit to the hospitality industry. In addition, the categorisation of concepts and discourses upon which food programmes draw for their meanings offers a methodological and conceptual framework for future research of the genre.",https://www.jstor.org/stable/42919209,International Journal of Tourism and Hospitality Research,10.2307_42919209,Management & Organizational Behavior,1999.0,1,0.9563668370246887,0,0.00505705364048481,0,9.099447925109416e-05
,,,Championing the Rhetoric? ‘Corporate Social Responsibility’ in Ghana's Mining Sector,"This paper contributes to a growing body of literature that critically examines how mining companies are embracing community development challenges in developing countries, drawing on experiences from Ghana. Despite receiving considerable praise from the donor and industry communities, the actions being taken by Ghana's major mining companies to foster community development are facilitating few improvements in the rural regions where activities take place. Companies are generally implementing community development programmes that are incapable of alleviating rural hardship and are coordinating destructive displacement exercises. The analysis serves as a stark reminder that mining companies are not charities and engage with African countries strictly for commercial purposes.",https://www.jstor.org/stable/greemanainte.53.43,Greener Management International,10.2307_greemanainte.53.43,Management & Organizational Behavior,2006.0,1,0.9836714863777161,1,0.9999406337738037,0,0.001542870420962572
,,,Aligning or Inflating Your Leadership Self-Image? A Longitudinal Study of Responses to Peer Feedback in MBA Teams,"Based on transformative learning theory (Mezirow, 1991), our study investigates the effects of peer feedback on MBA students' self-ratings of leadership competence over time. A total of 221 individuals participating in MBA project teams rated themselves and others on four aspects of leadership competence at three time points during the program. After students received peer feedback, their self-ratings decreased at subsequent time points, 3 and 6 months later; this effect was stronger for women than for men. In particular, women more quickly align their self-ratings with peers' views of them, whereas men continue to inflate their self-images. Results are discussed in terms of their implications for individual learning and management education.",external-fulltext-any,Academy of Management Learning & Education,10.2307_23412349,Management & Organizational Behavior,,1,0.7609356045722961,0,0.00017041862884070724,0,0.06267319619655609
,,,"On Making the Illustration Illustrative: A Comment on Banker, Conrad and Strauss","Hospitals are firms which produce multiple outputs. Taking account of the multiproduct nature of the firm is important for appropriate analyses of hospital technology to be conducted. This paper comments on a recent study which was aimed at comparing two methods of analyzing hospital costs which incorporate multiple outputs and inputs. The comment focuses on how outputs are defined and problems related to aggregation of outputs. Limitations on the ability to interpret results reported by Banker, Conrad and Strauss are identified.",https://www.jstor.org/stable/2632249,Management Science,10.2307_2632249,Management & Organizational Behavior,1988.0,0,2.9509943487937562e-05,0,0.000500624009873718,0,5.380186121328734e-05
,,,Mode Combinations and International Operations: Theoretical Issues and an Empirical Investigation,"An enduring characteristic of extant literature on foreign operation modes is its discrete choice approach, where companies are assumed to choose one among a small number of distinctive alternatives. In this paper, detailed information about the operations of six Norwegian companies in three key markets (China, UK and USA) is used as the basis for an exploration of the extent to which, and how and why, companies combine clearly different foreign operation modes. We examine their use of foreign operation mode combinations within given value activities as well as within given countries. The study reveals that companies tend to combine modes of operation; thereby producing unique foreign operation mode ""packages"" for given activities and/or countries, and that the packages are liable to be modified over time— providing a potentially important optional path for international expansion. The data show considerable variation across cases; ranging from extensive use of mode combinations to a singular focus on a specific mode of operation. The study contributes to a refinement of our understanding of the path of internationalisation, and throws up a number of awkward theoretical questions about the process.",https://www.jstor.org/stable/41411009,MIR: Management International Review,10.2307_41411009,Management & Organizational Behavior,2011.0,0,3.099461173405871e-05,1,0.692649245262146,0,0.0007227620808407664
,,,Understanding resort visitors through segmentation,"Tourist hotel resorts have been considered as indispensable elements in the major tourism industry component of accommodation for several decades. Tourist hotel resorts are sought after by various segments of domestic and overseas tourists all over the world for various holiday purposes. There have been several focused tourism research contributions over the last two decades about their location, life-cycle stages, service quality and management. Few researchers, however, have focused their research on the resort hotel guests' resort selection preferences, satisfaction by resort service, opinion on resort holiday and preference for quality of resort guest activities. This paper tries to fill this vacuum in the resort tourism literature by exploring the visitors' views on resort selection, satisfaction, opinion and preferences. The research attempted to profile 776 visitors holidaying in resorts in selected resorts of Australia through a well-structured, four-page questionnaire divided into five parts containing 18 questions focusing on their reasons for resort selection, resort satisfaction, resort opinion and resort preferences under subtitles. The research also focused on their gender, age, level of education, occupation, life-cycle category, residency, nationality, postcode, years of patronisation, intimate selection choices and willingness to recommend their experiences. An attempt was made to profile the resort visitors through a cluster analysis in order to understand the underlying dimensions on the basis of the above-mentioned factors, segmenting them into identifiable groups. Four discernable clusters of resort visitors and their distinguishing characteristics were identified on the basis of their demographics. Further, through a one-way ANOVA analysis the clusters are compared with each other for further understanding and clarity. The results shows that the gender factor does not have much influence whereas life-cycle, education and age have considerable influence in segmenting the resort clientele. The four clusters were correlated with the selection, satisfaction, opinions and preferences. The results will be discussed in terms of future resort developments, themes, generating resort activities focusing on young families and service quality.",https://www.jstor.org/stable/23745881,Tourism and Hospitality Research,10.2307_23745881,Management & Organizational Behavior,2005.0,0,2.5282066417275928e-05,1,0.9916055202484131,0,0.002074702875688672
,,,The Role of Learning Agility in Executive Career Success: The Results of Two Field Studies,"Although learning agility has been used in many companies as an important consideration for selecting high potential talent, very little scholarly research has been conducted on this construct. This paper presents the results of two field investigations -one cross-sectional and one longitudinal. In Study 1, it was found that learning agility was significantly correlated with the following two objective career outcomes: (a) CEO proximity and (b) total compensation. The study also observed a positive relationship between learning agility and ratings of leadership competence. In Study 2, it was found that learning agility was significantly related to career growth trajectory. High learning agile individuals were promoted more often and received higher salary increases than low learning agile individuals over a period of ten years. Implications for talent management and leadership development are discussed.",https://www.jstor.org/stable/43488163,Journal of Managerial Issues,10.2307_43488163,Management & Organizational Behavior,2013.0,0,3.200499850208871e-05,0,0.00023566889285575598,0,0.027133850380778313
,,,STRATEGIC TRADE POLICY IS NOT GOOD STRATEGY,"The focus of this paper is the process by which strategic trade policy is implemented. Due to an institutional structure under which democratic government is responsive to pressure groups, strategic trade policy may include strong protectionist elements. While the objective of strategic trade policy is to promote new firm-specific advantages for chosen industries, in practice a type of corporate ""shelter"" results. In terms of the strategic management literature we find that there is a type of ""administrative heritage"" in government policy making that hinders the implementation of effective strategic trade policy. From the viewpoint of both corporate strategy and public policy, we find that the result is neither efficient nor effective.",https://www.jstor.org/stable/43294924,Hitotsubashi Journal of Commerce and Management,10.2307_43294924,Management & Organizational Behavior,1990.0,0,1.3556645171775017e-05,0,0.00022001504839863628,0,0.0002029596798820421
,,,A concept of leadership for strategic organization,None,https://www.jstor.org/stable/23728616,Strategic Organization,10.2307_23728616,Management & Organizational Behavior,2011.0,0,0.020949849858880043,0,0.0024122968316078186,0,0.0032904790714383125
,,,Exploring the future of tourism and quality of life,None,https://www.jstor.org/stable/23745394,Tourism and Hospitality Research,10.2307_23745394,Management & Organizational Behavior,2009.0,0,0.00021630591072607785,0,0.00019767842604778707,0,0.00038528855657204986
,,,"COMPARATIVE STUDY OF THE TRAINING, CAREERS, AND ORGANIZATION OF ENGINEERS IN THE COMPUTER INDUSTRY IN THE UNITED STATES AND JAPAN",None,https://www.jstor.org/stable/43294887,Hitotsubashi Journal of Commerce and Management,10.2307_43294887,Management & Organizational Behavior,1985.0,0,4.47688034910243e-05,1,0.9999198913574219,0,0.003413393395021558
,,,How to connect strategy research With broader issues that matter?,None,https://www.jstor.org/stable/43581869,Strategic Organization,10.2307_43581869,Management & Organizational Behavior,2012.0,0,0.0020464102271944284,0,0.00020057341316714883,0,0.00021300878142938018
,,,The Palace Hotel: Case study: When is the customer wrong?,"The case focuses on a critical incident that occurred in a typical Swiss palace hotel at a turning point in that hoteVs history. The hotel's special offer of a low-rated 75th anniversary package to local residents produces a mismatch between guest expectations and habitual service practices. Two elderly package guests request 'special after-dinner drinks' and are offered an exorbitantly expensive option without seeing the price in advance. Their shocked disbelief at the price of the dessert wine they have consumed is met with disdain by the hotel's management accustomed to entertaining a more prestigious clientele. The case brings into question the hotel's general marketing philosophy and particularly its application of relationship marketing. Internal politics, change management, intercultural issues, organisational design, strategic direction, positioning, service recovery and business ethics are interwoven into the structure of the case.",https://www.jstor.org/stable/42919211,International Journal of Tourism and Hospitality Research,10.2307_42919211,Management & Organizational Behavior,1999.0,0,0.0004051684227306396,0,0.07602717727422714,0,0.0006343360873870552
,,,Evaluation of a Joint Labor-Management Council,"The authors evaluate the efforts of a joint labor-management council in a Department of Defense logistics organization. A pretest-posttest control group design was employed, which controlled for pretest differences. The primary data analyzed came from a sixteen-factor quality of worklife survey, although management effectiveness indicators and anecdotal data were also collected. Results indicate that the joint labor-management council had no effect on any of the survey factors, and the only management effectiveness indicator that was affected was grievance rates, which declined. Top level management and union personnel, however, were convinced that the council had a positive effect in facilitating union-management cooperation. Means for improving the council process are discussed.",https://www.jstor.org/stable/3380181,Public Productivity Review,10.2307_3380181,Management & Organizational Behavior,1982.0,0,3.781784835155122e-05,0,0.0008107410976663232,0,0.005140220746397972
,,,Exploring the Global–Local Axis: Telecommunications and Environmental Sustainability in Japan,"Nippon Telegraph and Telephone Corporation (NTT) is the primary telecommunications carrier in Japan. Over the past few years, the NTT Group, as it is now called following the July 1999 reorganisation, has diversified its services from telephone to multimedia. Like many countries around the world, Japan—with direct investment from NTT—has developed a seamless multifunctional communication infrastructure that includes metallic lines, optical fibres, wireless systems and satellites. NTT, however, views the future direction of its corporate development as being focused on the types and mode of information dissemination, rather than simply infrastructure development.",https://www.jstor.org/stable/greemanainte.32.89,Greener Management International,10.2307_greemanainte.32.89,Management & Organizational Behavior,2000.0,0,0.005485644098371267,0,0.0002802013768814504,0,0.00019516528118401766
,,,The Role of Dismissal Protection in Personnel Management. From the Point of View of Personnel Managers,"This article concerns itself with the effects of dismissal protection on personnel management behaviour within companies. The basis of the empirical analysis is 41 expert interviews conducted in 2006 as well as information available from a standardised survey of 750 personnel managers which was carried out in 2007. As a whole the effects of dismissal protection on personnel management are perceived by personnel managers to be insignificant. In general, employment law is considered to be a necessary framework which is, for the most part, non-obstructive yet at the same time nonsupportive. Negative judgements relating to dismissal protection referred to its possible prohibitive effects (in the context of new-hirings), company-internal effects (in the context of confrontations within the company) and preventive effects (in the context of the dismissal of personnel). The prohibitive effect in the form of the non-hiring of new employees or the turning to other forms of employment rather than full time is rather weak. The decision to avoid hiring new employees is dependent upon the personnel manager's perception of employment law and not so much on an economical framework or the characteristics of the organisation. The role of dismissal protection within the company is also quite limited. In particular, having been employed by the company for a long time is considered very important for business management reasons. The judgements of those responsible for personnel are not to be explained with clear situational variables such as the business situation of the company or the development of the company's number of employees. There seems to be, rather, quite a lot of leeway regarding the understanding of Employment law and that this is dependent on the personnel managers' competence in this area as well as other factors. These findings are also relevant in light of the announced harmonisation with the European Labour Court (Green Paper labour law)",https://www.jstor.org/stable/41783563,Management Revue,10.2307_41783563,Management & Organizational Behavior,2007.0,0,0.0010072039440274239,0,0.0003333401109557599,0,0.0033597000874578953
,,,Assessment of Statistical Power in Contemporary Strategy Research,"The concept of statistical power was reviewed, and the power of 44 recently published empirical studies in strategic management was analyzed. Using small, medium, and large estimates of effect size, standardized 0.05 α, and assuming nondirectional nulls, the mean power figures were 0 23, 0 59, and 0.83 for the three levels, respectively These results were generally similar to findings in other social sciences and were considered particularly important for strategic management research, given the correlational nature of many strategic management investigations and the complexity and evolving stage of the field which make small effect size more likely Ways to improve statistical power in strategic management research were discussed.",https://www.jstor.org/stable/2486023,Strategic Management Journal,10.2307_2486023,Management & Organizational Behavior,1987.0,0,1.5289349903468974e-05,0,0.028632888570427895,0,0.00019430687825661153
,,,Career Dynamics in a Steelworks of the Future,"Recent organizational design efforts to provide more attractive jobs, including most attempts to apply socio-technical system principles, have failed to account for the dynamic nature of the environment. The practice of socio-technical design should respond to this failing by accommodating both environmental change and workers' confidence to cope with it. An attempt to make this accommodation, in a design for a model future steelworks, is described. The design incorporates principles such as anticipatory learning, a ""tent"" organization culture, a task oriented plant layout, a democratic governance system, local information systems, and dialectical decision making. It offers one answer to how careers within organizations, and organizations surrounding careers, can each influence the other while remaining adaptive to external change. The problems raised by dynamic environments can be met by putting learning and exploration back into workers' careers.",https://www.jstor.org/stable/3000309,Journal of Occupational Behaviour,10.2307_3000309,Management & Organizational Behavior,1984.0,0,0.00016567423881497234,1,0.9999456405639648,0,0.00731571763753891
,,,Muddling through a nuclear-political emergency: multilevel crisis management in West Germany after radioactive fallout from Chernobyl,"Nuclear fallout from the Chernobyl reactor blaze took the West German authorities completely by surprise. Attempts to control the situation encountered various obstacles: (1) insufficient preparedness; (2) rapidly evolving social conflicts and public demands; (3) complex, interwoven structures of competence; and (4) geographically fluctuating problem loads. Regression analysis indicates that the responses of lower-level administrations depended on the resources available to them, such as scientific expertise, measurement devices and administrative experience. The existence of local hazards and general risk perceptions also influenced crisis management. In particular, this article scrutinizes the organizational crisis evolving from conflicts between federal, state and local governments. A multilevel research design is applied to demonstrate how divergent radiological assessments and ill-defined responsibilities amplified the crisis, and how a degree of normalcy was recovered by interlocking the different levels of government.",https://www.jstor.org/stable/26162646,Industrial Crisis Quarterly,10.2307_26162646,Management & Organizational Behavior,1991.0,0,4.685103704105131e-05,0,0.00019516026077326387,0,0.0002674384450074285
,,,GREEN UTOPIANISM AND THE GREENING OF SCIENCE AND HIGHER EDUCATION,"This article deals with the description of research and higher education in three important green literary utopias: Ernest Callenbach's Ecotopia, Ursula K. Le Guin's The Dispossessed, and Marge Piercy's Woman on the Edge of Time. Some common characteristics are pointed out: Compared with the present situation, research and higher education are deprofessionalized, deinstitutionalized, and democratized. Academic activities and institutions are integrated with other spheres of society, especially the civil society. According to central scholarly contributions to the field of university-society relations, processes of change in a similar direction are taking place in our societies. This article argues in favour of maintaining the university as an institutional core of academic activities. On the other hand, to advance public debate and democratic decision making about science and technology, universities should also soften their borders and cooperate and communicate more with social movements and different forums for political and cultural debate.",https://www.jstor.org/stable/26162376,Organization & Environment,10.2307_26162376,Management & Organizational Behavior,2006.0,1,0.9999383687973022,1,0.9998663663864136,0,6.740365643054247e-05
,,,"CEO Narcissism, Audience Engagement, and Organizational Adoption of Technological Discontinuities","We examine the responses of major pharmaceutical firms to the advent of biotechnology over the period 1980 to 2008 to explain why established firms vary in their adoption of technological discontinuities. Combining insights from upper echelons theory, personality theory, and research on organizational responses to new technologies, we posit that narcissistic chief executive officers (CEOs) of established firms will be relatively aggressive in their adoption of technological discontinuities. We propose, however, that the effect of a CEO's narcissism on organizational outcomes will be moderated by audience engagement—the degree to which observers view a phenomenon as noteworthy and provocative—which varies over time. When audience engagement is high, narcissistic CEOs will anticipate widespread admiration for their bold actions and thus will invest especially aggressively in a discontinuous technology. Drawing from work on managerial cognition, we further hypothesize that CEOs' narcissism will influence their top managers' attention to a discontinuous technology, an association that will also be moderated by audience engagement. Finally, we suggest that managerial attention to the discontinuous technology will subsequently be reflected in company investments in the new technological domain. Results provide considerable support for our hypotheses and highlight the role of narcissism in the context of radical organizational change, the influence of audience engagement on executive behavior, and the effect of executive personality on managerial attention.",https://www.jstor.org/stable/43546650,Administrative Science Quarterly,10.2307_43546650,Management & Organizational Behavior,2013.0,1,0.9994582533836365,0,0.0004828195960726589,0,0.4643222391605377
,,,"DEVELOPING AUTONOMY, INITIATIVE, AND RISK-TAKING THROUGH A LABORATORY DESIGN",None,https://www.jstor.org/stable/41575566,International Studies of Management & Organization,10.2307_41575566,Management & Organizational Behavior,1978.0,0,0.00012046156916767359,0,0.00017636248958297074,0,0.0037427511997520924
,,,Diseconomies of scale: A study of development constraints in small tourism firms in central New Zealand,"Small tourism firms (STFs) in both industrialised and developing countries, are a rapidly expanding and dynamic sector of regional tourism industries. Small firm development is being touted as the path for enhancing local economies and delivering more appropriate development to marginal and/or peripheral social, cultural and physical environments. Small firms have been also linked to creative product development and innovative entrepreneurship. Ironically, the small scale of operation, the essence of its vibrancy, also acts as a severe and debilitating constraint to development with potential negative implications for the quality and consistency of the wider regional product. Attempts to improve performance and managerial expertise within the STF sector have often proved misguided and misdirected largely due to poor understanding of the issues affecting owner/managers. This paper examines the range of influences in the external institutional environment that affect the development of small tourism firms. These include government agency roles, policy infrastructure, managerial support, and relationships with the financial sector. The discussion draws on a study of the Centre Stage macro region of New Zealand to contribute to a more integrated conceptualisation through which effective policies that enhance rather than constrain the activities of STFs can be conceived and implemented.",https://www.jstor.org/stable/23743723,Tourism and Hospitality Research,10.2307_23743723,Management & Organizational Behavior,2004.0,0,0.12393543869256973,0,0.0012900806032121181,0,0.2035210132598877
,,,Multinational Strategy and Structure: A Review and Research Agenda,"A review essay, including a background to the Special Issue. We sketch out the major changes that we see underway in the strategies and structures of MNEs. Some of these are developed in the papers that follow; others are based on extant literature and empirical observation. The five papers in the special issue are introduced in context of an integration-responsiveness framework, and we delineate some of the contributions of each paper.",https://www.jstor.org/stable/40836009,MIR: Management International Review,10.2307_40836009,Management & Organizational Behavior,2004.0,0,4.498214184422977e-05,0,0.0001771379029378295,0,0.003533237613737583
