,stance twd. cult_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
28,,,,Semiotics and the Study of Occupational and Organizational Cultures,"Semiotics offers an approach for researching and analyzing systems of meaning that undergird occupational and organizational cultures. Following a synopsis of semiotic theory, this paper presents data from an ethnosemantic study of a funeral home and demonstrates that semiotically identical codes structure a funeral director's understanding of his various tasks. The analysis not only suggests that semiotic research captures the redundant themes that characterize insiders' interpretations of this work world, but that it is also sensitive to the mundane, but critical, aspects of a culture. Finally, the study shows how semiotic research can elucidate rules by which members of a work culture consistently and coherently generate meaning.",https://www.jstor.org/stable/2392249,Administrative Science Quarterly,10.2307_2392249,Management & Organizational Behavior,1983.0,1,0.9997162222862244,0,0.0002302975917700678,0,0.00041961908573284745
29,,,,"THE POLITICS OF THE NEW BIO-LOGIC: An Introduction to the Symposium on Manufacturing Nature, Naturalizing Machines",None,https://www.jstor.org/stable/26161847,Organization & Environment,10.2307_26161847,Management & Organizational Behavior,1999.0,1,0.96126788854599,0,0.0005530191701836884,0,0.000234379040193744
30,,,,Information in Latin American Organizations: Some Cautions,"This paper represents an attempt to articulate problems inherent in transposing U.S. information theory and assumptions to Latin business corporations. Limitations of western management and behavioral science approaches are noted, and an hacienda model is suggested as a cultural context for understanding the means by which information processing occurs. Bureaucratic constraints, integrating mechanisms, and the critical role of informal information channels are argued to be central dimensions of a comprehensive analysis of organizational functioning in Latin America. A critique of traditional data-gathering methodologies is made in light of Latin values, norms, and political realities, and implications are discussed regarding alternative schemes for obtaining more valid organizational information.",https://www.jstor.org/stable/40227518,Management International Review,10.2307_40227518,Management & Organizational Behavior,1980.0,1,0.9916423559188843,0,0.00032503277179785073,0,0.0003889219951815903
31,,,,"Taking off: Category contrast and organizational mortality in the UK airline industry, 1919-64","This study analyzes the role of Category contrast in the context of an emerging industry. The level of contrast, the degree to which a category stands out from its background, appears to be an important aspect of the legitimation process, but as of yet poorly understood. The article explores three potential roles: as providing legitimacy to the category as such, as allowing for legitimacy spillovers to peripheral members, and as strengthening density-dependent legitimation. The study investigates these potential roles using longitudinal data on organizational naming patterns in the early passenger airline industry in the United Kingdom.",https://www.jstor.org/stable/43581891,Strategic Organization,10.2307_43581891,Management & Organizational Behavior,2013.0,1,0.9999653100967407,1,0.9633453488349915,1,0.8433064818382263
32,,,,The Relationship between Citizen Involvement in the Budget Process and City Structure and Culture,"This study examines the use of citizen participation in the budget process in council-manager cities. Citizen involvement was expected to vary based on city election methods, population, racial diversity, and political culture. The study used an International City/County Management Association survey that asked city managers about their use of seven different citizen participation methods in the budget process. The most often used methods involve officials sharing information about the budget rather than citizen input. Use of these methods did not vary significantly among cities with different election methods, but differences were found based on size and political culture. The results have implications for the development of effective participation mechanisms.",https://www.jstor.org/stable/3380726,Public Productivity & Management Review,10.2307_3380726,Management & Organizational Behavior,2000.0,1,0.8997910618782043,0,0.00016505048552062362,0,3.9024635043460876e-05
33,,,,A CROSS-CULTURAL COMPARISON OF MANAGERIAL BEHAVIOR IN ENGLAND AND FRANCE,None,https://www.jstor.org/stable/41103787,International Studies of Management & Organization,10.2307_41103787,Management & Organizational Behavior,1972.0,1,0.8660356402397156,0,0.0014656856656074524,0,0.0006446077022701502
34,,,,Building a New Institutional Infrastructure for Corporate Responsibility,"This paper describes an emerging institutional infrastructure around corporate responsibility that has resulted in the evolution of initiatives such as the Global Reporting Initiative, the social investment movement, and related efforts that place more emphasis on corporate responsibility, accountability, transparency, and sustainability. Using a framework that roughly classifies initiatives into state/government, market/economic, and civil society categories, the paper illustrates the rapid evolution of new infrastructure that is pressuring companies to be more responsible.",https://www.jstor.org/stable/27747465,Academy of Management Perspectives,10.2307_27747465,Management & Organizational Behavior,2008.0,1,0.9999903440475464,0,0.003640233539044857,0,0.00016450670955237
35,,,,Jumping Ship: The Diffusion of Strategy Abandonment,"This paper focuses on organizations' abandonment of strategy, which may be driven jointly by contagion and competition from other organizations. This paper treats both explanations but emphasizes contagion. I argue that strategy abandonment is contagious because the future performance of current and alternative strategies is highly uncertain, causing decision makers to examine the actions of other organizations in the industry for clues to the correct action. Contagion from organizations easily observed by the focal organization is stronger than contagion from other organizations, causing corporate links across markets to become important routes for the contagion of strategy abandonment. This theory is tested on a sample of radio stations abandoning a strategy and is supported by evidence that contagion of abandonment occurs through the influence of an organization's social reference groups.",https://www.jstor.org/stable/2393793,Administrative Science Quarterly,10.2307_2393793,Management & Organizational Behavior,1995.0,1,0.9997591376304626,0,0.1276843249797821,1,0.9729586243629456
36,,,,CSR with Chinese Characteristics: An Examination of the Meaning of Corporate Social Responsibility in China,"This paper explores the meaning of corporate social responsibility (CSR) informed by the unique socio-historical contexts of China. The paper analyzed reports of 20 China-based companies published in 2012 using a grounded theory approach. Analysis of the 1473-page data reveals that the Chinese organizations mobilize CSR in search of a new ground of legitimacy during the transition from planned to market economy. However, although economic efficiency is highlighted, with the embracing of social harmony, relational responsibilities, and hierarchical social structure, this notion of CSR resembles inheritance of a redecorated socialist past rather than conversion to liberal-democratic ideals. This research contributes to the development of a global CSR framework by questioning the neoliberal ideals as the taken-for-granted foundation of corporate social responsibilities. It also has practical implications for multinational corporations interested in exploring the Chinese market.",https://www.jstor.org/stable/jcorpciti.61.71,Journal of Corporate Citizenship,10.2307_jcorpciti.61.71,Management & Organizational Behavior,2016.0,1,0.9911298751831055,0,0.000674705021083355,0,7.80512418714352e-05
37,,,,Changing the Effects of Culture on Problem-Solving in Management Education,None,https://www.jstor.org/stable/40226178,Management International Review,10.2307_40226178,Management & Organizational Behavior,1973.0,1,0.9980251789093018,0,0.001881335861980915,0,0.030950667336583138
38,,,,An Assessment of the Scientific Merits of Action Research,"This article describes the deficiencies of positivist science for generating knowledge for use in solving problems that members of organizations face. Action research is introduced as a method for correcting these deficiencies. When action research is tested against the criteria of positivist science, action research is found not to meet its critical tests. The appropriateness of positivist science is questioned as a basis for judging the scientific merits of action research. Action research can base its legitimacy as science in philosophical traditions that are different from those which legitimate positivist science. Criteria and methods of science appropriate to action research are offered.",https://www.jstor.org/stable/2392581,Administrative Science Quarterly,10.2307_2392581,Management & Organizational Behavior,1978.0,1,0.9917222857475281,0,0.0015593406278640032,0,0.00014758591714780778
39,,,,Participation with Supervisor and Subordinate Authoritarianism: A Path-Goal Theory Reconciliation,"This research sought to reconcile previous studies in which participation and job satisfaction of subordinates were sometimes effectively moderated by their authoritarianism and sometimes not. The degree of task repetitiveness was hypothesized to determine when the authoritarianism of subordinates moderated between their participation with their supervisors and job satisfaction. It was hypothesized that: (1) participation would be satisfying to low-authoritarian subordinates regardless of the degree of task repetitiveness but would be satisfying to high-authoritarian subordinates only on tasks with low repetitiveness. (2) Highly repetitive tasks would be less conducive to ego involvement than low-repetitive tasks. These relationships were tested by questionnaires returned from 353 employees of a manufacturing organization who represented all levels of the hierarchy. The results supported the research, reconciling conflicting results obtained in previous studies.",https://www.jstor.org/stable/2392048,Administrative Science Quarterly,10.2307_2392048,Management & Organizational Behavior,1976.0,1,0.9245975017547607,0,0.008484974503517151,0,0.0018031150102615356
40,,,,Implicit Understandings in Channels of Distribution,"Formal agreements can be used to achieve coordination among channel members. These agreements work by exerting explicit control over the members who make the agreements. However, implicit understandings can be used as a partial substitute for more formal agreements. In this paper, we show that implicit understandings can develop as channel members learn about each other's behavior. We show that... -This learning leads to the use of the implicit influence each channel member has over the other's behavior. -The learning leading to an implicit understanding requires some form of experimentation or historical observation. -This learning results in an oscillating retail price. -When only one channel member learns the other's behavior, both channel members obtain greater profits than when neither member learns, and both channel members obtain less profits than when both members learn. However, the member who does not learn obtains more profits than the member who learns. We also show that... -Implicit understandings result in greater channel profits than in their absence. -Implicit understandings cannot fully substitute for an explicit contract. -Implicit understandings result in a retail price which is higher than the price resulting from an explicit contract but lower than the price resulting in the absence of an implicit understanding. -Implicit understandings develop as channel members learn each other's behavior. We demonstrate that the form of learning discussed in this paper is consistent with a somewhat general demand function. Finally, the paper provides some examples of both symmetrical learning, where both channel members learn at the same speed and asymmetrical learning where channel members learn at different speeds.",https://www.jstor.org/stable/2631458,Management Science,10.2307_2631458,Management & Organizational Behavior,1985.0,0,0.0001070588332368061,0,0.0006101912003941834,0,0.00014471466420218349
