stance twd. cult persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score
,,,The Emergence of Penal Extremism in California: A Dynamic View of Institutional Structures and Political Processes,"This article examines legal and political developments in California in the 1970s and early 1980s that led to extreme changes in the state's use of imprisonment. It uses historical research methods to illustrate how institutional and political processes interacted in dynamic ways that continuously unsettled and reshaped the crime policy field. It examines crime policy developments before and after the passage of the state's determinate sentencing law to highlight the law's long-term political implications and to illustrate how it benefited interest groups pushing for harsher punishment. It emphasizes the role executives played in shaping these changes, and how the law's significance was as much political as legal because it transformed the institutional logics that structured criminal lawmaking. These changes, long sought by the law enforcement lobby, facilitated crime's politicization and ushered in a new era of frenetic and punitive changes in criminal law and punishment. This new context benefited politicians who supported extreme responses to crime and exposed the crime policy process to heightened degrees of popular scrutiny. The result was a political obsession with crime that eschewed moderation and prioritized prison expansion above all else.",https://www.jstor.org/stable/43670397,Law & Society Review,10.2307_43670397,Sociology,2014.0,1,0.999983549118042,0,0.005610461812466383,0,0.0006205592071637511
,,,"Economic Socialization in the American Family: The Prevalence, Distribution, and Consequences of Allowance Arrangements","We examined the prevalence, distribution, and consequences of allowance for 1,000 ninth grade students. There was a positive relationship between parental socioeconomic status and the provision of allowance, and most ninth graders did household chores in exchange. While there were no significant effects on children's savings, receipt of allowance was associated with weaker intrinsic and extrinsic work values. The implications for family practitioners are discussed.",https://www.jstor.org/stable/585138,Family Relations,10.2307_585138,Sociology,1994.0,1,0.8132702708244324,0,0.006687273737043142,0,0.011830655857920647
,,,Presidential Address: Doing It Our Way! Women in Harness Horse Racing,None,https://www.jstor.org/stable/43615074,Journal of Applied Social Science,10.2307_43615074,Sociology,2013.0,1,0.7767354846000671,1,0.8833597898483276,0,0.15968333184719086
,,,"ACTOR FORMATION, SOCIAL CO-ORDINATION, AND POLITICAL STRATEGY: SOME CONCEPTUAL PROBLEMS IN THE STUDY OF SOCIAL MOVEMENTS","A survey of the literature on social movements shows that the contributions by American and European scholars have shed considerable light on two problems: why social movements emerge with particular identities and how organisers give coherence to a movement and co-ordinate the actions of their followers. The challenge faced by movement organisers in seeking to bring about change – a challenge that forces a social movement to engage strategically as a social actor, with its political-institutional environment — has received, however, relatively little attention. Seeking to fill this gap in the literature I argue that the distinct analytical issues raised by the problem of political strategy which social movements face can only be addressed through a synthesis that builds upon, but goes beyond, the contributions made by American and European scholars. The challenge is to conceive of social movements as strategic actors, while acknowledging the implications that a movement's collective identity and social nature has for an analysis of strategic action.",https://www.jstor.org/stable/42855611,Sociology,10.2307_42855611,Sociology,1995.0,1,0.9518908858299255,0,0.0002107501932187006,0,8.582558075431734e-05
,,,THE POLITICS OF RESEARCH: LOCAL CONSULTATION IN A CITY CHALLENGE CONTEXT,"'Local consultation', 'community involvement', and 'partnership' are terms that are assuming increasing prominence in the discourse on urban regeneration. The actual substance of such labels is unclear, but with the increasing diffusion of City Challenge and similar initiatives it is likely that 'people-related' themes will be a particular concern for policy-makers in these contexts. Drawing on my experience as a consultant on a project that aimed to operationalise such notions through an exercise designed to elicit the needs of young people in a City Challenge area, this paper examines the ways in which political issues suffuse the research process in contexts like this. Three key issues are examined: how the political priorities of policy-makers impinge upon the conduct of research from the pre-fieldwork stage to well beyond the conclusion of the project; the difficulties experienced in convincing gatekeepers of the efficacy of novel research methods (drama was used in the project); and the importance of the micro-political aspects of research. It is argued that political processes saturate all aspects of projects of this kind, but such processes can be actively negotiated and managed by researchers, and in a manner that tempers the 'natural scientific' predilections of research sponsors.",https://www.jstor.org/stable/42855551,Sociology,10.2307_42855551,Sociology,1995.0,0,0.00044116651406511664,0,0.00010704658052418381,0,3.403568553039804e-05
,,,The Integration of Difference in French Indochina during World War II: Organizations and Ideology concerning Youth,None,https://www.jstor.org/stable/658131,Theory and Society,10.2307_658131,Sociology,2002.0,0,0.02873375453054905,0,0.0010553604224696755,1,0.9360108375549316
,,,COUNTERFEIT INTIMACY: A Dramaturgical Analysis of an Erotic Performance,"Observations of customer-waitress interaction in a topless club over a two and one half month period are presented. Data were generated by a participant observer who worked as a waitress-dancer in a topless club during this period. Analysis focuses on the setting, appearance and manner of the ""cynical performance"" (Goffman, 1959), orchestrated by the waitress through which she uses some-nudity, nudity and nude dancing to stimulate the fantasies of her patrons and thereby creates ""counterfeit intimacy"" (Boles and Garbin, 1987). The overriding goal of the club and the waitress-dancers is to make money through the sale of alcohol and table dances; customer goals are to have a ""sexual experience"" (not necessarily intercourse), of some sort. Various ""ploys"" enacted by both customers and waitresses, are analyzed, with the ultimate goal of these ploys being to enhance the effectiveness of the ""counterfeit intimacy"" contrived by both parties. Conclusions suggest that all forms of ""counterfeit"" can be studied as sources of benefits for people whose expectations have not been met by legitimate institutions and that rationality in performance is maximized in performances explicity designed to be counterfeits.",https://www.jstor.org/stable/23029687,International Journal of Sociology of the Family,10.2307_23029687,Sociology,1996.0,0,0.00015587352390866727,0,0.00028411540552042425,0,0.0023093423806130886
,,,"Race, Class, and Perceptions of Affluence","This paper analyzes the effects of race, education, and income on perceptions of the extent of affluence in the United States. The analysis uses survey data from a probability sample of Hamilton County, Ohio, adults. Race, education, and income are each found to have significant additive effects on affluence perceptions. Blacks, less educated people, and people with less income tend to perceive greater affluence. The analysis suggests the importance of considering perceptions of the total distribution of rewards when considering the effects of deprivations.",https://www.jstor.org/stable/20831059,Sociological Focus,10.2307_20831059,Sociology,1977.0,0,1.3816998944093939e-05,0,0.0023248784709721804,1,0.9583349823951721
,,,Reflections on an Intellectual Adventure,None,https://www.jstor.org/stable/23211995,Contemporary Sociology,10.2307_23211995,Sociology,2012.0,0,0.00010032301361206919,1,0.9997250437736511,0,0.0022588884457945824
,,,"Listening to the monkey: Class, youth and the formation of a ""musical habitus""","This article explores the musical lives and music-related activities of a group of young people living on a deprived housing estate in North East England. Through the use of ethnography, I uncover how central aspects of these young people's taste for, and uses of, their preferred 'new monkey' music function in respect of the values inscribed in their community's past, the problems and challenges facing them in the present, as well as their anticipations of the future. To help think through the complex and sometimes contradictory processes at work within these young musico-cultural lives, I employ and specifically adapt a key Bourdieusian concept to encouraging thinking about such issues in terms of a musical habitus. As an invitation to explore the nexus of personal, social and historical factors that conjoin music's possibilities with the contexts and conditions of lived practices, the concept of musical habitus reveals substantial explanatory potential.",https://www.jstor.org/stable/24048063,Ethnography,10.2307_24048063,Sociology,2010.0,0,0.08807443082332611,0,0.0004455580492503941,0,0.0009492640965618193
,,,The Normative Foundations of Social Theory: An Essay on the Criteria Defining Social Economics,"Two views of human nature underlie economic theory and any theory incorporating either view is not social economics. The first view sees human nature as metaphysically or genetically given. This view has difficulty giving differences in the structure and functioning of different societies any importance. The other view asserts that humans are entirely ""created"" by society. In this view, humans are merely malleable ""stuff"" which a society molds into ""building blocs"" appropriate to that society. Hunt argues that social economics lies mid-way between these extremes. Humans are ""molded"" by the social system of which they are a part, but that socialization is never total because humans are not ""malleable stuff."" There is a human nature that sometimes resists and occasionally negates socialization. Human nature is a complex set of innate needs and potentialities. Socialization creates ""wants"" the satisfaction of which may contribute to the satisfaction of the underlying needs, and leads to activities that develop to a certain degree the underlying potentialities. It is the task of social economics to identify those needs and potentialities and to formulate a ""vision"" of the fully developed human being. Hunt concludes that neoclassical economic theory is not social economics while the theories of Veblen and Marx are social economics.",https://www.jstor.org/stable/29770330,Review of Social Economy,10.2307_29770330,Sociology,2005.0,0,0.00017617744742892683,0,0.00038849053089506924,0,0.0004502242081798613
,,,extravaganzas of show and tell,None,https://www.jstor.org/stable/41802562,Contexts,10.2307_41802562,Sociology,2005.0,0,0.03728611022233963,0,0.00021522093447856605,0,0.009756330400705338
,,,REFERENCE GROUP THEORY: A SYNTHESIZING CONCEPT FOR THE DISENGAGEMENT AND INTERACTIONIST THEORIES,"The literature in social gerontology focuses on the criterion of successful aging. Havighunt suggests, ""one of the major aims of gerontology is to provide society and individuals with advice on the making of societal and individual choices about such things as retirement policy, social security, housing, where and with whom to live,. .. . and what to do in free time."" Ideas about successful adjustment revolve around the elderly person's activity level. Moreover, in studying the psycho-social area of the elderly, the increasing eclecticism suggests a need for a theoretical synthesis. The reference group concept offers an alternative to the current theoretical controversy between the interactionist position and the functionalist postion (disengagement). The reference group concept appears to qualify these two existing theories and give additional relevancy to the notion of an aged subculture.",https://www.jstor.org/stable/41495915,International Review of Sociology,10.2307_41495915,Sociology,1971.0,0,0.00038684337050653994,0,0.0001831984700402245,0,0.02936341054737568
,,,"NATURAL RESOURCE USE IN A TRANSNATIONAL TREADMILL: INTERNATIONAL AGREEMENTS, NATIONAL CITIZENSHIP PRACTICES, AND SUSTAINABLE DEVELOPMENT",None,https://www.jstor.org/stable/23262684,Humboldt Journal of Social Relations,10.2307_23262684,Sociology,1995.0,0,0.0007155941566452384,0,0.0018880022689700127,0,0.0016461474588140845
,,,The Poverty of Deductivism: A Constructive Realist Model of Sociological Explanation,"Despite the lip service which many sociologists pay to Popper's hypothetico-deductive model (HDM) of theory testing, few if any major social theories have been definitively falsified. The reason is that sociological explanations do not fit the deductivist model of explanation: They do not contain universal or statistical ""covering laws"" from which falsifiable hypotheses could be deduced. Sociological explanations are better conceived in realist terms as causal models of the social processes that produce certain outcomes. While few models are completely false, some are nonetheless more empirically adequate than others. This essay argues that (1) the CLM is inadequate to sociology and that (2) attempts to reformulate the HDM are therefore destined to fail. It then outlines (3) a constructive realist model (CRM) of sociological explanation and uses it to develop (4) explanatory realist (ER) criteria for evaluating explanations. Deductivist and realist approaches to methodology are then compared through an examination of Skocpol's States and Social Revolutions.",https://www.jstor.org/stable/3649366,Sociological Methodology,10.2307_3649366,Sociology,2004.0,0,0.00710136815905571,0,0.0002472774067427963,0,0.0015246375696733594
,,,River Forecast Application for Water Management:,"Managing water resources generally and managing reservoir operations specifically have been touted as opportunities for applying forecasts to improve decision making. Previous studies have shown that the application of forecasts into water management is not pervasive. This study uses a scenario-based approach to explore whether and how people implement forecast information into reservoir operations decisions in a workshop setting. Although it was found that participants do utilize both forecast and observed information, they generally do not utilize probabilistic forecast information in a manner to appropriately minimize risks associated with the tail end of the forecast distribution. This study found strong tendencies for participants to wait for observed information, as opposed to forecast information, before making decisions. In addition, study participants tended to make decisions based on median forecast values instead of considering forecast probability. These findings support the development of quantitative decision support systems to optimally utilize probabilistic forecasts as well as for forecast agencies such as NOAA/NWS to continue investments in work to better understand contexts and environments where forecasts are used or have the potential for use in supporting water management decisions.",https://www.jstor.org/stable/24907523,"Weather, Climate, and Society",10.2307_24907523,Sociology,2013.0,0,1.9626548237283714e-05,0,0.0016327867051586509,0,0.0017345119267702103
,,,"THE ""BRAIN DRAIN"" CONTROVERSY IN A COMPARATIVE PERSPECTIVE","The study examined empirically the attitudes of 1,400 international students toward returning to the country of origin upon completion of their studies and training in the United States, and the effect of these attitudes on the loss of professional skills by the country of origin. The sample represented 31 less developed and developed countries of Asia, Africa, and Latin America based on Berry's ""technological and demographic scales."" The sample was drawn from 20 American universities and colleges with a minimum enrollment of 400 international students. The investigation was needed both for the development of the scientific fund of knowledge and as some objective standard by which to assess the frequently stated notion that impoveirshed nations have been robbed of their talent and stripped of their human resources. The research evaluated the concept of ""gain"" or ""loss"" inherent in the international exchange of scholars, researchers, and students which is ambiguously referred to as the ""brain drain"" It may more appropriately be considered, however, as ""brain gain"" or ""brain exchange."" Most of the African and Latin American students plan to return to their home countries. It is the Asian students, specifically the students from the developed countries, who wish to remain in the United States permanently. Asian students infields where there is employment opportunity in the home country plan to return. This group includes doctors, engineers, agriculturalists, and scientists. Asian students in fields where employment opportunities are limited in the home country but more plentiful in the United States are likely to plan to remain in the United States permanently. Examples of non-functional disciplines, from the traditional economic developmental model, would be humanities and social sciences. Indigenous universities in the developed countries of Asia may tend to produce surplus graduates that preclude the return of their nationals educated in the United States.",https://www.jstor.org/stable/41495914,International Review of Sociology,10.2307_41495914,Sociology,1971.0,0,3.118521999567747e-05,0,0.0004351231618784368,1,0.6926604509353638
,,,Stage Fright or Death Wish: Sociology in the Mass Media,None,https://www.jstor.org/stable/2654472,Contemporary Sociology,10.2307_2654472,Sociology,1998.0,0,0.007162442896515131,0,0.02821161411702633,0,0.004855481907725334
,,,Walking an Emotional Tightrope: Managing Emotions in a Women's Prison,"Until recently, the emotional experiences of women in prison have been overlooked by symbolic interactionists and social scientists. Similarly, research relevant to the sociology of emotions has not been
         explored in the social context of a correctional institution for women. The purpose of this study is to investigate emotional experiences from the unique perspective of incarcerated women. This research
         examines how women in prison perceive and manage their emotional lives while confined and asks whether their chosen strategies have an impact on their interactions and thus affect the institutional environment.
         Data were collected through in-depth interviews with thirty-five women incarcerated in a correctional institution located in the midwestern United States. Using a semistructured interview schedule, respondents
         were asked about a range of topics, one of which involved their emotional lives while incarcerated. Findings indicate these women define their emotional experiences as being simultaneously provocative and
         constrained. Respondents suggest that their emotional resources are individually, contextually, and culturally grounded. They discuss employing various strategies to manage their emotional lives while incarcerated,
         including diversions, spiritual pursuits, blocking exercises, self-reflection, and humor. The majority of the techniques employed to control emotions are intrapersonal. Respondents describe personal efforts
         designed to manage their emotional experiences rather than share their feelings with others. 
    ",https://www.jstor.org/stable/10.1525/si.2002.25.1.117,Symbolic Interaction,10.1525_si.2002.25.1.117,Sociology,2002.0,0,0.00019635033095255494,0,0.00031506543746218085,0,0.0017568526091054082
,,,MOTHERING IN THE BORDERLANDS: Policing Native American Women's Reproductive Healthcare,"Native American women's motherhood has historically been targeted for surveillance, control, and outright removal by the State in its efforts to ensure cultural homogeneity within its borders (Smith 1996 and 2002; White and Martin 2008; Volscho 2010); state-sponsored reproductive healthcare provides one means of producing and protecting these borders. At the same time, contemporary discussions of ""traditional family values"" as they derive from politicized constructions of the Standard North American Family (Smith 1999) marginalize all other family forms, re-locating these families outside of the ideological borders of social and political acceptability. In this article, I argue that motherhood is central to both the nationalized family ideal and the construction of deviant families and therefore women's reproductive bodies become a specific target of regulation. Native women as potential and actual mothers challenge the ideal Standard North American Family by inserting racial/ethnic and cultural diversity into the national narrative of Traditional Family Values. It is my contention that the Indian Health Service (IHS), a federal agency located in the Department of Health and Human Services, provides an avenue for the State's control of these divergent identities through the policing of Native women's motherhood, and that this is accomplished through complex interactions of control and neglect practiced on Native women's reproductive bodies.",https://www.jstor.org/stable/23029787,International Journal of Sociology of the Family,10.2307_23029787,Sociology,2011.0,1,0.9902183413505554,0,0.0002019731909967959,0,0.38950684666633606
,,,"""Landlord and Tenant"" and ""Irrigation Societies: Zangjeras"" from Ilocano Rice Farmers: A Comparative Study of Two Philippine Barrios",None,https://www.jstor.org/stable/23892793,Philippine Sociological Review,10.2307_23892793,Sociology,1972.0,0,2.312621654709801e-05,0,0.00041756368591450155,0,0.001201485050842166
,,,"""Taking the Gravel Road"": Educational Aspirations of Working Class Malay Youths","Applying Bourdieu's theoretical framework on the correspondence between mental structures and social structures, this paper examines the persistence of educational underachievement among working class Malay youths in Singapore. Accordingly, my first objective is to document the social structure, namely a largely working class neighbourhood where these Malay youths have grown up. My second aim is to analyse how everyday cultural practices and interactions among peers in the neighbourhood significantly reinforced these youths' levelled aspirations. I maintain that by believing in 'taking the gravel road', which is symbolically rough, uneven and uncertain, these youths justified the irrelevance of doing well in school. Succinctly, this essay demonstrates the close correspondence between the perceptions of the odds of success and the educational underperformance of the Malay youths. Hence, this paper would be of interest to scholars in the Malay Peninsula, as well as experts concerned with the intertwining of education with class and ethnicity.",https://www.jstor.org/stable/43497872,Asian Journal of Social Science,10.2307_43497872,Sociology,2012.0,0,0.0004906857502646744,1,0.9816384315490723,1,0.9857191443443298
,,,Individual and Institutional Determinants of Multidimensional Poverty: A European Comparison,"In this article we evaluate to what extent between-country differences in the probability of being 'multidimensional' poor can be explained by a range of 'domain-specific' indicators of welfare regime arrangements. To this end, a so-called micro-macro model is estimated, testing the 'independent' effect of institutions, as opposed to alternative explanations such as between-country differences in population composition and economic affluence. Although we conclude that institutional arrangements do influence the risk of multidimensional poverty in the expected direction, we also find that bringing the 'economy' back into the analyses has a non-trivial impact. Our results point at several avenues for further discussion and research. First, although the more elaborate welfare regimes generally do a better job in preventing poverty, the level of transfers is not always 'proportional' to the general standard of living in these countries. Second, we only find partial confirmation for the often cited 'negative' impact of labour market flexibility and the related equality-jobs trade-off. While stricter employment regulations do reduce the poverty risk (be it only after controlling for economic affluence), flexibility in terms of the availability of fixed-term labour seems to be preferable to unemployment, even if at the individual level, labour market flexibility increase the likelihood of being poor quite severely.",https://www.jstor.org/stable/27734618,Social Indicators Research,10.2307_27734618,Sociology,2008.0,1,0.7633097171783447,1,0.7138398885726929,0,0.16524523496627808
,,,Schooling in Capitalist America Revisited,"Recent research has entirely vindicated the authors' once-controversial estimates of high levels of intergenerational persistence of economic status, the unimportance of the heritability of IQ in this process, and the fact that the contribution of schooling to cognitive development plays little part in explaining why those with more schooling have higher earnings. Additional research has supported the authors' hypotheses concerning the role of personality traits, rather than skills, per se, as determinants of labor market success. Recent contributions to the study of cultural evolution allow the authors to be considerably more specific about how behaviors are learned in school.",https://www.jstor.org/stable/3090251,Sociology of Education,10.2307_3090251,Sociology,2002.0,0,0.002121075987815857,0,0.00023750185209792107,1,0.724941074848175
,,,Tensions of Social Justice: 2002 Presidential Address to the Pacific Sociological Association,"The achievement of social justice is vital to the future of human civilization. Debates about social justice are deeply complicated, however, as evident in the range of responses to the events of September
         11, 2001. In this essay I trace micro-level phenomena and processes that contribute to understanding social justice and the tensions that surround it. I argue that the Western social contractarian conception
         of justice does not incorporate the legacies of historical inequities and therefore is less useful than conceptions of justice that emphasize compassion, need, and forgiveness. I review a wide-ranging social
         psychological literature on social cognitive and social interactive dynamics that both contribute to and could be used to minimize social inequities, emphasizing dynamics of social categorization and ways
         in which social power shapes the construction and use of social categorization. I argue that the achievement of social justice will require not only institutional interventions but, in the end, that individuals
         act for justice. 
    ",https://www.jstor.org/stable/10.1525/sop.2003.46.1.1,Sociological Perspectives,10.1525_sop.2003.46.1.1,Sociology,2003.0,0,0.023915451020002365,0,0.0006466959021054208,0,0.0014904921408742666
,,,METHOD AS RUSE: FOUCAULT AND RESEARCH METHOD,"A ruse is a gimmick or device used as a strategy or instrument. For Foucault, method can best be understood as a ruse rather than as a method which promises truth. Methods regulate what can be discovered and the discourse about what can be discovered. In this essay, the realist and idealist models of method are criticized from Foucault's perspective. Both models rely on some transcendental reality which -- from Foucault's perspective are constructed by the practices of research itself. Even though Foucault rejects foundational assumptions, he does have a method which has its homogeneity, its systematicity, and its generality. Foucault's method is outlined, discussed, and related to similar methods. Finally, Foucault's critics are noted and answered.",https://www.jstor.org/stable/23253062,Mid-American Review of Sociology,10.2307_23253062,Sociology,1994.0,0,0.1043899655342102,0,0.0004804300260730088,0,0.002541432622820139
,,,The Welfare State and Equality? Stratification Realities and Aspirations in Three Welfare Regimes,"Welfare regimes differ in their impact on social inequality in important ways. While previous research has explored the shape of stratification across nations and citizens' normative attitudes towards inequality, scant attention has been given to citizens' perceptions of actual stratification across welfare regimes. Using the 1999 International Social Survey Programme, we compare perceptions of inequality in Germany, Sweden, and the United States. More specifically, we ask how the stratification reality in each country is assessed by its citizens, whether it meets their stratification aspirations, and whether these perceptions differ systematically both across and within welfare regimes. Our results show that perceptions vary in a clear and meaningful way across countries as well as between different social groups within a given welfare regime. For instance, Americans are more likely to view society as unequal, but only slightly more likely to prefer that extent of inequality. Conversely, the Swedish clearly view their society as more equal than citizens in the United States and Germany, yet not nearly as equal as they would like it to be. Our multivariate results reveal important similarities and differences as well, such as socio-economic cleavages in the United States, and cleavages between labour market insiders and outsiders in Germany.",external-fulltext-any,European Sociological Review,10.2307_41495486,Sociology,,0,1.8333064872422256e-05,0,0.00028937956085428596,1,0.9768499135971069
,,,"Exploring the Reliability of Measures of Family Relations, Parental Attitudes, and Parent-Child Relations in a Disadvantaged Minority Population","A review of parenting questionnaires showed that a number did not have published test-retest reliability, and had not been developed with minority or disadvantaged parents. Four measures were selected for further study: Parental Attitudes to Childrearing, the Parental Acceptance Rejection Questionnaire, Raising Children, and the Conflict Tactics Scale. Forty mothers, living in economically disadvantaged inner-city locations, completed the measures twice, from 2 to 4 weeks apart. Significant test-retest reliability was established for all four measures and internal consistency was similar to published reports. Some reservations were noted about the relevance of certain questions for parents living in stressful conditions.",https://www.jstor.org/stable/352785,Journal of Marriage and Family,10.2307_352785,Sociology,1993.0,0,1.983779475267511e-05,0,0.0004448590916581452,1,0.9715781807899475
,,,Contextual Factors Surrounding Conflict Resolution While Dating: Results from a National Study,"This research uses a national representative sample of persons who date and examines the processes surrounding the use and receipt of rational, verbally aggressive, and physically aggressive tactics in disputes. It also addresses whether verbal and physical aggression vary by gender, age, social classs, and alcohol consumption. The results show that women are at least as likely as men to engage in physical disputes. The young, lower class, and those who drink before a conflict are also more prone to physical aggression. The context surrounding aggressive incidents reveals that verbal aggression may be the seed of physical aggression, and that aggressive as well as nonaggressive behavior is reciprocated in kind.",https://www.jstor.org/stable/585655,Family Relations,10.2307_585655,Sociology,1991.0,0,3.0072653316892684e-05,0,0.00010654817742761225,0,0.17333759367465973
,,,Sociology and Ideology,None,https://www.jstor.org/stable/23620685,Sociological Bulletin,10.2307_23620685,Sociology,2009.0,1,0.9990230798721313,0,0.0007355108391493559,0,0.00033699936466291547
