,stance twd. cult_fuzzy persp. (1: positive; 0.5: maybe; 0: none),notes,other persp.?,article_name,abstract,jstor_url,journal_title,edited_filename,primary_subject,publicationYear,cult_pred,cult_score,rel_pred,rel_score,dem_pred,dem_score,org_score,org_pred
10,,,,Who’s to Blame? The Identity Talk of Welfare-to-Work Program Managers,"U.S. welfare policy and devolution involve contradictions in implementing financial assistance as welfare workers must attempt to place clients with severe barriers in formal employment while meeting restrictive requirements. In interviews with North Carolina welfare-to-work program managers, the authors find that they engage in identity talk to construct images of themselves as effective workers despite these contradictions, using the symbolic identities of the “middle-class achiever” and the “thwarted advocate.” Location in rural counties with fewer resources leads to more polarizing strategies. The authors propose that service providers who face conflicting information and excessive frustration tend toward extremes, such as blaming clients or policymakers for program failures. This analysis contributes to the social psychological literature on inequality by demonstrating that reconciling contradictions as a service provider often entails certain strategic characterizations of clientele, both positive and negative.",https://www.jstor.org/stable/10.1525/sop.2012.55.3.501,Sociological Perspectives,10.1525_sop.2012.55.3.501,Sociology,2012.0,1,0.8458986878395081,0,0.006245368625968695,0,0.11688201874494553,0.9999728202819824,1
11,,,,A Minor Office: The Variable and Socially Constructed Character of Death Certification in a Scottish City,"Those doctors in a Scottish city who had completed the most death certificates in 1985 were identified, interviewed about their certifying practices, and asked, for comparative purposes, to complete a series of dummy death certificates, based on case summaries. Analysis of the dummy certificates indicated substantial inter-practitioner variations in practice. From the interview data it is clear that the completion of death certificates is a very minor office: for most certifying doctors, death certification is an unsupervised, unreported, invisible, and unconsidered activity. It is argued that doctors who write large numbers of certificates conduct their certifications in Schutz's ""world of routine activities"" (Schutz 1970). It is this routinized orientation to certification that allows the practitioner to dwell within the ""habitus"" (Bourdieu 1977) of the medical collectivity but outside a normative order. Death certification may stand as an exemplar of a large number of medical activities, where wide and largely unacknowledged variations in practice occur with each practitioner investing his or her own practices with moral worth. Routinization ensures a moral order in the habitus, but not a normative order.",https://www.jstor.org/stable/2136808,Journal of Health and Social Behavior,10.2307_2136808,Sociology,1991.0,1,0.9954013824462891,0,0.004831133875995874,0,0.000703460827935487,0.9999723434448242,1
12,,,,Beyond the Tipping Point:,"This article explores the influence of personal values and ontological beliefs on people’s perceptions of possible abrupt changes in the Earth’s climate system and on their climate change mitigation preferences. The authors focus on four key areas of risk perception: concern about abrupt climate change as distinct to climate change in general, the likelihood of abrupt climate changes, fears of abrupt climate changes, and preferences in how to mitigate abrupt climate changes. Using cultural theory as an interpretative framework, a multimethodological approach was adopted in exploring these areas: 287 respondents at the University of East Anglia (UK) completed a three-part quantitative questionnaire, with 15 returning to participate in qualitative focus groups to discuss the issues raised in more depth. Supporting the predictions of cultural theory, egalitarians’ values and beliefs were consistently associated with heightened perceptions of the risks posed by abrupt climate change. Yet many believed abrupt climate change to be capricious, irrespective of their psychometrically attributed worldviews or “ways of life.” Mitigation preferences—across all ways of life—were consistent with the “hegemonic myth” dominating climate policy, with many advocating conventional regulatory or market-based approaches. Moreover, a strong fatalistic narrative emerged from within abrupt climate change discourses, with frequent referrals to helplessness, societal collapse, and catastrophe.",https://www.jstor.org/stable/24907371,"Weather, Climate, and Society",10.2307_24907371,Sociology,2011.0,1,0.9974341988563538,0,0.11716962605714798,0,0.0024765487760305405,0.9999973773956299,1
13,,,,To Be or Not to Be? Some Comments On The Professional Identity of Applied Sociologists in Non-Academic and Academic Settings,"The current paper discusses a challenge faced by both beginning and more-established applied sociologists: how to maintain a sociological identity when working in applied settings. Using information culled from informal interviews of applied sociologists practicing in both academic and non-academic settings, we outline some questions that demand further investigation. What challenges do sociologists in applied settings experience as they strive to maintain their sociological identity? What mechanisms do they employ to develop, maintain, and enhance their sociological identities? Do applied sociologists experience conflicting loyalties in terms of professional organization memberships, research interests, publishing patterns, and similar issues? With the current concern about an ""identity crisis"" in the discipline, we contend that it is important to begin addressing how this identity crisis could be tied to individual experiences.",https://www.jstor.org/stable/43481405,Journal of Applied Sociology,10.2307_43481405,Sociology,1998.0,1,0.7189435362815857,0,0.00022857902513351291,0,0.025277752429246902,0.9999958276748657,1
14,,,,ON THE DEMISE OF OLIGARCHIC PARLIAMENTARISM IN THE SEMI-PERIPHERY: A BALKAN-LATIN AMERICAN COMPARISON,"This paper focuses on peripheral capitalist societies which (a) acquired their political independence relatively early and had already in the 19th century adopted parliamentary forms of political representation; (b) experienced a considerable degree of capitalist industrialization during the inter-war and post-war periods. A fundamental dimension for understanding the structure and functioning of political institutions in the above societies has to do, not only with the mode of expansion and structure of industrial capitalism but also with its timing: with the fact that in all these formations the transition from oligarchic to broader forms of political representation precedes rather than follows their industrialization. Three distinct forms of transition are identified: urban populism from above (the Latin American Southern Cone pattern), peasant populism from below (the pattern in interwar Northern Balkan societies) and political inclusion through a transformation of clientelistic networks (the Greek pattern).",https://www.jstor.org/stable/42853191,Sociology,10.2307_42853191,Sociology,1983.0,1,0.9692395925521851,0,0.0021351247560232878,0,0.0006186014506965876,0.9513998031616211,1
15,,,,Gender and Ethnicity at Work: Occupational Segregation and Disadvantage in the 1991 British Census,"This article uses detailed occupational data from the 1991 Census to investigate patterns of occupational segregation for women and men in the different ethnic groups. Gini index values suggest that the Black minority ethnic groups identified in the Census were less gender segregated than White people. There was less ethnic variation in women's employment than in men's. Chinese and Bangladeshi men were heavily concentrated within catering occupations. The association between women's part-time work, gender segregation and occupational disadvantage does not hold for all ethnic groups. Some minority ethnic groups were occupationally advantaged relative to White people and, among Bangladeshi people, women were more occupationaliy advantaged than men. The data suggest that gender and ethnicity do not combine to create double disadvantage for minority women in the labour force; patterns of occupational advantage and disadvantage are more complex. However; lack of detail on 'women's jobs' and the invisibility of hierarchies within occupational groups mean that some inequality is obscured.",https://www.jstor.org/stable/42856571,Sociology,10.2307_42856571,Sociology,2003.0,0,1.1258865924901329e-05,0,0.0002502850547898561,1,0.9999725818634033,0.7747787237167358,1
16,,,,THE RECOGNITION OF DIFFERENTIAL POWER IN THE SOCIOLOGY OF LAW,None,https://www.jstor.org/stable/23252610,Mid-American Review of Sociology,10.2307_23252610,Sociology,1979.0,0,0.09644992649555206,0,0.00018575845751911402,0,0.000944852305110544,0.9999943971633911,1
17,,,,muslim female athletes and the hijab,None,https://www.jstor.org/stable/41960259,Contexts,10.2307_41960259,Sociology,2011.0,0,0.014617063105106354,1,0.9507728219032288,1,0.5603699684143066,0.9667001366615295,1
18,,,,A Little Bit of Sugar: Integrated Service-Learning Courses,"Approaches to integrated service learning are detailed for three courses—Organizational Theory, Land Use and Environmental Dispute Resolution, and Mediation Skills. The focus of this paper is on the process of integration rather than the specifics of the courses. A faculty member interested in developing a service-learning component in a course is advised to (1) publicly identify the course as one that includes a service-learning experience, (2) be passionate, organized, flexible, and experienced, (3) establish an excellent relationship with a community agency, (4) be flexible about course content and schedule, (5) recognize that some students may have problems with an experience-based approach to learning, and (6) conduct periodic evaluations of all stages of the service-learning experience.",https://www.jstor.org/stable/43735969,Sociological Practice,10.2307_43735969,Sociology,2002.0,0,0.000396101240767166,0,0.00023402555962093174,0,4.1384224459761754e-05,0.9997459053993225,1
19,,,,An Ethnography of Emerging Latino Music Scenes,"We report on an ethnographic study of three emerging scenes in which Latino music is produced, performed, experienced, and celebrated in Houston, Texas: rock en Español, gay Latino dance music, and professional soccer supporters' music. Music is an important feature of Latino culture, since it informs migration, citizenship, spirituality, and other aspects of the contemporary Latino experience. Three interactionist concepts inform this study. The concept of scene directs our attention to the comprehensive social worlds driven by Latino music. The concept of idioculture directs our attention to the ways audience members experience Latino music within everyday life small groups. The concept of place directs our attention to how Latino music creates new locations to anchor the self in reference to country of origin, present music communities, or possible symbolic locations such as America or La Raza. We conclude with suggestions for a revised interactionist concept of music scene.",https://www.jstor.org/stable/10.1525/si.2009.32.4.310,Symbolic Interaction,10.1525_si.2009.32.4.310,Sociology,2009.0,0,0.0607609860599041,1,0.9991040825843811,0,0.006327077746391296,0.9999992847442627,1
20,,,,Trends in the Race and Ethnicity of Eminent Americans,"During the last several decades, the ethnic and racial composition of the American elite has changed to include some ethnic minorities and women. This study examines changes in the composition of one segment of the American elite: those who have obtained eminence in their occupations. Lieberson and Carter's study of the ethnic composition of eminent Americans, using Who's Who in America, is replicated with data from the 1990s (Lieberson and Carter, 1979, American Sociological Review 44:347-366). In addition, comparisons between blacks listed in Who's Who in America and blacks listed only in Who's Who among Black Americans are made. During the 20 years since Lieberson and Carter's study, Jews have made remarkable gains in eminent membership, while the rate of black representation has increased only moderately. Women are a small percentage of the eminent regardless of ethnicity, although black women are better represented than their counterparts in white ethnic groups.",https://www.jstor.org/stable/685090,Sociological Forum,10.2307_685090,Sociology,2002.0,0,1.8926049961009994e-05,1,0.9988535642623901,1,0.9998753070831299,0.999998927116394,1
21,,,,River Forecast Application for Water Management:,"Managing water resources generally and managing reservoir operations specifically have been touted as opportunities for applying forecasts to improve decision making. Previous studies have shown that the application of forecasts into water management is not pervasive. This study uses a scenario-based approach to explore whether and how people implement forecast information into reservoir operations decisions in a workshop setting. Although it was found that participants do utilize both forecast and observed information, they generally do not utilize probabilistic forecast information in a manner to appropriately minimize risks associated with the tail end of the forecast distribution. This study found strong tendencies for participants to wait for observed information, as opposed to forecast information, before making decisions. In addition, study participants tended to make decisions based on median forecast values instead of considering forecast probability. These findings support the development of quantitative decision support systems to optimally utilize probabilistic forecasts as well as for forecast agencies such as NOAA/NWS to continue investments in work to better understand contexts and environments where forecasts are used or have the potential for use in supporting water management decisions.",https://www.jstor.org/stable/24907523,"Weather, Climate, and Society",10.2307_24907523,Sociology,2013.0,0,1.9626548237283714e-05,0,0.0016327867051586509,0,0.0017345119267702103,0.9999332427978516,1
22,,,,Attribution of Intention and Perception of Attitude as a Function of Liking and Similarity,Liking and similarity were factorially to test competing predictions from Jones and Davis' attribution theory and Heider's balance theory. Each subject was informed he was either similar or dissimilar to a confederate described as a student who either liked or disliked him. None of the attribution theory predictions were confirmed. Subjects disorted the similarity relationship in the manner predicted by balance theory. Additional findings which provide support for balance theory were discussed.,https://www.jstor.org/stable/2786244,Sociometry,10.2307_2786244,Sociology,1973.0,0,0.00010312905942555517,0,0.003026988822966814,0,0.00506008742377162,0.9971315860748291,1
23,,,,A Life of Fear,None,https://www.jstor.org/stable/40971984,Social Research,10.2307_40971984,Sociology,2004.0,0,0.021165993064641953,0,0.0003006309852935374,0,0.0007440019981004298,0.9535773992538452,1
24,,,,Remembering What Their Bodies Can't Forget,"Each year, hundreds of thousands of women's bodies come under the knife of unjust and unwarranted gynecological and obstetrical procedures that leave them with an ongoing legacy of life-altering symptoms. Using the resolution scrapbook—a reflective and multimodal chronicling of a distressing event, two women come together to compose and share autoethnographies of their own harrowing experiences—an uninformed and unnesssary ovarectomy and an unanaesthetized caesarean. Although the move from private to public spaces in the examination of their lives was a difficult task, they recognized that as autoethnographers, this decision was an essential one to help in the ongoing fight for women and future generations to take back informed control of their bodies via the comfort of mutual company, the prospect of support, and the hope of empowerment via their own voices.",https://www.jstor.org/stable/10.1525/irqr.2011.4.3.225,International Review of Qualitative Research,10.1525_irqr.2011.4.3.225,Sociology,2011.0,0,0.0007159895030781627,1,0.9991797804832458,0,0.02660216949880123,0.993198037147522,1
25,,,,Welfare States and Employment Regimes,None,https://www.jstor.org/stable/20630052,International Journal of Sociology,10.2307_20630052,Sociology,1991.0,1,0.815339982509613,0,0.0011929929023608565,0,0.0007170095923356712,0.9999454021453857,1
26,,,,Commentary and Debate,None,https://www.jstor.org/stable/10.1086/231089,American Journal of Sociology,10.1086_231089,Sociology,1997.0,1,0.999860405921936,0,0.0004157798539381474,0,0.011793770827353,0.9999487400054932,1
27,,,,Governmental Policy and Equality in Higher Education: The Junior Collegization of the French University," This article examines the implementation of the ideology of equality of educational opportunity in governmental policy by examining the 1976 French higher education reform. It argues that the reform was designed to suppress growing class conflict in the higher education system. It further argues that France, like the United States, has a dual system of higher education and that class dominance of this system has been assured by governmental policy using the ideology of equality of opportunity to legitimate that dominance. The 1976 reform represents an attempt by the government to preserve the dual system of higher education and to preserve class dominance of that system. This attempt is accomplished by junior collegizing and devaluing the French University, and thus reserving the elite institutions with entrée to the highest occupations to the highest social class. ",https://www.jstor.org/stable/800336,Social Problems,10.2307_800336,Sociology,1976.0,1,0.9413288831710815,0,0.00460824416950345,0,0.2811335623264313,0.9999971389770508,1
28,,,,The Impact of Military Service on Authoritarian Attitudes: Evidence from West Germany,"A study by Campbell and McCormack in 1957 of the U.S. Army was replicated 10 years later in the West German Army. Age and education were controlled, and the possibility of a panel effect was checked, and the earlier finding that militaryexperience reduces authoritarianism of draftees was confirmed. This study also investigated the permanence of the observed effect. The effect was a very temporary response to the specific military-life situation. An interpretation is offered that the experienced deprivation increases the sensitivity of coldiers to those items in the scale indicating respect and tolerance for fellow citizens.",https://www.jstor.org/stable/2776504,American Journal of Sociology,10.2307_2776504,Sociology,1972.0,1,0.9888420104980469,0,0.0001300047879340127,0,0.005790841765701771,0.9999823570251465,1
29,,,,Magic in the Social Construction of the Past: the Case of Teschen Silesia,"The aim of the paper is to consider such ethnolinguistic categories as magic, connotation, cognitive blending as possible keys to the following questions: How is it possible that we can perfectly adopt different representations of the past and internalize them as our past? How can we reconcile different representations of the past and how is it possible that diverse representations of the past merge in one social memory? Such amalgamations of various forms of representations and diverse scales of objectification can be clarified by means of the theory of magic, by means of the law of resemblance, and the law of contiguity. Such considerations are supported here by empirical study of the construction of social memories in Teschen Silesia, which was divided between Poland and Czechoslovakia in 1920. On both sides of the new border different state institutions emerged and influenced local memories.",https://www.jstor.org/stable/41969500,Polish Sociological Review,10.2307_41969500,Sociology,2013.0,1,0.9435511231422424,0,0.0076956069096922874,0,0.001311553525738418,0.9879943132400513,1
30,,,,Relational Troubles and Semiofficial Suspicion: Educators and the Medicalization of “Unruly” Children,"Using an interview-based analysis of the accounts of interactions between educators, parents, and clinicians, this study explores educators' roles in interpreting childhood troubles as the medical phenomenon of attention deficit-hyperactivity disorder (ADHD). The analysis of interviews shows how children's “personal” troubles become understood as “relational” ones, prompting increasingly sophisticated social responses. I argue that the institution of education, operating in a clinical capacity but lacking the legitimate authority to assign ADHD diagnoses, plays a hybridized, semiofficial role in the medicalization process. This assertion informs a critique of the “informal/official” dichotomy found in the sociology of deviance lexicon, and furthers previous positions in the sociology of mental health that have implicated school representatives in the social construction of behavior disorders.
",https://www.jstor.org/stable/10.1525/si.2005.28.1.25,Symbolic Interaction,10.1525_si.2005.28.1.25,Sociology,2005.0,1,0.9974640607833862,0,0.00019904131477233022,0,0.0015181308845058084,0.983991265296936,1
31,,,,Institutional Arrangements and Stratification Processes in Industrial Societies,"This chapter reviews the current state of our knowledge about the role of institutional arrangements in stratification processes in industrial societies. The particular institutional arrangements considered are those of educational and labor force organizations. The review is organized around the Blau-Duncan basic model of status attainment and points to the need for a more elaborated conceptualization. Institutional arrangements structure the connections between social origin and educational attainment, between educational attainment and early labor force placements, and between early and later placements in the labor force. Industrial societies vary widely in the nature of these institutional arrangements, and that variation affects the patterns of movement from origins to destinations in the stratification system. Features of educational institutions considered include separation of students into specialized schools and ability groups (tracking), degree of central control, degree of autonomy, degree of stratification, and the number and specialized nature of credentials. Features of labor force institutions considered include occupational and firm-specific job classifications, internal labor markets and vacancy chains, industrial sectors and career lines. Critical aspects of the societal variation are the form of the interface between education and labor force structures and the nature of the transition from school to work. A preliminary set of hypotheses linking institutional arrangements and stratification processes is derived from this review.",https://www.jstor.org/stable/2083414,Annual Review of Sociology,10.2307_2083414,Sociology,1995.0,1,0.9997380375862122,0,0.0009625169914215803,1,0.9950329065322876,0.9999994039535522,1
32,,,,Social Constructionist and Positivist Approaches to the Sociology of Emotions,"Social constructionist and positivist approaches to the sociology of emotions differ in three respects: (1) social constructionists generally reject the importance of the biological and physiological substrate in the determination of specific emotions, while positivists affirm the opposite view; (2) social constructionists suppose that emotions are largely determined by social norms for emotion, or ""feeling rules,"" while positivists assert that social structure, particularly the outcomes of actors' power and status relations, determines emotions; and (3) social constructionists, following a symbolic interactionist model, propose that actors must define situations before emotions will be experienced-but they do not explain how this is done, or what categories actors use to help them define situations; positivists on the other hand ofter a specific social structural category scheme for defining situations and determining the emotions those definitions produce. These issues are discussed and suggestions for reconciling the two views are proposed.",https://www.jstor.org/stable/2778461,American Journal of Sociology,10.2307_2778461,Sociology,1981.0,1,0.9235137701034546,1,0.9998892545700073,0,0.0006313156918622553,0.9999939203262329,1
33,,,,Beyond the Industrial Paradigm: Market-Embedded Labor and the Gender Organization of Global Service Work in China,"Despite the international growth of the service sector, an industrial paradigm defines the study of global labor. This is because analyses of service work typically focus on firms in the United States, while studies of global labor concentrate on manufacturing. I develop a framework for analysis of global service work by comparing ethnographic cases of labor in two global, luxury hotels in China. Each hotel is linked to the same U.S.-based global corporation, and both employ the same organizational template and recruit same-aged female workers. At the first hotel, workers silently cater to the preferences of guests, using recorded customer preference data and enacting imported feminized practices, a labor regime I call virtual personalism. At the second hotel, workers promote hotel products, displaying expertise to distinguish themselves from sex workers who frequent the hotel, a labor regime I call virtuous professionalism. Why do distinctly gendered labor practices emerge in the two settings? To explain the divergent regimes of labor, I show that firms institutionalize localized consumer status struggles through the gendered organization of interactive labor. Workers' interactive strategies and local workplace legacies mediate the forms institutionalism takes. I call the entwining of consumer markets and labor practices ""market-embedded labor.""",https://www.jstor.org/stable/25472512,American Sociological Review,10.2307_25472512,Sociology,2008.0,1,0.9999333620071411,0,0.00023342654458247125,1,0.9996439218521118,0.9999375343322754,1
34,,,,INDUSTRIAL PATERNALIST CAPITALISM AND LOCAL LABOUR MARKETS,This paper is an attempt to identify those structural conditions which are conducive to the rise and maintenance of industrial paternalist capitalism within Britain. Following Newby's discussion of the nature of deference industrial paternalism is defined as the specific form taken in Britain by economic and political structures in which the unequal distribution of resources is legitimated by tradition. A key factor in the maintenance of such systems of traditional authority is the nature of the owners of local productive capacity. Two features are emphasized; the extent to which local assets constitute the bulk of all capital owned by the local bourgeoisie and the existence of historical links between such owners of local capital and the area. Empirical measures of the nature of local labour markets are used to identify those areas of the country which contain the structural features most likely to support industrial paternalism. It is suggested that such areas can be characterized as relatively isolated local labour markets which are dominated by single companies.,https://www.jstor.org/stable/42852029,Sociology,10.2307_42852029,Sociology,1978.0,1,0.9025031328201294,0,0.001712366589345038,0,0.45114758610725403,0.9895380735397339,1
35,,,,The Vitalization of Symbolic Interactionism,None,https://www.jstor.org/stable/2786893,Social Psychology Quarterly,10.2307_2786893,Sociology,1987.0,1,0.9974668025970459,0,0.0002340545761398971,0,0.0003273595357313752,0.9999994039535522,1
36,,,,'Project heat' and sensory politics in redeveloping Chicago public housing,"This article examines Chicago's ongoing public housing reforms and more broadly, welfare reform, as a kind of sensory politics. I analyze experiences of home heating at a redeveloping public housing project to establish how neoliberal demands for self-responsibility have become tied to demands that transitioning residents reconfigure their subjective senses of comfort. These twin demands have distributed the risks of transitioning out of public housing across an individual's understanding of personal security as well as her obligations to kin. I show how approaching welfare reform as a sensory politics illuminates the emerging conditions of political recognition available to Chicago public housing residents as their longstanding representational bodies face obsolescence. Moreover, I argue that this approach invites us to reconsider theories of contestation and survival within urban poor people's social movements.",https://www.jstor.org/stable/24048083,Ethnography,10.2307_24048083,Sociology,2011.0,1,0.9925088286399841,0,0.0004176315269432962,0,0.0004875038575846702,0.9998519420623779,1
37,,,,"Science, Policy, and Controversy in the Cholesterol Arena","This article investigates the relationships between scientific knowledge and dietary policy in the cholesterol arena, a site of controversy for over 40 years. It draws on the concepts and methods of Anselm Strauss, especially social worlds/arenas theory, to analyze the negotiations and conflicts through which both scientific knowledge and public health policy were created. Science/policy interactions were shaped by shifting distributions of power and legitimacy among many interested social worlds. These shifts reflected changing cultural, commercial, and political conditions which, over the decades, favored the entrenchment of initially provisional and tentative dietary recommendations. The cultural foundations of policy interventions can be as salient as scientific research. They can also contribute to ongoing instability in controversial arenas.",https://www.jstor.org/stable/10.1525/si.1998.21.4.401,Symbolic Interaction,10.1525_si.1998.21.4.401,Sociology,1998.0,1,0.891526460647583,0,0.00030246778624132276,0,0.0004500881477724761,0.9998371601104736,1
38,,,,"WOMEN, MARRIAGE AND FAMILY— TRADITIONALISM VS MODERNITY IN ALBANIA","The aim of the article is to illustrate how the transition from traditionalism to modernity in the Albanian society is reflected in the fields of decision-making in choosing the marriage partner, arena of choosing the marriage partner, and factors of importance for harmony in the marital relationship. We also outline the changes in women's participation in productive work, in social and policy life, and in education. The empirical material stems from a survey conducted in Albania 1984. The number of respondents was 1,303. We conclude that there is a strong modernistic tendency. Both with regard to choosing marriage partner and factors important for harmony. The main feature of the development in Albania is the rapidity and explicitness of changes in attitudes towards marriage and family and in women's position.",https://www.jstor.org/stable/23028475,International Journal of Sociology of the Family,10.2307_23028475,Sociology,1989.0,1,0.7464157342910767,0,0.0025443413760513067,0,0.08680729568004608,0.9963668584823608,1
